basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	37880	SOMBASE Pycnogonids	-45.8666000366	49.75	BAS	250	245	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	11ee7feb-37be-4e36-9bd1-4e268696dd53	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	247.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	[]	209	40225	5.81	33.72
HumanObservation	37872	SOMBASE Pycnogonids	-45.7316017151	50.25	BAS	173	173	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	3eb8495a-08f6-46cb-bb65-c4ae320962ca	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	173.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	[]	339	26997	5.75	33.73
HumanObservation	37908	SOMBASE Pycnogonids	-46.7332992554	51.6216011047	BAS	377	365	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	72181ca3-c5ce-439f-b63c-fd8aa9128698	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	371.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	['DEPTH_EXCEEDS_BATH']	24	30421	5.05	33.75
HumanObservation	37856	SOMBASE Pycnogonids	-45.8965988159	50.2316017151	BAS	168	168	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	7415b11a-9673-4b60-89d4-97ed5e31ad39	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	168.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	[]	221	14216	5.72	33.73
HumanObservation	37850	SOMBASE Pycnogonids	-45.9799995422	50.8483009338	BAS	165	165	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	76e9912d-cadc-4e8e-8dfd-0bc65cd7e6cf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	165.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	['DEPTH_EXCEEDS_BATH']	97	30575	5.57	33.74
HumanObservation	37852	SOMBASE Pycnogonids	-45.7215995789	50.651599884	BAS	158	158	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	903410b4-508f-45e7-859d-2444de0087e2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	158.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	['DEPTH_EXCEEDS_BATH']	44	29261	5.7	33.74
HumanObservation	37859	SOMBASE Pycnogonids	-46.25	49.5299987793	BAS	270	250	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	ac320e47-e0c6-4e90-8255-ea894b16b65a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	260.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	['DEPTH_EXCEEDS_BATH']	166	51753	5.56	33.74
HumanObservation	37903	SOMBASE Pycnogonids	-45.903301239	50.8899993896	BAS	178	178	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	ba5d96ff-d515-470e-bc7d-892091c750ff	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	178.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	[]	200	34053	5.6	33.74
HumanObservation	38058	SOMBASE Pycnogonids	-46.0499992371	50.5365982056	BAS	193	150	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	bec1a263-8635-4877-bb44-7e39ea6afeba	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	171.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	['DEPTH_EXCEEDS_BATH']	59	12548	5.63	33.74
HumanObservation	37846	SOMBASE Pycnogonids	-46.7299995422	51.3166007996	BAS	320	320	Colossendeis belekurovi	urn:lsid:marinespecies.org:taxname:370765	dd0b4e64-200e-4c84-8cc0-4c92e1446aa7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	320.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis belekurovi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	370765	370765	Colossendeis belekurovi	['DEPTH_EXCEEDS_BATH']	76	42605	5.07	33.75
