basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	38186	SOMBASE Pycnogonids	-42.6665992737	-58.0332984924	BAS	200	200	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	01b9f8f4-fdf9-4930-9713-c9f2279c44ae	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	200	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	1654	407065	9.02	34.06
HumanObservation	38187	SOMBASE Pycnogonids	-46.9500007629	-60.5833015442	BAS	235	235	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	07554d5a-8db6-4b7c-afb9-3f71ca44be9f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	235	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	376	390598	8.38	34.07
HumanObservation	38161	SOMBASE Pycnogonids	-46.7416000366	-60.5833015442	BAS	140	140	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	11bdf408-267f-4827-a28d-3d4fcd62b75f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	223	394185	8.55	34.08
HumanObservation	38510	SOMBASE Pycnogonids	-66.5516967773	93.0	BAS	35	35	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	15be9aa3-8ccf-472b-8dd9-183e55f76380	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	35	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	293	286	-1.56	33.71
HumanObservation	39044	SOMBASE Pycnogonids	-66.5333023071	92.9832992554	BAS	45	45	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	20107e2c-d3cc-454d-b620-58ff66176e15	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	45	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	388	205	-1.56	33.71
HumanObservation	38513	SOMBASE Pycnogonids	-66.5514984131	93.0080032349	BAS	45	45	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	22743152-ca14-4652-b9f3-a91ed9c1703c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	45	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	293	154	-1.56	33.71
HumanObservation	38165	SOMBASE Pycnogonids	-47.6632995605	-60.5166015625	BAS	140	140	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	25f092ea-a8aa-489f-a2df-98706e03ebe0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	466	375488	8.1	34.06
HumanObservation	37406	SOMBASE Pycnogonids	-65.8833007812	114.016601562	BAS	548	548	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	2fd1fd84-266b-44d1-850c-ac28a022d33c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	548	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	545	13987	-1.74	33.23
HumanObservation	38342	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	34	34	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	433e4703-cb21-4179-94b8-4544bbb9931d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	34	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	321	476	-1.56	33.71
HumanObservation	38914	SOMBASE Pycnogonids	-66.5333023071	92.9832992554	BAS	40	40	Colossendeis fragilis	urn:lsid:marinespecies.org:taxname:240148	4f3def31-f9af-4256-9f43-bad47dff1b68	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fragilis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240148	240148	Colossendeis fragilis	[]	388	205	-1.56	33.71
