basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	37658	SOMBASE Pycnogonids	-49.8333015442	67.7833023071	BAS	450	450	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	217ebb69-4e8f-4322-bfde-2e56a37e8e5e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	450.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	['DEPTH_EXCEEDS_BATH']	223	28204	3.48	33.76
HumanObservation	37764	SOMBASE Pycnogonids	-62.5965995789	-55.2682991028	BAS	140	140	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	29a24300-c4c7-4675-b62e-33492a2fa4cc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	149	50931	-1.39	33.76
HumanObservation	38012	SOMBASE Pycnogonids	-48.4715995789	70.2782974243	BAS	132	131	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	4c4f373e-2552-4c16-adb0-832f66711d0f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	131.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	144	57196	4.26	33.74
HumanObservation	37967	SOMBASE Pycnogonids	-47.9665985107	70.49659729	BAS	150	150	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	574be80c-de55-4a75-bffc-dc16d44ed9f6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	150.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	195	106952	4.44	33.73
HumanObservation	37918	SOMBASE Pycnogonids	-49.9933013916	70.3833007812	BAS	206	206	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	5da16ed6-5f38-451c-9828-2058acf3b82b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	206.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	169	34503	3.38	33.79
HumanObservation	37986	SOMBASE Pycnogonids	-47.151599884	68.5233001709	BAS	227	227	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	6e336395-f3f3-4411-a1d1-9327d38e17b1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	227.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	193	146052	4.94	33.66
HumanObservation	38097	SOMBASE Pycnogonids	-62.9082984924	-61.7750015259	BAS	160	160	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	72f06acb-4029-4c32-b9a6-5ea1739d4448	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	160.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	177	15902	-0.33	33.76
HumanObservation	37701	SOMBASE Pycnogonids	-62.8465995789	-54.2666015625	BAS	255	255	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	734fd18c-5cdb-42f1-814a-7cb8bc1eb739	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	255.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	228	53057	-1.47	33.76
HumanObservation	37988	SOMBASE Pycnogonids	-47.4282989502	68.5999984741	BAS	189	189	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	786997df-0582-428e-8de1-77d532caf804	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	189.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	250	114785	4.72	33.68
HumanObservation	38001	SOMBASE Pycnogonids	-49.9432983398	70.4682998657	BAS	198	198	Colossendeis korotkevitschi	urn:lsid:marinespecies.org:taxname:240069	95e94aad-cdb4-411f-8560-7ff56ed286a4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	198.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis korotkevitschi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240069	240069	Colossendeis korotkevitschi	[]	181	32223	3.32	33.8
