basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	country	countryCode	datasetID	datasetName	eventDate	eventID	eventRemarks	identifiedBy	institutionID	locationID	occurrenceID	occurrenceStatus	organismID	parentNameUsageID	recordNumber	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonID	taxonRank	taxonomicStatus	waterBody	date_start	date_mid	date_end	date_year	coordinateUncertaintyInMeters	dateIdentified	day	footprintWKT	geodeticDatum	georeferenceSources	language	locality	modified	month	preparations	recordedBy	year	sex	fieldNumber	occurrenceRemarks	startDayOfYear
HumanObservation	23487	SOMBASE Pycnogonids	-61.9165992737	-39.4000015259	BAS	2966.0	2119.0	Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	02a87585-4e77-4dbd-b4c3-a8d3a0eb68a3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2542.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	[]	3194	296436	-1.36	33.86																																														
HumanObservation	23490	SOMBASE Pycnogonids	-76.0	-176.800003052	BAS	569.0	566.0	Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	05374b3a-c448-4afb-a9fc-2fe1423350bd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	567.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	[]	578	201259	-1.63	34.07																																														
HumanObservation	34094	SOMBASE Pycnogonids	-44.1049995422	178.071594238	BAS	1041.0	1037.0	Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	0a7a807b-4a01-402c-abd5-7caf229f9a50	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1039.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	[]	1011	354405	11.47	34.39																																														
HumanObservation	39142	SOMBASE Pycnogonids	-66.3154983521	143.30140686	BAS	462.0	453.0	Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	0baea773-fb87-487e-819f-36ceaacb6979	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	457.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	[]	693	55993	-1.65	34.18																																														
PreservedSpecimen	S12145	OGL	-73.1244964599609	174.320007324219	OGL			Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	119ce18a-b2d9-482f-8e8a-f06ee3c8ed01	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	['NO_DEPTH']	321	143596	-1.54	34.14	BOLD ID: 35513-3	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Antarctica	AQ	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2008-02-09	CE01819	Collection Event Notes: Collector name listed as R/VTANGAROA	Claudia Arango	8c116cac-9394-4c4e-be14-06184bdc62bd	CL02390	OGL_MSC_NortheasternUniversity_S12145	present	S12145	134586	35513-3; 178	ND	Gordon, 1938	longirostris	T02248	Species	accepted	Ross Sea	1202515200000.0	1202515200000.0	1202515200000.0	2008.0																	
PreservedSpecimen	17986	NIWA	-37.224166	177.234166	NIWA Invertebrate Collection	698.0	693.0	Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	12a46c5e-e49f-4704-9246-8f26cef2ba75	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	695.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	[]	1039	29342	18.02	35.57			Oceania	New Zealand			NIWA Invertebrate Collection	11/11/2004			Nielsen, Johanna		TAN0413/63	5d814a58-fa36-11e2-96b3-aa6f927c92a3	present				Sled, epibenthic	Gordon, 1938	longirostris									100	2005	11	LINESTRING (177.234166 -37.224166, 177.237666 -37.2195)	WGS84	GPS	en	Nukuhou Knoll	8/04/2022	11	Specimen(s), Ethanol - no formalin = 1	NIWA; Seamount	2004				
HumanObservation	34354	SOMBASE Pycnogonids	-64.5667037964	127.133300781	BAS	3108.0	3108.0	Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	152776d4-97f4-4002-952d-0f1530c23e3c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3108.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	[]	2878	192110	-1.1	33.92																																														
PreservedSpecimen	P.11044	co113	-64.566	127.133	AM			Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	205439e0-437a-49a8-802f-a8c9caa852a2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	['NO_DEPTH']	2893	192183	-1.1	33.92								1914-01-06						urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11044	present						longirostris		species			-1766793600000.0	-1766793600000.0	-1766793600000.0	1914.0	10000			POINT (127.13300 -64.56600)				Antarctica	2017-03-02T11:18:37					Female			
PreservedSpecimen	S12143	OGL	-73.1244964599609	174.320007324219	OGL			Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	31398091-5e22-4ab7-a5ec-f53b20c7589c	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	['NO_DEPTH']	321	143596	-1.54	34.14	BOLD ID: 35513-1	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Antarctica	AQ	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2008-02-09	CE01819	Collection Event Notes: Collector name listed as R/VTANGAROA	Claudia Arango	8c116cac-9394-4c4e-be14-06184bdc62bd	CL02390	OGL_MSC_NortheasternUniversity_S12143	present	S12143	134586	35513-1; 178	ND	Gordon, 1938	longirostris	T02248	Species	accepted	Ross Sea	1202515200000.0	1202515200000.0	1202515200000.0	2008.0																	
HumanObservation	IPY TAN0802/17 Colossendeis longirostris	International Polar Year-CAML New Zealand	-73.1245	174.3205	National Institute of Water and Atomspheric Reseach (NZ)	321.0	321.0	Colossendeis longirostris	urn:lsid:marinespecies.org:taxname:173193	35d88d0f-c14e-4ee3-b655-75c100b83623	49d1b62c-124a-4854-b878-b83de130eb23	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	321.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis longirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173193	173193	Colossendeis longirostris	[]	321	143612	-1.54	34.14								2008-02-09T22:19						45	present				GearType=Trawl, fish, bottom	Gordon, 1938	longirostris				Southern Ocean	1202515200000.0	1202515200000.0	1202515200000.0	2008.0	10		9	LINESTRING (174.3205 -73.1245, 174.303 -73.133)	WGS84			site C1, shelf,  eastern Ross Sea	2012-08-21	2			2008		TAN0802/17	GearType=Trawl, fish, bottom	040
