basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dynamicProperties	identifiedBy	maximumDepthInMeters	minimumDepthInMeters	preparations	depth	coordinateUncertaintyInMeters	datasetID	datasetName	eventID	eventTime	footprintSRS	language	occurrenceStatus	samplingProtocol	superdomain	superdomainid	dateIdentified	occurrenceRemarks	organismQuantity	organismQuantityType	sampleSizeUnit
PreservedSpecimen	2008-20579	Pycnogonida	IU	VU	29	-18.016666	168.803329	1994-09-29T01:00Z	Colossendeidae	MUSORSTOM 8/CP1036	POINT  (168.803329 -18.016666)	Colossendeis	WGS84	1	MNHN	Animalia	CC_BY_4_0	SE Efaté	2015-06-19T21:23Z	9	473962875	Pantopoda	Arthropoda	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20579	Colossendeis macerrima	Wilson, 1881	urn:lsid:marinespecies.org:taxname:134666	macerrima	SPECIES	Pacific Ocean	1994	00ebe105-3435-4670-abd3-e105d39edd2a	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	780796800000.0	780796800000.0	780796800000.0	1994.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima Wilson, E.B., 1881	['NO_DEPTH']	965	36369	27.18	34.8																									
PreservedSpecimen	80568.273441	Pycnogonida	Invertebrate Zoology: Crustacea		20	34.0722198486	137.958328247	1906-10-20T12:00:00Z	Colossendeidae			Colossendeis		1.0	USNM	Animalia		Honshu Island, Kururi, Off Omai Saki Light		10		Pantopoda	Arthropoda			Colossendeis macerrima	Wilson	urn:lsid:marinespecies.org:taxname:134666			North Pacific Ocean	1906	03c6e45e-a65f-4022-add4-52c76c12886a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1994457600000.0	-1994457600000.0	-1994457600000.0	1906.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima	[]	1276	62515	21.05	34.26	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Japan	observedindividualcount=1;	Hedgpeth, J. W.	1141.0	1141.0	Alcohol (Ethanol)	1141.0																
HumanObservation	22722	Pycnogonida	bio_dba		1	47.0	-8.0	1973-08-01T00:00:00+00:00	Colossendeidae	CV/B/Y/W-23		Colossendeis				Animalia		Golfe de Gascogne	2022-01-18 09:29:51	8	Ifremer_bio_dba_22722	Pantopoda	Arthropoda	LAUBIER Lucien		Colossendeis macerrima		urn:lsid:marinespecies.org:taxname:134666	macerrima			1973	0436aa95-2db5-439b-8dc2-af168e5c0129	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	113011200000.0	113011200000.0	113011200000.0	1973.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima	[]	4442	261836	14.83	35.65					STOCK Jan	2034.0	2034.0		2034.0	50.0	https://marineinfo.org/id/dataset/490	Bigood	Blake trawl_197381_CV/B/Y/W-23_NA	00:00:00+00:00	EPSG:4326	en	present	Blake trawl	Biota	1.0					
HumanObservation	IN2015_C01_080_110_1	Pycnogonida	GAB-RP			-34.41425	130.031	2015-11-17T02:55:21Z	Colossendeidae	IN2015_C01:80	LINE (130.0240  -34.4078, 130.0380  -34.4207)	Colossendeis		1	CSIRO	Animalia			2022-08-29T02:39:55		CS-IN2015_C01-80-2549217-33014005-29	Pantopoda	Arthropoda			Colossendeis macerrima	Wilson, 1881	urn:lsid:marinespecies.org:taxname:134666					0563f6ba-0e75-4db4-aaea-9c6f12b225c5	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	1447718400000.0	1447718400000.0	1447718400000.0	2015.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima	[]	2203	312488	17.54	35.59			Australia		D.A. Staples	2117.0	2112.0		2114.5	100			IN2015_C01:80				present		Biota	1.0	07/JAN/16	Occurrence Type: Catch specimen	1	individuals	IN2015_C01
PreservedSpecimen	2008-20501	Pycnogonida	IU	SB		-10.681	162.330002		Colossendeidae	SALOMONBOA 3/CP2835	POINT  (162.330002 -10.681)	Colossendeis	WGS84	1	MNHN	Animalia	CC_BY_4_0	E San Cristobal	2015-06-19T21:23Z		462403481	Pantopoda	Arthropoda	Richer & Boisselier rec.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20501	Colossendeis macerrima	Wilson, 1881	urn:lsid:marinespecies.org:taxname:134666	macerrima	SPECIES	Pacific Ocean		05740862-df40-4cf0-8e51-30da358ed5d6	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima Wilson, E.B., 1881	['NO_DEPTH']	427	7193	29.11	34.4					Bamber R.																				
PreservedSpecimen	2008-20522	Pycnogonida	IU	PG		-9.2835	152.286667		Colossendeidae	BIOPAPUA/CP3744	POINT  (152.286667 -9.2835)	Colossendeis	WGS84	1	MNHN	Animalia	CC_BY_4_0	Au large de Woodlark Islands	2015-08-25T14:39Z		462403000	Pantopoda	Arthropoda	Samadi & Corbari	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20522	Colossendeis macerrima	Wilson, 1881	urn:lsid:marinespecies.org:taxname:134666	macerrima	SPECIES	Pacific Ocean		05c83700-d896-4c71-ae87-c07575110b54	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima Wilson, E.B., 1881	['NO_DEPTH']	867	18586	28.68	34.4					Bamber R.																				
PreservedSpecimen	141931.105846	Pycnogonida	Invertebrate Zoology: Crustacea		3	-49.6669998169	178.882995605	1967-01-03T12:00:00Z	Colossendeidae			Colossendeis		8.0	USNM	Animalia		New Zealand Plateau		1		Pantopoda	Arthropoda			Colossendeis macerrima	Wilson	urn:lsid:marinespecies.org:taxname:134666			South Pacific Ocean	1967	06bd1933-8383-4124-8399-8f3c00557713	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-94521600000.0	-94521600000.0	-94521600000.0	1967.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima	['DEPTH_EXCEEDS_BATH']	112	4803	7.77	34.19	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	New Zealand	observedindividualcount=8;	Hedgpeth, J. W.	540.0	476.0	Alcohol (Ethanol)	508.0																
HumanObservation	48429	Pycnogonida	bio_dba		6	20.0	-18.0	1991-02-06T00:00:00+00:00	Colossendeidae	CP / CPH-5		Colossendeis				Animalia		Atlantique est tropical	2022-01-18 09:29:51	2	Ifremer_bio_dba_48429	Pantopoda	Arthropoda	SIBUET Myriam		Colossendeis macerrima		urn:lsid:marinespecies.org:taxname:134666	macerrima			1991	08ec17e4-d18c-4450-ab2c-8b91b29086f5	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	665798400000.0	665798400000.0	665798400000.0	1991.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima	[]	1843	130864	21.58	36.01					STOCK Jan	1855.0	1855.0		1855.0		https://marineinfo.org/id/dataset/490	Bigood	Beam trawl_199126_CP / CPH-5_NA	00:00:00+00:00	EPSG:4326	en	present	Beam trawl	Biota	1.0					
PreservedSpecimen	J61979	Pycnogonida	co119			-45.1373	145.998	2009-01-12	Colossendeidae		POINT (145.99800 -45.13730)	Colossendeis		1	NMV	Animalia		Tasman Fracture Zone	2017-02-09T10:28:41		J61979	Pantopoda	Arthropoda			Colossendeis macerrima		urn:lsid:marinespecies.org:taxname:134666	macerrima	Species			0b94b13f-7101-4d4d-8a33-b847c8d8b411	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1231718400000.0	1231718400000.0	1231718400000.0	2009.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima	['NO_DEPTH']	1697	158127	12.79	35.0										1000							present						1	individuals	
PreservedSpecimen	154646.118061	Pycnogonida	Invertebrate Zoology: Crustacea		24	36.688331604	-74.249168396	1975-07-24T12:00:00Z	Colossendeidae			Colossendeis		1.0	USNM	Animalia		Off Virginia		7		Pantopoda	Arthropoda			Colossendeis macerrima	Wilson	urn:lsid:marinespecies.org:taxname:134666			North Atlantic Ocean	1975	0bd246ca-67af-4fc0-bd24-7633279ec04e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	175392000000.0	175392000000.0	175392000000.0	1975.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis macerrima	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134666	134666	Colossendeis macerrima	[]	2124	144690	19.95	35.59	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		observedindividualcount=1;	Child, C. Allan	2140.0	2125.0	Alcohol (Ethanol)	2132.5																
