basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	lifeStage	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	bibliographicCitation	country	datasetID	locality	modified	occurrenceRemarks	associatedReferences	dynamicProperties	individualCount	sex	waterBody	subspecies	subspeciesid	associatedSequences	collectionID	continent	datasetName	eventRemarks	island	islandGroup	locationID	organismID	parentNameUsageID	recordNumber	recordedBy	taxonID	taxonomicStatus
PreservedSpecimen	JR15005_0309_01	Pycnogonida	372	AQ	3	-61.5322	-47.1472	2016-03-03	JR15005	Colossendeidae	JR15005_16	LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	Colossendeis	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	Juvenile	817.0	791.0	3	JR15005_0309_01	Present	Pantopoda	2	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Colossendeis megalonyx	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173198	megalonyx	species	PhysicalObject	3/3/2016	2016	004cd466-6ef6-454c-9d60-46033c75780e	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	804.0	1456963200000.0	1456963200000.0	1456963200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	[]	721	107965	-1.13	33.73																												
HumanObservation	23634	Pycnogonida				-67.25	-68.5			Colossendeidae			Colossendeis				BAS		Animalia			140.0	140.0				Pantopoda			Arthropoda			Colossendeis megalonyx		urn:lsid:marinespecies.org:taxname:173198						011a18cd-7839-4ffe-88c1-219339eb7b16	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140.0					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-585	-12354			SOMBASE Pycnogonids																											
HumanObservation	74	Pycnogonida				-58.06583333	-26.0575			Colossendeidae			Colossendeis				BAS		Animalia						urn:catalog:BAS:CAML - Antarctic Pycnogonids II:74		Pantopoda			Arthropoda			Colossendeis megalonyx		urn:lsid:marinespecies.org:taxname:173198	megalonyx					014b05b9-1bfb-4ad8-a16e-f9860c48e1ac	9646a810-f892-4eaf-aa83-a858eb70f709	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']						False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	['NO_DEPTH']	2740	34314	-0.85	33.64	CAML - Antarctic Pycnogonids II	Kathrin Krabbe1, Florian Leese1 , Christoph Mayer1, Ralph Tollrian1 and Christoph Held2. Polar Biology  Volume 33, Number 3 / March, 2010. p281-292.	Antarctica	IMIS:dasid:2388	South Sandwich Islands	4/9/10	GenBankID: GQ387007																					
PreservedSpecimen	141962.285508	Pycnogonida			5	-77.5329971313	-163.057998657	1968-02-05T12:00:00Z		Colossendeidae			Colossendeis		Hedgpeth, J. W.		USNM		Animalia			638.0	606.0	2			Pantopoda			Arthropoda	Alcohol (Ethanol)		Colossendeis megalonyx megalonyx	Fry & Hedgpeth	urn:lsid:marinespecies.org:taxname:848882					1968	0226379e-9578-4136-9ad4-5b804a2dc205	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	622.0	-60134400000.0	-60134400000.0	-60134400000.0	1968.0	False	False	True			Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	848882	Colossendeis megalonyx megalonyx	[]	620	85154	-1.61	33.87	Invertebrate Zoology: Crustacea	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica		Victoria Land, Mcmurdo Sound			National Museum of Natural History, Smithsonian Institution	observedindividualcount=4;	4.0	male; female	Antarctic Ocean	Colossendeis megalonyx megalonyx	848882.0														
HumanObservation	75	Pycnogonida				-58.06583333	-26.0575			Colossendeidae			Colossendeis				BAS		Animalia						urn:catalog:BAS:CAML - Antarctic Pycnogonids II:75		Pantopoda			Arthropoda			Colossendeis megalonyx		urn:lsid:marinespecies.org:taxname:173198	megalonyx					02635983-baeb-4c9a-8c95-f323a1c4e07f	9646a810-f892-4eaf-aa83-a858eb70f709	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']						False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	['NO_DEPTH']	2740	34314	-0.85	33.64	CAML - Antarctic Pycnogonids II	Kathrin Krabbe1, Florian Leese1 , Christoph Mayer1, Ralph Tollrian1 and Christoph Held2. Polar Biology  Volume 33, Number 3 / March, 2010. p281-292.	Antarctica	IMIS:dasid:2388	South Sandwich Islands	4/9/10	GenBankID: GQ387007																					
HumanObservation	23612	Pycnogonida				-60.4416007996	-46.4700012207			Colossendeidae			Colossendeis				BAS		Animalia			115.0	106.0				Pantopoda			Arthropoda			Colossendeis megalonyx		urn:lsid:marinespecies.org:taxname:173198						029cec0d-29a6-4968-8a02-65a77e93de01	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110.5					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	[]	115	16917	-0.9	33.81	SOMBASE Pycnogonids																											
HumanObservation	37329	Pycnogonida				-63.5783004761	109.206596375			Colossendeidae			Colossendeis				BAS		Animalia			515.0	515.0				Pantopoda			Arthropoda			Colossendeis megalonyx		urn:lsid:marinespecies.org:taxname:173198						035f78be-1a1f-4ec0-8ede-80b4aea90319	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	515.0					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	[]	3514	284045	-1.01	33.91	SOMBASE Pycnogonids																											
HumanObservation	23517	Pycnogonida				-62.1333007812	-95.3165969849			Colossendeidae			Colossendeis				BAS		Animalia			4914.0	4740.0				Pantopoda			Arthropoda			Colossendeis megalonyx		urn:lsid:marinespecies.org:taxname:173198						037a48e2-f354-44b1-8568-243317be5466	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4827.0					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	[]	5038	766574	2.14	33.81	SOMBASE Pycnogonids																											
HumanObservation	36	Pycnogonida				-54.05944444	3.056111			Colossendeidae			Colossendeis				BAS		Animalia						urn:catalog:BAS:CAML - Antarctic Pycnogonids II:36		Pantopoda			Arthropoda			Colossendeis megalonyx		urn:lsid:marinespecies.org:taxname:173198	megalonyx					03c43de7-2c77-47b7-add1-c37113a2ceca	9646a810-f892-4eaf-aa83-a858eb70f709	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']						False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	['NO_DEPTH']	1713	40440	-0.04	33.78	CAML - Antarctic Pycnogonids II	Kathrin Krabbe1, Florian Leese1 , Christoph Mayer1, Ralph Tollrian1 and Christoph Held2. Polar Biology  Volume 33, Number 3 / March, 2010. p281-292.	Antarctica	IMIS:dasid:2388	Bouvet	4/9/10	GenBankID: GQ387026																					
PreservedSpecimen	S09060	Pycnogonida		AQ		-62.5250015258789	-61.8269996643066	2006-03-04	CE01930	Colossendeidae			Colossendeis		Katrin Linse		OGL	8c116cac-9394-4c4e-be14-06184bdc62bd	Animalia				192.0		OGL_MSC_NortheasternUniversity_S09060	present	Pantopoda			Arthropoda		ND	Colossendeis megalonyx	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173198	megalonyx	Species				0434f7c6-ae91-4647-84fd-960e96a1a3db	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	192.0	1141430400000.0	1141430400000.0	1141430400000.0	2006.0	False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis megalonyx		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173198	173198	Colossendeis megalonyx	[]	187	28717	-0.32	33.66	OGL		Antarctica	OGL_MSC_NortheasternUniversity	LI-AGT-4							Scotia Sea			BOLD ID: 06-234-2	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Ocean Genome Legacy Collection	Contact Person: Linse, Katrin	Livingston Island	South Shetland Islands	CL01818	S09060	134586	06-234-2	Katrin Linse	T02251	accepted
