basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	endDayOfYear	fieldNumber	individualCount	locality	occurrenceRemarks	startDayOfYear	taxonRemarks	waterBody	date_start	date_mid	date_end	date_year
PreservedSpecimen	70351	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	5	-66.359833	162.541833	5/03/2004	Colossendeidae	LINESTRING (162.541833 -66.359833, 162.576833 -66.360333)	Colossendeis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/254	985	720	8/04/2022	3	60598682-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Trawl, Fish, Bottom	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	01ffae8a-4bdd-46aa-a607-2ffbe6fa4097	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	852.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	['DEPTH_EXCEEDS_BATH']	690	2560	-1.61	33.88													
HumanObservation	TAN0402/96 Colossendeis notialis	Pycnogonida	MBIS BioRoss		30			2005-06-20	18	-71.188667	170.977167	2004-02-18T00:21/2004-02-18T00:36+12	Colossendeidae	LINESTRING (170.977167 -71.188667, 170.984667 -71.193333)	Colossendeis	WGS84		Johanna Nielsen	NIWA	Animalia	en		736	719	2013-11-03	2	1959	present	Pantopoda	Arthropoda			Epibenthic sled	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	05b4b028-69b5-4139-af60-a1be899dd354	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	727.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	748	27556	-1.65	34.1	Colossendeis notialis (MBIS BioRoss 1959)	49	TAN0402/96	2	Ross 1	GearType= Epibenthic sled	49	Colossendeis notialis	Southern Ocean	1077062400000.0	1077062400000.0	1077062400000.0	2004.0
HumanObservation	TAN0402/89 Colossendeis notialis	Pycnogonida	MBIS BioRoss		30			2005-06-20	14	-72.278833	171.413667	2004-02-14T18:44/2004-02-14T18:59+12	Colossendeidae	LINESTRING (171.413667 -72.278833, 171.45 -72.275333)	Colossendeis	WGS84		Johanna Nielsen	NIWA	Animalia	en		420	412	2013-11-03	2	1948	present	Pantopoda	Arthropoda			Bottom trawl	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	061b4c91-f18e-4e0c-9c20-fdfc786cd539	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	416.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	400	33692	-1.68	33.83	Colossendeis notialis (MBIS BioRoss 1948)	45	TAN0402/89	1	Ross 5	GearType= Bottom trawl	45	Colossendeis notialis	Southern Ocean	1076716800000.0	1076716800000.0	1076716800000.0	2004.0
PreservedSpecimen	70360	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	5	-71.711	172.044667	5/02/2004	Colossendeidae	LINESTRING (172.044667 -71.711, 172.0185 -71.7005)	Colossendeis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/10	636	621	8/04/2022	2	605993f2-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 3	NIWA; MFish	Trawl, Fish, Bottom	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	0a2fc074-54f9-46c8-87a4-4d7483613ff6	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	628.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	643	34431	-1.63	34.13													
PreservedSpecimen	28477	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection		5	-71.735167	171.733333	5/02/2004	Colossendeidae	LINESTRING (171.733333 -71.735167, 171.719167 -71.748)	Colossendeis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/19	454	429	8/04/2022	2	5d9e1728-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	NIWA; MFish	Trawl, Fish, Bottom	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	0a62fde4-5647-450b-9da2-616212b5bf35	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	441.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	486	24157	-1.63	34.08													
PreservedSpecimen	70352	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	27	-71.488667	171.943	27/02/2004	Colossendeidae	LINESTRING (171.943 -71.488667, 171.937833 -71.486833)	Colossendeis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/185	600	596	8/04/2022	2	60598808-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 4	NIWA; MFish	Trawl, Beam	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	0c1c1424-3043-4320-8b6b-0d94dcbcb39f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	598.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	612	46754	-1.63	34.15													
HumanObservation	TAN0402/26 Colossendeis notialis	Pycnogonida	MBIS BioRoss		30			2005-06-20	9	-71.778167	170.963833	2004-02-09T15:54/2004-02-09T16:09+12	Colossendeidae	LINESTRING (170.963833 -71.778167, 170.9985 -71.768)	Colossendeis	WGS84		Johanna Nielsen	NIWA	Animalia	en		230	219	2013-11-03	2	1877	present	Pantopoda	Arthropoda			Bottom trawl	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	0d30908b-1321-48ad-a6aa-1da3ec33a662	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	224.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	['DEPTH_EXCEEDS_BATH']	153	4135	-1.66	33.81	Colossendeis notialis (MBIS BioRoss 1877)	40	TAN0402/26	5	Ross 3	GearType= Bottom trawl	40	Colossendeis notialis	Southern Ocean	1076284800000.0	1076284800000.0	1076284800000.0	2004.0
PreservedSpecimen	70361	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	14	-72.278833	171.413667	14/02/2004	Colossendeidae	LINESTRING (171.413667 -72.278833, 171.45 -72.275333)	Colossendeis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/89	420	415	8/04/2022	2	6059956e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Trawl, Fish, Bottom	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	0f1abb0c-1ca2-4177-b79c-c1e07ca7b932	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	417.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	400	33692	-1.68	33.83													
PreservedSpecimen	70355	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	5	-71.727833	171.735333	5/02/2004	Colossendeidae	LINESTRING (171.735333 -71.727833, 171.7445 -71.730833)	Colossendeis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/15	467	466	8/04/2022	2	60598c7c-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	NIWA; MFish	Sled, epibenthic	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	13e7d6b4-5936-40ab-a117-e393562338ea	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	466.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	499	24759	-1.63	34.08													
HumanObservation	TAN0402/140 Colossendeis notialis	Pycnogonida	MBIS BioRoss		30			2005-06-20	26	-72.0135	170.7745	2004-02-26T01:28/2004-02-26T01:43+12	Colossendeidae	LINESTRING (170.7745 -72.0135, 170.766167 -72.018)	Colossendeis	WGS84		Johanna Nielsen	NIWA	Animalia	en		240	231	2013-11-03	2	2041	present	Pantopoda	Arthropoda			Epibenthic sled	Colossendeis notialis	Child, 1995	urn:lsid:marinespecies.org:taxname:240090	notialis	2004	14e6afd5-e7ea-4455-aedb-3bfce5d41dc1	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	235.5	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis notialis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240090	240090	Colossendeis notialis	[]	230	5763	-1.69	33.7	Colossendeis notialis (MBIS BioRoss 2041)	57	TAN0402/140	4	Ross 4	GearType= Epibenthic sled	57	Colossendeis notialis	Southern Ocean	1077753600000.0	1077753600000.0	1077753600000.0	2004.0
