basisOfRecord	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	habitat	identifiedBy	kingdom	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceStatus	parentEventID	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	catalogNumber	collectionCode	day	dynamicProperties	fieldNumber	institutionCode	locality	month	occurrenceRemarks	waterBody	year	continent	datasetID	datasetName	eventTime	footprintWKT	modified	samplingProtocol	superdomain	superdomainid
HumanObservation	73.8371	7.5903	2018-08-02	ROV_12_00383	SponGES GS2018108 Cruise	Arctic seamount summit	Heidi Kristina Meyer	Animalia	699.8	682.0	occ_6217	Present	GS2018108-19-ROV-12	Heidi Kristina Meyer	Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669	Species	0ba15033-f9a8-46c4-8911-a6090dabe279	4b667f4a-2c2c-401e-8fbb-9be0bdf41421	['6f3223e3-50a6-4ba5-b02c-0037ae3863ce']	690.9	1533168000000.0	1533168000000.0	1533168000000.0	2018.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	[]	770.6	345517	4.95	35.0																				
HumanObservation	79.9499969482	-15.0799999237						Animalia	181.0	180.0					Colossendeis proboscidea	Sabine, 1824			142a33a6-6b6c-4598-8e92-3b4650d92269	17493494-2170-4e2d-bc37-d1c7334c6521	['da50007b-7871-46cf-8530-441b5836d2c1']	180.5					False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colosendeis proboscidea	['WORMS_ANNOTATION_RESOLVABLE']	139.4	38822	-1.57	31.77	602	2008B6	22	samplesize=163;observedindividualcount=0.6;	2217420	ArCOD	Greenland Sea	7	RV Polarstern; underwater video; originally proboscidae- spelling change	Arctic Ocean	1993									
Occurrence	72.271667	14.600167	2009-04-11T00:56:00+00:00/2009-04-11T01:02:00+00:00	Cruise: 58GS-2009105 Sample: 352				Animalia	1044.19	1041.44	038410352001011	present			Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669		23bb3d6f-9e1a-467a-a8f5-3d914023d9ee	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1042.815	1239408000000.0	1239408000000.0	1239408000000.0	2009.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	[]	1043.8	270130	7.29	34.99	038410352001011	IMRMarbunnBenthos	11		catchId: 11	IMR	MAREANO Reference Station: 384	4			2009	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	00:56:00+00:00/01:02:00+00:00	LINESTRING(14.600167 72.271667,14.597333 72.269333)	2024-05-23 10:35:05	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0
HumanObservation	80.5830001831	57.8330001831	1970-9-20					Animalia	150.0	120.0	16779	present		Golikov A. N.	Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669		24beb08d-37de-455a-9483-bd47d341f42f	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	135.0	22636800000.0	22636800000.0	22636800000.0	1970.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-72.0	-2957				2006B3	20			ArcOD		9	;;134669;		1970									
Occurrence	62.631797	2.019815	2021-04-30T14:24:00+00:00/2021-04-30T14:31:00+00:00	Cruise: 58GS-2021104 Sample: 14				Animalia	658.23	657.82	250010014001014	present			Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669		28d89afa-8733-45ed-955e-f7a8468b42f4	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	658.0250000000001	1619740800000.0	1619740800000.0	1619740800000.0	2021.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	[]	666.0	165614	9.89	35.21	250010014001014	IMRMarbunnBenthos	30		catchId: 14	IMR	MAREANO Reference Station: 2500	4			2021	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	14:24:00+00:00/14:31:00+00:00	LINESTRING(2.019815 62.631797,2.01367 62.631598)	2024-05-23 10:35:05	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0
Occurrence	73.347912	36.255697	2015-06-13T18:30:00+00:00/2015-06-13T18:35:00+00:00	Cruise: 58GS-2015109 Sample: 535				Animalia	232.5	224.69	148710535001040	present			Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669		2b089297-3b72-4376-b373-48393d58be7f	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	228.595	1434153600000.0	1434153600000.0	1434153600000.0	2015.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	[]	234.6	361639	4.12	34.95	148710535001040	IMRMarbunnBenthos	13		catchId: 40	IMR	MAREANO Reference Station: 1487	6			2015	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	18:30:00+00:00/18:35:00+00:00	LINESTRING(36.255697 73.347912,36.256143 73.345828)	2024-05-23 10:35:05	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0
HumanObservation	79.4199981689	-15.6300001144						Animalia	37.0	27.0					Colossendeis proboscidea	Sabine, 1824			2bc1f62e-79ba-40cd-86c6-165ae7b34c24	17493494-2170-4e2d-bc37-d1c7334c6521	['da50007b-7871-46cf-8530-441b5836d2c1']	32.0					False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colosendeis proboscidea	['WORMS_ANNOTATION_RESOLVABLE']	103.0	9363	-1.61	31.79	339	2008B6	3	samplesize=500;observedindividualcount=0.4;	2217157	ArCOD	Greenland Sea	7	RV Polarstern; underwater video; originally proboscidae- spelling change	Arctic Ocean	1993									
HumanObservation	77.4169998169	76.0	1931-9-8					Animalia		2030.0	8279	present		Gorbunov	Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669		2f7347da-bdde-461e-8658-2cf821761647	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2030.0	-1209168000000.0	-1209168000000.0	-1209168000000.0	1931.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	['DEPTH_EXCEEDS_BATH']	240.0	150484	-0.37	33.63		2006B3	8			ArcOD		9	;;134669;Lomonosov		1931									
HumanObservation	79.0	8.0030002594	1991-7-2					Animalia	9770.0	9570.0	17239	present		Neelov	Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669		343d7e5a-b047-4c18-964d-efdbd177cf0d	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	9670.0	678412800000.0	678412800000.0	678412800000.0	1991.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	['DEPTH_EXCEEDS_BATH']	1067.4	54210	3.8	34.92		2006B3	2			ArcOD		7	;;134669;Polarstern		1991									
HumanObservation	77.0670013428	95.3000030518	1933-9-21					Animalia	930.0	820.0	9724	present		Gorbunov	Colossendeis proboscidea	(Sabine, 1824)	urn:lsid:marinespecies.org:taxname:134669		4bca97b4-1bdd-4344-9846-d33b4e8a4bec	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	875.0	-1144886400000.0	-1144886400000.0	-1144886400000.0	1933.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis proboscidea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134669	134669	Colossendeis proboscidea	['DEPTH_EXCEEDS_BATH']	81.0	6775	-0.97	31.18		2006B3	21			ArcOD		9	;;134669;Sibiriakov		1933									
