basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	coordinateUncertaintyInMeters	datasetName	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year	bibliographicCitation	country	datasetID	locality
HumanObservation	38195	SOMBASE Pycnogonids	-43.9333000183	-59.1333007812	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	02552a5d-6698-44d3-b764-b0b685ad4805	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	['NO_DEPTH']	1621	385982	8.46	34.06																																
HumanObservation	39235	SOMBASE Pycnogonids	-70.8347015381	-10.5958003998	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	031ccccd-bb18-4f52-8281-3bb2cbdf6131	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	[]	245	15398	-1.72	33.77	274.0	274.0	274.0																													
HumanObservation	Stn WS 92 Colossendeis scoresbii	Discovery Reports	-51.975	-65.0167	NIWA	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	0cb41065-0b86-4e01-a409-eef12545f620	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	[]	130	230833	7.25	33.99	145.0	143.0	144.0	500	Discovery Expedition Biological Reports	8	1927-04-08	22	Stn WS 92	POINT (-65.0167 -51.9750)	WGS84	2	en	2019-03-15	4	4102	Commercial otter trawl. Head rope 24.5m long: 38mm mesh at cod-end	present	Commercial otter trawl. Head rope 24.5 m long: 38mm mesh at cod-end	Gordon, 1932	scoresbii	98	Atlantic Ocean	1927	-1348617600000.0	-1348617600000.0	-1348617600000.0	1927.0				
HumanObservation	23748	SOMBASE Pycnogonids	-52.5332984924	-63.8833007812	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	10455e73-676e-4a83-ab22-a9543f356583	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	[]	245	189499	6.93	34.0	229.0	229.0	229.0																													
HumanObservation	34534	SOMBASE Pycnogonids	-51.8333015442	-61.2499008179	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	264b1cde-50c3-4b55-bfc1-4aa51a83cb9e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	['DEPTH_EXCEEDS_BATH']	-1	204	7.17	34.03	133.0	130.0	131.5																													
HumanObservation	8	CAML - Antarctic Pycnogonids II	-54.05694444	-35.065277	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	2f9a42ba-aeb5-4801-b32b-df311ac42d76	9646a810-f892-4eaf-aa83-a858eb70f709	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	['NO_DEPTH']	3218	76476	1.26	33.8														4/9/10		urn:catalog:BAS:CAML - Antarctic Pycnogonids II:8	GenBankID: GQ386997				scoresbii								Kathrin¬†Krabbe1, Florian¬†Leese1¬†, Christoph¬†Mayer1, Ralph¬†Tollrian1 and Christoph¬†Held2. Polar Biology  Volume 33, Number 3 / March, 2010. p281-292.	Antarctica	IMIS:dasid:2388	South Georgia
HumanObservation	Stn WS 93 Colossendeis scoresbii	Discovery Reports	-51.875	-61.5	NIWA	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	413154c2-891e-4b9e-8d39-6faac2c86f94	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	[]	127	11383	7.1	34.03	133.0	130.0	131.5	500	Discovery Expedition Biological Reports	9	1927-04-09	39	Stn WS 93	LINESTRING (-61.5 -51.85, -61.5 -51.9)	WGS84		en	2019-03-15	4	4103	Commercial otter trawl. Head rope 24.5m long: 38mm mesh at cod-end	present	Commercial otter trawl. Head rope 24.5 m long: 38mm mesh at cod-end	Gordon, 1932	scoresbii	99	Atlantic Ocean	1927	-1348531200000.0	-1348531200000.0	-1348531200000.0	1927.0				7 miles S 80° E of Beaver Island, West Falkland Islands
HumanObservation	23749	SOMBASE Pycnogonids	-75.1500015259	-175.966598511	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	42e4a2c5-b9f2-43aa-a92a-24b6f8e0ee4a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	['DEPTH_EXCEEDS_BATH']	1229	298545	-1.68	34.08	1405.0	1382.0	1393.5																													
HumanObservation	34530	SOMBASE Pycnogonids	-49.8833007812	-60.6166992188	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	49bbe360-5e07-4a3b-9ed3-1588d4a5e6ca	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	[]	160	131368	8.03	34.07	173.0	171.0	172.0																													
HumanObservation	34533	SOMBASE Pycnogonids	-51.9749984741	-65.0166015625	BAS	Colossendeis scoresbii	urn:lsid:marinespecies.org:taxname:173212	6678b4e6-6b90-4fb0-8827-48d0343e8906	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scoresbii	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173212	173212	Colossendeis scoresbii	[]	131	230840	7.25	33.99	145.0	143.0	144.0																													
