basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	coordinateUncertaintyInMeters	datasetName	day	dynamicProperties	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	startDayOfYear	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	34483	SOMBASE Pycnogonids	-54.0999984741	-36.7000007629	BAS	204	120	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	002c5f5e-3a40-4e04-b59f-10dd975ca1b4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	162.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	['DEPTH_EXCEEDS_BATH']	61	1301	1.82	33.78																														
HumanObservation	23770	SOMBASE Pycnogonids	-56.7050018311	-27.0065994263	BAS	121	93	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	037b6a73-5f3e-40ea-8b4b-73344f5d5d47	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	107.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	243	7421	-0.62	33.64																														
HumanObservation	TN Stn. 294 Colossendeis scotti	MBIS Terra Nova Expedition	-74.4167	179.05	TN	289	289	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	056cd03f-d918-4706-b876-7643ce292bc6	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	289.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	270	293609	-1.55	34.13	Colossendeis scotti (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:604)	500	British Antarctic (Terra Nova) Expedition Zoology	15	SurfaceTemperatureInC=-0.6	1913-01-15	294	Stn. 294	POINT (179.0500 -74.4167)	WGS84	1	en	Ross Sea	2014-08-10	1	urn:NIWA:TerraNovaExp:604	TotalLengthInMm=290. SurfaceTemperatureInC=-0.6. GearType=Agassiz trawl	present	GearType=Agassiz trawl	Calman, 1915	m	scotti	15	Holotype	Southern Ocean	1913	-1797552000000.0	-1797552000000.0	-1797552000000.0	1913.0
HumanObservation	23778	SOMBASE Pycnogonids	-60.4315986633	-46.3932991028	BAS	159	152	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	05725b49-9d67-4855-9f42-bf723a245d3c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	155.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	159	13715	-0.9	33.82																														
HumanObservation	23758	SOMBASE Pycnogonids	-64.8082962036	-63.5415992737	BAS	60	45	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	0d5a6565-4456-4d98-bf11-f903b76a5ec8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	52.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	237	1339	-0.57	33.18																														
HumanObservation	37699	SOMBASE Pycnogonids	-62.8465995789	-54.2666015625	BAS	255	255	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	0f372021-1e06-48b0-8b66-6af6887d53bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	255.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	228	53057	-1.47	33.76																														
HumanObservation	39236	SOMBASE Pycnogonids	-70.8347015381	-10.5958003998	BAS	274	274	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	0fd0fc24-7184-44ae-85d2-abf84832ecbd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	274.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	245	15398	-1.72	33.77																														
HumanObservation	23775	SOMBASE Pycnogonids	-56.2599983215	-27.5832996368	BAS	155	110	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	125c9bce-e14c-4b89-95a9-87d6816fb32e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	132.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	158	1976	-0.46	33.64																														
HumanObservation	39748	SOMBASE Pycnogonids	-62.2020988464	-60.3862991333	BAS	126	126	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	12fbc93e-5e24-40cf-906c-21f1dddb9c5d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	126.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	129	26853	-0.37	33.82																														
HumanObservation	23754	SOMBASE Pycnogonids	-62.9350013733	-60.8166007996	BAS	109	109	Colossendeis scotti	urn:lsid:marinespecies.org:taxname:173215	15b1526e-7c71-4fec-bc00-ea8289be0f81	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	109.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis scotti	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173215	173215	Colossendeis scotti	[]	113	3467	-0.44	33.89																														
