associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81532.274082	Invertebrate Zoology: Crustacea	United States	22	45.5	-124.866996765	observedindividualcount=1;	1890-09-22T12:00:00Z	Hilton, W. A.	1.0	USNM	Off Oregon, W Of Cape Meares	1437	1437	9	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650	male	Holotype	North Pacific Ocean	1890	00ee1bed-cd55-4ba8-9f5f-e25ea3f3e7bf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1437	-2501712000000	-2501712000000	-2501712000000	1890	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	['DEPTH_EXCEEDS_BATH']	1061	68266	12.53	30.03	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	76525.271031	Invertebrate Zoology: Crustacea	United States	29	55.3330001831	-136.332992554	observedindividualcount=3;	1888-08-29T12:00:00Z	Hilton, W. A.	3.0	USNM	Off Prince Of Wales Island	2869	2869	8	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650	female		North Pacific Ocean	1888	2543d5e4-4331-4e99-9dc2-e66dc509225c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2869	-2566857600000	-2566857600000	-2566857600000	1888	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	2855	124068	9.07	32.22	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79966.272872	Invertebrate Zoology: Crustacea		29	47.3670005798	-125.682998657	observedindividualcount=6;	1889-06-29T12:00:00Z	Hilton, W. A.	6.0	USNM	Off Washington	1571	1571	6	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650			Pacific Ocean	1889	39d1dcdd-45a9-4254-9cf7-97aa264cd1bc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1571	-2540592000000	-2540592000000	-2540592000000	1889	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	1529	95784	11.92	31.2	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154795.118190	Invertebrate Zoology: Crustacea		29	45.9169998169	-125.150001526	observedindividualcount=1;	1964-05-29T12:00:00Z	Child, C. Allan	1.0	USNM	Off Oregon, SW Of Columbia River Mouth	1646	1646	5	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650			North Pacific Ocean	1964	7fc071f6-29ac-427c-89a3-991f98351ab3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1646	-176515200000	-176515200000	-176515200000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	1495	87475	12.48	30.49	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154794.118189	Invertebrate Zoology: Crustacea		29	45.9169998169	-125.150001526	observedindividualcount=11;	1964-05-29T12:00:00Z	Child, C. Allan	11.0	USNM	Off Oregon, SW Of Columbia River Mouth	1554	1554	5	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650			North Pacific Ocean	1964	849bc4a5-71fa-4406-b238-3458e34cb941	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1554	-176515200000	-176515200000	-176515200000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	1495	87475	12.48	30.49	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154799.118194	Invertebrate Zoology: Crustacea		30	46.0533294678	-125.095001221	observedindividualcount=2;	1964-05-30T12:00:00Z	Child, C. Allan	2.0	USNM	Off Oregon, SW Of Columbia River Mouth	1463	1463	5	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650			North Pacific Ocean	1964	9735ef0e-1621-41b4-9aed-ee30d6ffc902	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1463	-176428800000	-176428800000	-176428800000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	1422	81244	12.4	30.56	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	76524.271030	Invertebrate Zoology: Crustacea		29	47.3670005798	-125.808326721	observedindividualcount=1;	1889-06-29T12:00:00Z	Hilton, W. A.	1.0	USNM	Off Washington	1604	1604	6	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650	male		Pacific Ocean	1889	c9d12456-251b-493a-96ff-abb6f38afe50	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1604	-2540592000000	-2540592000000	-2540592000000	1889	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	1669	104633	11.93	31.24	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154787.118182	Invertebrate Zoology: Crustacea		15	45.6183280945	-124.910003662	observedindividualcount=1;	1963-05-15T12:00:00Z	Child, C. Allan	1.0	USNM	Off Oregon, SW Of Columbia River Mouth	1372	1372	5	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650			North Pacific Ocean	1963	d008c2a8-8d15-462b-a3d2-28b13b82d04a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1372	-209347200000	-209347200000	-209347200000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	1418	72761	12.5	29.9	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79967.272873	Invertebrate Zoology: Crustacea	United States	13	57.1669998169	-173.75	observedindividualcount=1;	1893-07-13T12:00:00Z	Hilton, W. A.	1.0	USNM		148	148	7	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650			North Pacific Ocean	1893	d56b722c-c3e8-4104-b099-7fc1795888a8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	148	-2413152000000	-2413152000000	-2413152000000	1893	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	272	200663	4.93	32.78	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154798.118193	Invertebrate Zoology: Crustacea		30	46.0449981689	-124.955001831	observedindividualcount=1;	1964-05-30T12:00:00Z	Child, C. Allan	1.0	USNM	Off Oregon, SW Of Columbia River Mouth	914	914	5	Alcohol (Ethanol)	Colossendeis tenera	Hilton	urn:lsid:marinespecies.org:taxname:239650			North Pacific Ocean	1964	f05b791d-e7dc-4bae-ac09-9e3bc64b0b8b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	914	-176428800000	-176428800000	-176428800000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenera	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239650	239650	Colossendeis tenera	[]	944	71310	12.33	30.2	
