basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year
HumanObservation	37563	SOMBASE Pycnogonids	-69.5832977295	13.8332996368	BAS	400	380	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	0f6d849a-177c-495f-bfe0-6d9dea07a2d8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	390.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	37	-1050	-1.75	33.54							
HumanObservation	39545	SOMBASE Pycnogonids	-74.4045028687	-104.611099243	BAS	505	498	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	17300145-f33e-45dc-a630-b2c8af72792e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	501.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	[]	497	38077	-1.54	33.22							
HumanObservation	37403	SOMBASE Pycnogonids	-65.4000015259	113.0	BAS	860	510	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	18edf663-ba6a-4132-af44-503c95d9e80c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	685.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	['DEPTH_EXCEEDS_BATH']	547	41409	-1.66	33.7							
HumanObservation	37702	SOMBASE Pycnogonids	-62.8465995789	-54.2666015625	BAS	255	255	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	1cd3a7f2-f1ef-4b5b-a2a3-624ffc033352	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	255.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	[]	228	53057	-1.47	33.76							
HumanObservation	38101	SOMBASE Pycnogonids	-76.6666030884	173.933303833	BAS	470	470	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	31845999-d0f3-49b9-8d10-90ee461e46de	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	470.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	[]	494	85414	-1.55	34.31							
HumanObservation	38100	SOMBASE Pycnogonids	-63.0250015259	-62.7999992371	BAS	280	280	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	3318e81a-4b67-4a13-b133-4c2a1dde4929	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	280.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	['DEPTH_EXCEEDS_BATH']	200	7175	-0.37	33.6							
HumanObservation	1273	Weddell Sea macrozoobenthos EASIZ I	-73.89	-22.448334	AWI	246	246	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	3764bf2b-d098-4656-9f63-7cd1d4dac793	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	246.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	[]	255	22753	-1.68	33.84	IMIS:dasid:2432	15	South of Vestkapp	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:1273	1996
HumanObservation	37569	SOMBASE Pycnogonids	-69.3499984741	14.1000003815	BAS	830	670	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	46595ae7-f35b-4970-8f4b-87a78f3258e2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	750.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	['DEPTH_EXCEEDS_BATH']	566	14887	-1.73	33.58							
HumanObservation	37586	SOMBASE Pycnogonids	-67.8415985107	69.9533004761	BAS	290	290	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	4c91ad29-6d29-485f-b262-27400f2179d0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	290.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	[]	256	11879	-1.72	33.83							
HumanObservation	37669	SOMBASE Pycnogonids	-60.6199989319	-44.6500015259	BAS	450	330	Colossendeis tenuipedis	urn:lsid:marinespecies.org:taxname:173219	5dcf9c8a-1fb0-4f9b-98af-b177298820bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	390.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tenuipedis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173219	173219	Colossendeis tenuipedis	['DEPTH_EXCEEDS_BATH']	120	5784	-0.95	33.81							
