basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	genus	institutionCode	locality	modified	occurrenceID	occurrenceRemarks	scientificName	scientificNameID	specificEpithet	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	coordinatePrecision	coordinateUncertaintyInMeters	footprintWKT	occurrenceStatus	taxonRank	associatedReferences	day	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	month	preparations	recordedBy	scientificNameAuthorship	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	Kathrin Krabbe1, Florian Leese1 , Christoph Mayer1, Ralph Tollrian1 and Christoph Held2. Polar Biology  Volume 33, Number 3 / March, 2010. p281-292.	10	CAML - Antarctic Pycnogonids II	Antarctica	IMIS:dasid:2388	-58.05666667	-26.053333	Colossendeis	BAS	South Sandwich	4/9/10	urn:catalog:BAS:CAML - Antarctic Pycnogonids II:10	GenBankID: GQ387002	Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225	wilsoni	0e1a723e-90a6-46e8-a045-e6afc66e8576	9646a810-f892-4eaf-aa83-a858eb70f709	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	['NO_DEPTH']	2751	33632	-0.85	33.64																									
HumanObservation		23823	SOMBASE Pycnogonids			-72.0	172.466598511	Colossendeis	BAS					Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225		1a31a61b-a032-45d0-a697-cd73fb57e930	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	[]	654	45036	-1.64	34.15	528.0	523.0	525.5																						
HumanObservation		37303	SOMBASE Pycnogonids			-72.2900009155	170.440002441	Colossendeis	BAS					Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225		20b7ec6d-a544-46e2-b3fc-913f8528c881	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	[]	290	6390	-1.72	33.55	358.0	205.0	281.5																						
PreservedSpecimen		P.72930	co113	Australia		-33.516	151.316	Colossendeis	AM	east of Broken Bay	2017-03-02T12:39:25	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72930		Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225	wilsoni	258fd477-274b-4712-9407-f70b14ccbb63	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	['NO_DEPTH', 'ON_LAND']	-8	-4026	20.31	35.52				0.8961	100000	POINT (151.31600 -33.51600)	present	species																	
HumanObservation		23826	SOMBASE Pycnogonids			-62.9115982056	-60.5032997131	Colossendeis	BAS					Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225		2f7c0d1f-60ff-443f-a11d-e8ea7a422261	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	['DEPTH_EXCEEDS_BATH']	71	1130	-0.44	33.92	210.0	130.0	170.0																						
HumanObservation		23819	SOMBASE Pycnogonids			-60.7832984924	-53.5	Colossendeis	BAS					Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225		3196ab85-78c1-4137-8db3-929c78a78bcb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	[]	575	47137	-0.57	34.05	641.0	641.0	641.0																						
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1123309.943422	Invertebrate Zoology	Antarctica		-75.0579986572	-176.617004395	Colossendeis	USNM					Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225		35036a2b-de05-44f9-9e8a-f5b7a8f99f24	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	[]	850	304598	-1.68	34.07	801.0	801.0	801.0						National Museum of Natural History, Smithsonian Institution	16	observedindividualcount=1;	1968-01-16T12:00:00Z	USARP/EL/32/2026/USC	Child, C. Allan	2.0	1	Alcohol (Ethanol)	University of Southern California	Calman	Antarctic Ocean	1968	-61862400000.0	-61862400000.0	-61862400000.0	1968.0
HumanObservation		23825	SOMBASE Pycnogonids			-64.8165969849	-64.1782989502	Colossendeis	BAS					Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225		4b8815c7-97ba-4878-aff8-cab172b12521	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	[]	313	1899	-0.53	33.16	265.0	255.0	260.0																						
HumanObservation		23821	SOMBASE Pycnogonids			-71.3833007812	171.199996948	Colossendeis	BAS					Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225		4c40153d-8772-4092-8ee8-4e8ba335405b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	[]	436	26523	-1.64	34.07	357.0	351.0	354.0																						
HumanObservation	Kathrin Krabbe1, Florian Leese1 , Christoph Mayer1, Ralph Tollrian1 and Christoph Held2. Polar Biology  Volume 33, Number 3 / March, 2010. p281-292.	11	CAML - Antarctic Pycnogonids II	Antarctica	IMIS:dasid:2388	-61.05444444	-56.058613	Colossendeis	BAS	Elephant Island	4/9/10	urn:catalog:BAS:CAML - Antarctic Pycnogonids II:11	GenBankID: GQ387003	Colossendeis wilsoni	urn:lsid:marinespecies.org:taxname:173225	wilsoni	4c821392-822a-4688-b96b-d39bfdd34965	9646a810-f892-4eaf-aa83-a858eb70f709	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis wilsoni	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173225	173225	Colossendeis wilsoni	['NO_DEPTH']	623	31513	-0.31	33.91																									
