basisOfRecord	catalogNumber	class	collectionCode	continent	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintWKT	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dynamicProperties	identifiedBy	individualCount	preparations	stateProvince	waterBody
Occurrence	222910011001004	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	25	64.713118	8.218613	2020-04-25T17:44:00+00:00/2020-04-25T17:49:00+00:00	Cruise: 58GS-2020104 Sample: 11	17:44:00+00:00/17:49:00+00:00	Callipallenidae	catchId: 4	LINESTRING(8.218613 64.713118,8.219473 64.715163)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 2229	239.69	238.56	2024-05-23 10:35:05	4	222910011001004	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2020	05a0f1d8-969c-4a85-8988-e49a54a9b8db	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	239.125	1587772800000	1587772800000	1587772800000	2020	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	239.0	74713	9.63	34.6									
Occurrence	038410352001010	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	11	72.271667	14.600167	2009-04-11T00:56:00+00:00/2009-04-11T01:02:00+00:00	Cruise: 58GS-2009105 Sample: 352	00:56:00+00:00/01:02:00+00:00	Callipallenidae	catchId: 10	LINESTRING(14.600167 72.271667,14.597333 72.269333)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 384	1044.19	1041.44	2024-05-23 10:35:05	4	038410352001010	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2009	0657c631-aa77-448b-a14b-ae3fde656b35	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1042.815	1239408000000	1239408000000	1239408000000	2009	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	1043.8	270130	7.29	34.99									
Occurrence	063110375008055	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	22	70.808333	19.702333	2010-09-22T14:38:00+00:00/2010-09-22T14:44:00+00:00	Cruise: 58GS-2010112 Sample: 375	14:38:00+00:00/14:44:00+00:00	Callipallenidae	catchId: 55	LINESTRING(19.702333 70.808333,19.708667 70.807167)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 631	180.24	177.81	2024-05-23 10:35:05	9	063110375008055	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2010	07f71aaa-37e1-43b8-a4ad-d550867d662b	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	179.025	1285113600000	1285113600000	1285113600000	2010	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	180.8	56764	7.35	34.59									
Occurrence	052310353005046	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	29	70.703368	17.34641	2010-07-29T23:31:00+00:00/2010-07-29T23:37:00+00:00	Cruise: 58GS-2010110 Sample: 353	23:31:00+00:00/23:37:00+00:00	Callipallenidae	catchId: 46	LINESTRING(17.34641 70.703368,17.349 70.705667)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 523	280.84	274.41	2024-05-23 10:35:05	7	052310353005046	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2010	0f5cc016-d5a0-4e1b-9d02-beacd0dd8201	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	277.625	1280361600000	1280361600000	1280361600000	2010	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	279.2	78582	7.73	34.68									
Occurrence	029610340003020	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	13	68.6215	12.6945	2008-10-13T13:18:00+00:00/2008-10-13T13:23:00+00:00	Cruise: 58GS-2008114 Sample: 340	13:18:00+00:00/13:23:00+00:00	Callipallenidae	catchId: 20	LINESTRING(12.6945 68.6215,12.6905 68.621)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 296	187.82	185.37	2024-05-23 10:35:05	10	029610340003020	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2008	11a85974-c18f-4f97-b399-6e350a541fd2	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	186.595	1223856000000	1223856000000	1223856000000	2008	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	186.2	51596	8.29	34.56									
Occurrence	084810025021042	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	10	67.220167	10.919833	2012-05-10T12:45:00+00:00/2012-05-10T12:50:00+00:00	Cruise: 58GS-2012106 Sample: 25	12:45:00+00:00/12:50:00+00:00	Callipallenidae	catchId: 42	LINESTRING(10.919833 67.220167,10.920548 67.222253)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 848	182.97	182.57	2024-05-23 10:35:05	5	084810025021042	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2012	1352757d-ed96-41e9-9207-41b742bd3c4a	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	182.76999999999998	1336608000000	1336608000000	1336608000000	2012	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	184.8	44766	8.74	34.2									
Occurrence	062410373006037	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	21	70.602667	20.689	2010-09-21T13:46:00+00:00/2010-09-21T13:51:00+00:00	Cruise: 58GS-2010112 Sample: 373	13:46:00+00:00/13:51:00+00:00	Callipallenidae	catchId: 37	LINESTRING(20.689 70.602667,20.69331 70.603497)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 624	120.64	118.29	2024-05-23 10:35:05	9	062410373006037	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2010	1570d4ca-07bf-492b-9614-3e7469be0277	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	119.465	1285027200000	1285027200000	1285027200000	2010	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	118.4	36039	7.25	34.53									
Occurrence	043110366001058	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	26	71.865167	16.7635	2009-04-26T13:35:00+00:00/2009-04-26T13:40:00+00:00	Cruise: 58GS-2009105 Sample: 366	13:35:00+00:00/13:40:00+00:00	Callipallenidae	catchId: 58	LINESTRING(16.7635 71.865167,16.763 71.867167)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 431	355.31	354.85	2024-05-23 10:35:05	4	043110366001058	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2009	18704ac0-62c8-4081-b2c2-dfea6931851c	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	355.08000000000004	1240704000000	1240704000000	1240704000000	2009	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	355.2	194924	7.49	34.89									
PreservedSpecimen	11538.83986	Pycnogonida	Invertebrate Zoology: Crustacea				5	30.8833293915	-79.7083282471	1886-05-05T12:00:00Z			Callipallenidae			Cordylochele	USNM	Animalia		499.0	499.0		5			Pantopoda	Arthropoda		Cordylochele longicollis	(Sars)	urn:lsid:marinespecies.org:taxname:134656	1886	1937c46c-5392-4501-b5c1-e230fa80f68e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	499.0	-2640038400000	-2640038400000	-2640038400000	1886	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis		2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Pseudopallene longicollis	[]	477.0	154527	26.41	36.11	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	observedindividualcount=2;	Hedgpeth, J. W.	2.0	Alcohol (Ethanol)	Florida	North Atlantic Ocean
Occurrence	005710071031048	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	18	71.160565	21.098602	2006-06-18T01:33:00+00:00/2006-06-18T01:39:00+00:00	Cruise: 58AA-2006612 Sample: 71	01:33:00+00:00/01:39:00+00:00	Callipallenidae	catchId: 48	LINESTRING(21.098602 71.160565,21.107487 71.159735)	Cordylochele	IMR	Animalia	MAREANO Reference Station: 57	187.21	183.8	2024-05-23 10:35:05	6	005710071031048	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Cordylochele longicollis	Sars, 1888	urn:lsid:marinespecies.org:taxname:851554	2006	2059ae11-acd9-4433-b3e1-37e6b4975280	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	185.505	1150588800000	1150588800000	1150588800000	2006	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Cordylochele longicollis	1.0	2	1065	1274	1302	1358	379601	379609	1564	379241	851554	851554	Cordylochele longicollis	[]	185.4	62844	7.25	34.8									
