basisOfRecord	catalogNumber	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	institutionCode	language	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	footprintWKT	identificationQualifier	identifiedBy	parentEventID	recordedBy	samplingProtocol	eventTime	continent	coordinateUncertaintyInMeters	country	locality
Occurrence	RSMP_HAN4800702_20C_1005174	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	22	53.40085	0.60587	2002-08-22	HAN4800702_20C	sample	EPSG:4326	CEFAS	en	14.0	14.0	2018-04-09 15:18:52	8	RSMP_HAN4800702_20C_1005174	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	2002	001e20f6-8c2b-47b6-8c1d-84000b807a29	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	14.0	1029974400000	1029974400000	1029974400000	2002	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	[]	16.0	23300	10.8	34.07												
Occurrence	MRSNH0080000079F	https://marineinfo.org/id/dataset/8019	Marine Recorder Snapshot extract of surveys entered by NatureScot	9	56.51396	-6.392232	2007-08-09	MRSNH0080000000A.07	sample	EPSG:4326		en			2022-01-18 09:29:51	8	MRSNH0080000079F	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	2007	00dc9ccc-e391-4742-aba6-497aff228ab3	0387adc4-c0b6-4072-b5f2-b819b4cfa30d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1186617600000	1186617600000	1186617600000	2007	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	['NO_DEPTH']	-2.0	51	10.71	34.86	Marine Recorder Snapshot extract of surveys entered by NatureScot	LINESTRING (-6.392232 56.5139588, -6.392037 56.51437136)	qualifier: uncertain	Redacted	MRSNH0080000000A	Contact: www.nature.scot/about-snh/contact-us	MRSNH00800000003_METH_002					
Occurrence	JNCCMNCR10811680	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	28	58.02079	-6.704676	1988-07-28T11:25:11	021.023.001	sample	EPSG:4326		en			2022-01-18 09:29:51	7	JNCCMNCR10811680	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	1988	051de0d1-1ced-46a7-8fa6-b77bd61e7dff	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		586051200000	586051200000	586051200000	1988	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	['NO_DEPTH']	-15.6	141			Marine Recorder Snapshot extract of surveys entered by JNCC			Mark Davies	JNCCMNCR10001289	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000021_METH_002	11:25:11				
Occurrence	JNCCMNCR10817290	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	11	58.24725	-5.056711	1988-10-11T14:48:23	024.016.002	sample	EPSG:4326		en	20.0	14.0	2022-01-18 09:29:51	10	JNCCMNCR10817290	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	1988	0780ffc4-8265-4253-a514-5777e3cf242f	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	17.0	592531200000	592531200000	592531200000	1988	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	['DEPTH_EXCEEDS_BATH']	-52.0	66			Marine Recorder Snapshot extract of surveys entered by JNCC			L Mark Davies	JNCCMNCR10000839	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000024_METH_002	14:48:23				
Occurrence	MRMCS01500007689	https://marineinfo.org/id/dataset/8018	Marine Recorder Snapshot extract of surveys entered by SeaSearch	6	51.18548	-4.659952	2012-06-06T10:50:25	MRMCS015000003E3.05	sample	EPSG:4326		en			2022-01-18 09:29:51	6	MRMCS01500007689	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	2012	0bba0501-a846-428c-a8f6-c4a49db42e38	e69be30f-84e8-4c21-a7ce-9fb4fb14ce6a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1338940800000	1338940800000	1338940800000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	['NO_DEPTH']	9.2	100	12.5	33.26	Marine Recorder Snapshot extract of surveys entered by SeaSearch			Andrew Grant	MRMCS015000003E3	Contact: info@seasearch.org.uk	MRMCS0150000004B_METH_001	10:50:25				
Occurrence	RSMP_CSEMPCARDI07#33E4(int)#75A#18429_1005175	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	27	52.0496	-5.38338	2007-06-27	CSEMPCARDI07#33E4(int)#75A#18429	sample	EPSG:4326	CEFAS	en	63.0	63.0	2018-04-09 15:18:52	6	RSMP_CSEMPCARDI07#33E4(int)#75A#18429_1005175	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	2007	124e9c86-a1fe-410a-a0e5-d3b0e074eff1	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	63.0	1182902400000	1182902400000	1182902400000	2007	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	[]	64.0	16187	11.92	34.24												
Occurrence	287204856	https://marineinfo.org/id/dataset/692		6	51.740166008817255	-5.2803679617912085	1975-06-06/1975-06-06				Natural Resources Wales				2014-04-16 15:57:02	6	urn:catalog:Natural Resources Wales:66571:287204856	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	1975	139c3165-8c15-4c22-a4ad-d8dc595a7d7a	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		171244800000	171244800000	171244800000	1975	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	['NO_DEPTH']	-16.0	63	12.12	34.01	66571								Europe	70.7	GB	Skomer
Occurrence	275873908	https://marineinfo.org/id/dataset/690		9	56.514482197327645	-6.390541786109082	2007-08-09/2007-08-09				Scottish Natural Heritage				2014-04-30 15:14:44	8	urn:catalog:Scottish Natural Heritage:61534:275873908	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	2007	18d152a2-f337-4e84-825e-452b812589ed	ebe7ffad-b134-40d3-b3df-21b675c4bcb1	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1186617600000	1186617600000	1186617600000	2007	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	['NO_DEPTH']	-2.0	161	10.71	34.86	61534					Colin Moore			Europe	70.7	GB	Fladda N subtidal
Occurrence	JNCCMNCR10687143	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	5	50.23023	-3.77384	1985-04-05	241.D10.001	sample	EPSG:4326		en			2022-01-18 09:29:51	4	JNCCMNCR10687143	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	1985	3224bdca-3667-4578-bd84-e8e8a33a75c8	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		481507200000	481507200000	481507200000	1985	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	['NO_DEPTH']	-16.0	86	12.8	34.82	Marine Recorder Snapshot extract of surveys entered by JNCC				JNCCMNCR10009483	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000241_METH_018					
Occurrence	RSMP_HAN4800702_14A_1005172	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	8	53.42601	0.58805	2002-08-08	HAN4800702_14A	sample	EPSG:4326	CEFAS	en	14.0	14.0	2018-04-09 15:18:52	8	RSMP_HAN4800702_14A_1005172	present	Endeis charybdaea	urn:lsid:marinespecies.org:taxname:134672	2002	35e4a393-546a-446e-8c28-9533ef21a058	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	14.0	1028764800000	1028764800000	1028764800000	2002	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis charybdaea	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134672	134672	Endeis charybdaea	[]	14.8	23285	10.65	34.1												
