associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	recordedBy	coordinatePrecision	coordinateUncertaintyInMeters	footprintWKT	modified	occurrenceID	occurrenceStatus	specificEpithet	taxonRank	continent	datasetName	dateIdentified	geodeticDatum	georeferenceSources	language	locationID	samplingProtocol	collectionID	eventRemarks	fieldNumber	higherClassification	higherGeography	institutionID	license	nomenclaturalCode	occurrenceRemarks	startDayOfYear	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	superdomain	superdomainid	ownerInstitutionCode	references	eventID	organismQuantity	organismQuantityType	verbatimIdentification
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180130.136086	Invertebrate Zoology: Crustacea	United States	St. Lucie County	24	27.1816692352	-80.0416717529	observedindividualcount=1;	1975-07-24T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	Off Saint Lucie Inlet	21.6	21.6	7	Alcohol (Ethanol)	Endeis mollis	(Carpenter)	urn:lsid:marinespecies.org:taxname:134673	female	Florida	North Atlantic Ocean	1975	053f2c59-8b3f-4373-ba6e-ddf4436a21f4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	21.6	175392000000.0	175392000000.0	175392000000.0	1975.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	[]	27.0	10734	26.41	36.04																																							
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180122.136078	Invertebrate Zoology: Crustacea	United States	St. Lucie County	25	27.5	-80.2833328247	observedindividualcount=1;	1977-01-25T12:00:00Z	Child, C. Allan	1.0	USNM		Third Reef S Of Pepper State Park	6.1	6.1	1	Alcohol (Ethanol)	Endeis mollis	(Carpenter)	urn:lsid:marinespecies.org:taxname:134673	male	Florida	North Atlantic Ocean	1977	18b3af8f-fe76-4012-b003-a6e29321b851	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.1	222998400000.0	222998400000.0	222998400000.0	1977.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	[]	10.0	1572	25.75	36.14	J. Reed																																						
	PreservedSpecimen		P.31868	co113	Australia			-23.45	151.916					AM		Heron Island					Endeis mollis		urn:lsid:marinespecies.org:taxname:134673					18d3680c-2ef2-4431-86ab-02569d6f756d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	['NO_DEPTH']	13.42	1622	24.12	35.45		0.0896	10000	POINT (151.91600 -23.45000)	2017-03-02T16:11:34	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.31868	present	mollis	species																														
	PreservedSpecimen		P.73437	co113				-9.79977	135.36677		2005-05-01			AM		Arafura Sea, Area B					Endeis mollis		urn:lsid:marinespecies.org:taxname:134673					23d1e07b-f886-49b7-af22-745b20ad282a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1114905600000.0	1114905600000.0	1114905600000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	['NO_DEPTH']	91.0	201143	27.93	34.26		0.0009	100	POINT (135.36677 -9.79977)	2017-03-02T12:40:56	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73437	present	mollis	species																														
	PreservedSpecimen		50483	NIWA	Ross Dependency		9	-73.1245	174.3205		9/02/2008	Arango, Claudia		NIWA Invertebrate Collection		site C1, shelf,  eastern Ross Sea	321.0		2	Specimen(s), Ethanol - no formalin = 1	Endeis mollis	(Carpenter, 1904)	urn:lsid:marinespecies.org:taxname:134673				2008	2d9bde92-54d0-42ae-81da-4f8acff9bb57	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	321.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	[]	321.0	143612	-1.54	34.14	IPY CAML		100	LINESTRING (174.3205 -73.1245, 174.303 -73.133)	8/04/2022	5e9351ac-fa36-11e2-96b3-aa6f927c92a3	present	mollis		Antarctica	NIWA Invertebrate Collection	1/07/2009	WGS84	GPS	en	TAN0802/17	Trawl, Fish, Bottom																						
	PreservedSpecimen		116139	IZ	Thailand		9	13.3333333333	100.9166666667		1971-06-09	C. Allan Child, NMNHIZ		CAS		Gulf of Thailand, Ko Sichang, Hin Tasin, at edge of water. very low tide			6	Fluid-75% EtOH(1)	Endeis mollis	(Carpenter, 1904)					1971	39bd3d95-5ad9-4310-9e63-d3351c3d384a	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']		45273600000.0	45273600000.0	45273600000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	['NO_DEPTH']	-8.0	382	29.2	23.09	Franz B. Steiner					urn:catalog:CAS:IZ:116139		mollis	species	Asia		1998-09			en	0568bc28-2598-11ed-aace-005056be1b7a		https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	Taxa: Porifera, Cnidaria, Polychaeta, Sipuncula, Decapoda, Amphipoda, Bivalvia, Ophiuroidea, Cirripedia, Bryozoa,  Polyplacophora, Gastropoda, Isopoda, Tanaida, Nemertea,Urochordata; eggs. Specimens in fair to good condition.Original accession date 5 Ma	001155	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Endeidae, Endeinae	Asia	http://grscicoll.org/institution/california-academy-sciences	https://creativecommons.org/publicdomain/zero/1.0/	ICZN	1 male specimen. This lot split from CASIZ# 115024.	160	Physical Object	9 Jun 1971	13° 20' N	100° 55' E	Biota	1.0						
	HumanObservation		37242	SOMBASE Pycnogonids				-35.4500007629	23.4899997711					BAS							Endeis mollis		urn:lsid:marinespecies.org:taxname:134673					42c0ff3d-1d32-4d3d-8964-f0867bef7efd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	['NO_DEPTH']	1798.0	149036	21.47	35.43																																							
	HumanObservation		36220					10.0	93.0		1904			CMLRE		Andaman & Nicobar Islands					Endeis mollis		urn:lsid:marinespecies.org:taxname:134673					44e85153-03a1-4111-ae30-0bc96f96ead0	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']		-2082844800000.0	-2067120000000.0	-2051308800000.0	1904.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	['NO_DEPTH']	1324.0	77172	28.91	32.43						11508	present																											NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar				
	PreservedSpecimen		P.71968	co113	Australia			-14.666	145.466		1982-01-11			AM		Lizard Island, North Point					Endeis mollis		urn:lsid:marinespecies.org:taxname:134673	Male				4eccf46c-3ee3-4fd1-b3cb-d404cdde5d49	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		379555200000.0	379555200000.0	379555200000.0	1982.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91		0.8961	100000	POINT (145.46600 -14.66600)	2017-03-02T12:36:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71968	present	mollis	species																														
	PreservedSpecimen		P.73438	AM_SS200505	Australia			-9.795	135.36		2005-07-02T11:32:06Z	Arango, C. - Australian Museum - Marine Invertebrates		AM		Arafura Sea, Area B	92.0	92.0			Endeis mollis		urn:lsid:marinespecies.org:taxname:134673		Northern Territory			5083c096-c3e0-4eca-a62a-85a8325bc320	b2f76771-1124-4bcd-8ea6-13c17daf1d30	['2a57cd59-6799-4579-955e-27c9af97aea4']	92.0	1120262400000.0	1120262400000.0	1120262400000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis mollis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134673	134673	Endeis mollis (Carpenter, 1904)	[]	92.0	202049	27.93	34.26	G.D.F. Wilson		200	POINT (135.36000 -9.79500)	2024-02-17T10:45:32	SS05/2005/002/BS002-968	present																									Biota	1.0			SS05/2005/002/BS002	1	individuals	Endeis mollis
