basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	modified	month	occurrenceID	occurrenceStatus	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	continent	coordinateUncertaintyInMeters	country	datasetName	footprintWKT	geodeticDatum	georeferenceSources	identifiedBy	language	locationID	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	bibliographicCitation	dateIdentified	endDayOfYear	fieldNumber	individualCount	occurrenceRemarks	startDayOfYear	taxonRemarks	waterBody	countryCode	eventID	eventRemarks	identifiedByID	institutionID	organismQuantity	organismQuantityType	sex	taxonRank	type	verbatimEventDate
PreservedSpecimen	558	Collection Pantopoda	https://marineinfo.org/id/dataset/2860	1	-54.4966666667	3.51166666667	1970-01-01/1970-01-01	SMF	÷stlich von der BouvTt-Insel	2011-08-19 12:54:48	1	urn:catalog:SMF:Collection Pantopoda:558	present	Nymphon australe	urn:lsid:marinespecies.org:taxname:173368	1970	0039034b-0549-4041-bcf0-946337158e4c	ad2b32e8-2494-40fc-bfcd-4850cc7a1f0d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	0.0	0.0	0.0	1970.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australis Hodgson	['NO_DEPTH']	1053	8500	-0.15	33.81																																						
HumanObservation	22771	SOMBASE Pycnogonids			-77.5333023071	-172.533294678		BAS						Nymphon australe	urn:lsid:marinespecies.org:taxname:173368		0058c09c-1f47-413b-94b4-3df8303b2212	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	[]	473	88262	-1.61	34.03	472.0	468.0	470.0																																			
HumanObservation	22868	SOMBASE Pycnogonids			-78.0115966797	179.703292847		BAS						Nymphon australe	urn:lsid:marinespecies.org:taxname:173368		005b1381-b5df-462c-a363-2c8b454548cd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-41	-29264			695.0	695.0	695.0																																			
PreservedSpecimen	80937	NIWA		4	-71.716333	171.827833	4/02/2004	NIWA Invertebrate Collection	Possession Island	8/04/2022	2	60f28454-fa36-11e2-96b3-aa6f927c92a3	present	Nymphon australe	urn:lsid:marinespecies.org:taxname:173368	2004	00d9dad8-62f7-49ad-bdb1-4b7f0dd8ba2c	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	[]	532	28016	-1.63	34.09	536.0	536.0	536.0	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	LINESTRING (171.827833 -71.716333, 171.827833 -71.716333)	WGS84	GPS	Nielsen, Johanna	en	TAN0402/7	Specimen(s), Ethanol - no formalin = 2	NIWA; MFish	Grab,  van Veen	Hodgson, 1902	australe																				
HumanObservation	22795	SOMBASE Pycnogonids			-63.4249992371	-62.25		BAS						Nymphon australe	urn:lsid:marinespecies.org:taxname:173368		00fc8e40-eaa6-4412-b45c-b8b1646c8144	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	[]	94	6874	-0.39	33.7	124.0	119.0	121.5																																			
HumanObservation	39772	SOMBASE Pycnogonids			-62.7527999878	-60.5516014099		BAS						Nymphon australe	urn:lsid:marinespecies.org:taxname:173368		0125a3a4-5483-4d9d-aa58-5defa9c5299e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	[]	373	7086	-0.42	33.93	429.0	429.0	429.0																																			
HumanObservation	39595	SOMBASE Pycnogonids			-65.1446990967	-64.7864990234		BAS						Nymphon australe	urn:lsid:marinespecies.org:taxname:173368		01582c1e-7437-4d8f-97d6-525735d279a9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	['DEPTH_EXCEEDS_BATH']	463	7505	-0.59	33.06	578.0	578.0	578.0																																			
HumanObservation	TAN0402/261 Nymphon australe sp.	MBIS BioRoss		5	-66.175333	162.267333	2004-03-05T20:45/2004-03-05T21:00+12	NIWA	Young	2013-11-03	3	749	present	Nymphon australe	urn:lsid:marinespecies.org:taxname:173368	2004	01aa8c27-5b69-4b99-afbb-3994bd024f26	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1078444800000.0	1078444800000.0	1078444800000.0	2004.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	[]	398	10632	-1.62	33.87	404.0	394.0	399.0		30			LINESTRING (162.267333 -66.175333, 162.2535 -66.1685)	WGS84		Johanna Nielsen	en				Cone net	Hodgson, 1902	australe	Nymphon australe sp. (MBIS BioRoss 749)	2005-06-20	65	TAN0402/261	33	GearType= Cone net	65	Nymphon australe sp.	Southern Ocean											
HumanObservation	22673	SOMBASE Pycnogonids			-71.3332977295	169.833297729		BAS						Nymphon australe	urn:lsid:marinespecies.org:taxname:173368		01c7a5a6-614d-4e1c-88d6-c698429122bc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe		2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	[]	380	13493	-1.69	33.95	190.0	190.0	190.0																																			
PreservedSpecimen	ICEBERGS 2017_181-1			28	-64.7414	-63.4518	2017-11-28	BAS			11	ICEBERGS 2017_181-1	Present	Nymphon australe	urn:lsid:marinespecies.org:taxname:173368	2017	0222f724-61be-4f33-b2b7-78dbcee020fc	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1511827200000.0	1511827200000.0	1511827200000.0	2017.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon australe	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173368	173368	Nymphon australe	['DEPTH_EXCEEDS_BATH']	161	1626	-0.53	33.18	251.0		251.0		24			LINESTRING (-63.4523 -64.7414, -63.4513 -64.7414)	EPSG:4326		Jamie Maxwell	en		96% ethanol		Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17001.pdf	Hodgson, 1902	australe				ICEBERGS 2017_77						AQ	JR17001-icebergs	minimum depth was not recorded	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	5	individuals	Male	species	PhysicalObject	28/11/2017
