basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year	coordinateUncertaintyInMeters	datasetName	dateIdentified	eventDate	fieldNumber	identifiedBy	lifeStage	locationID	occurrenceStatus	otherCatalogNumbers	preparations	scientificNameAuthorship	sex	specificEpithet	typeStatus	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	21458	SOMBASE Pycnogonids	-71.3850021362	-14.3283004761	BAS	621.0	621.0	Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	0b1ccbfc-125f-4753-a68b-222a1dbd717f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	621.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare	[]	557	68894	-1.72	33.93																												
HumanObservation	2795	Weddell Sea macrozoobenthos EASIZ I	-73.7	-22.508333	AWI	446.0	446.0	Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	147a8726-be12-4fb9-a2f4-76fbb2b494e5	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	446.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare	[]	442	34990	-1.67	33.87	IMIS:dasid:2432	15	South of Vestkapp	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2795	1996																					
HumanObservation	21456	SOMBASE Pycnogonids	-73.3016967773	-21.1683006287	BAS	459.0	459.0	Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	195f8f7f-9906-4f7c-a83b-4139b1fc9de5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	459.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare	[]	459	21527	-1.69	33.85																												
HumanObservation	22890	SOMBASE Pycnogonids	-71.8332977295	-15.8332996368	BAS	1100.0	1000.0	Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	1b10b53f-9c96-4b3d-939f-82372a1405a5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1050.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare	[]	1092	38741	-1.69	33.96																												
HumanObservation	34820	SOMBASE Pycnogonids	-66.1999969482	49.6166000366	BAS	300.0	300.0	Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	1b4c6104-0254-4f02-9374-f4295d682598	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	300.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare	[]	471	38234	-1.73	33.88																												
HumanObservation	2794	Weddell Sea macrozoobenthos EASIZ I	-73.30166667	-21.168333	AWI	459.0	459.0	Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	224d6817-fc07-48f1-9a31-6712d1ebd2d9	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	459.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare	[]	459	21529	-1.69	33.85	IMIS:dasid:2432	13	South of Vestkapp	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2794	1996																					
PreservedSpecimen	INV.69143	urn:catalog:RBINS:Pycnogonida	-70.334861	24.217778	RBINS-Scientific Heritage			Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	26fa9e81-b7a8-4c51-a368-9403ec65d364	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare Gordon, 1944	['NO_DEPTH', 'ON_LAND']	-29	-3653	-1.75	33.32	be_rbins_invertebrates_cheliceratamarine	24	Antarctica	2017-10-09 16:13:41	1	http://collections.naturalsciences.be/specimen/348837	1961	108.44237476110523	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1963-01	1961-01-24	22311/st155	Stock Jan Hendrik	unknown	http://www.geonames.org/6255152	present	urn:catalog:RBINS:IG:22311	container type: vial; preservation method: alcohol	Gordon, 1944	unknown	banzare	specimen	-282009600000.0	-282009600000.0	-282009600000.0	1961.0	Biota	1.0
PreservedSpecimen	INV.69142	urn:catalog:RBINS:Pycnogonida	-70.317778	24.201667	RBINS-Scientific Heritage			Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	31e52a55-3ef7-4223-b039-5b7eb5875769	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare Gordon, 1944	['NO_DEPTH', 'ON_LAND']	-28	-1922	-1.74	33.32	be_rbins_invertebrates_cheliceratamarine	20	Antarctica	2015-09-24 15:37:05	1	http://collections.naturalsciences.be/specimen/424401	1961	317.7320206105817	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1963-01	1961-01-20	22311/st150	Stock Jan Hendrik	unknown	http://www.geonames.org/6255152	present	urn:catalog:RBINS:IG:22311	container type: vial; preservation method: alcohol	Gordon, 1944	unknown	banzare	specimen	-282355200000.0	-282355200000.0	-282355200000.0	1961.0	Biota	1.0
PreservedSpecimen	INV.69145	urn:catalog:RBINS:Pycnogonida	-70.283333	24.25	RBINS-Scientific Heritage			Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	5019284e-53bb-4875-b34c-286b25ac771c	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare Gordon, 1944	['NO_DEPTH', 'ON_LAND']	278	-386	-1.74	33.33	be_rbins_invertebrates_cheliceratamarine	25	Antarctica	2015-09-24 15:36:16	1	http://collections.naturalsciences.be/specimen/409330	1967	1000.0	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1975-01	1967-01-25	23694/st232	Krapp F	unknown	http://www.geonames.org/6255152	present	urn:catalog:RBINS:IG:23694	container type: vial; preservation method: alcohol	Gordon, 1944	unknown	banzare	specimen	-92620800000.0	-92620800000.0	-92620800000.0	1967.0	Biota	1.0
HumanObservation	39351	SOMBASE Pycnogonids	-73.3000030518	-21.1499996185	BAS	459.0	457.0	Nymphon banzare	urn:lsid:marinespecies.org:taxname:173371	503ee2ba-9d5f-49ed-903a-90147fa45361	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	458.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon banzare	2	1065	1274	1302	1358	379601	379609	1566	134591	173371	173371	Nymphon banzare	[]	440	21053	-1.69	33.84																												
