basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	footprintWKT	identifiedBy	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	dateIdentified	fieldNumber	institutionCode	lifeStage	locality	locationID	otherCatalogNumbers	preparations	scientificNameAuthorship	sex	specificEpithet	typeStatus	collectionID	country	higherClassification	higherGeography	institutionID	license	minimumDepthInMeters	nomenclaturalCode	occurrenceRemarks	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	depth	bibliographicCitation	associatedReferences	dynamicProperties	individualCount	maximumDepthInMeters	waterBody	eventTime	habitat	rightsHolder	taxonID	verbatimIdentification
Occurrence	MRCCW1630000D38D	Marine Recorder Snapshot extract of surveys entered by NRW	https://marineinfo.org/id/dataset/8017	Marine Recorder Snapshot extract of surveys entered by NRW	24	53.25963	-4.094265	2013-06-24	MRCCW16300000128.001	sample	EPSG:4326	LINESTRING (-4.091642 53.2612026, -4.085486 53.26409776)	Aquatic Survey & Monitoring Ltd	en	2022-01-18 09:29:51	6	MRCCW1630000D38D	present	MRCCW16300000128	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW16300000031_METH_003	Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682	2013	0ce70c4f-70f1-4b21-9b89-7671f4c51409	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1372032000000.0	1372032000000.0	1372032000000.0	2013.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	['NO_DEPTH']	-3.0	269	11.41	33.72																																										
PreservedSpecimen	INV.69149	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection		70.416667	57.933333	1907					Giltay L.B. (Dr.)		2011-07-04 12:43:47		http://collections.naturalsciences.be/specimen/524458	present				Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682	1907	1d73a4f8-b9fa-4159-91c1-875ee19a444d	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1988150400000.0	-1972425600000.0	-1956700800000.0	1907.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse Kroyer, 1838	['NO_DEPTH']	51.0	18099	1.34	33.18	Cara See	1000.0	1931-01	8719/st153	RBINS-Scientific Heritage	unknown	Cara See	http://www.geonames.org/1504324	urn:catalog:RBINS:IG:8719	container type: vial; preservation method: alcohol	Kroyer, 1838	unknown	brevitarse	specimen																												
PreservedSpecimen	26887	IZ			12	60.2216666667	-175.4666666667	1980-05-12					Joel Hedgpeth	en		5	urn:catalog:CAS:IZ:26887					Nymphon brevitarse		1980	38b89ee6-e161-4a7f-ba42-6409f91c7842	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	326937600000.0	326937600000.0	326937600000.0	1980.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	[]	124.0	135755	2.94	32.2	North America		1987-03	036474	CAS		Bering Sea, Navarin Basin	06006344-2598-11ed-aace-005056be1b7a		Fluid-75% EtOH(1)	Krøyer, 1844		brevitarse		https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	United States	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Nymphonidae	North America, North Pacific Ocean, United States	http://grscicoll.org/institution/california-academy-sciences	https://creativecommons.org/publicdomain/zero/1.0/	117.8	ICZN	Spec. notes: 1	133	Alaska	species	Physical Object	12 May 1980	60° 13.3' N	175° 28' W	117.8											
Occurrence	411058	Tisbe	https://marineinfo.org/id/dataset/82			64.877904	-33.44143								2005-10-03 12:19:12		urn:catalog:VLIZ:Tisbe:411058	present				Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682		3ffe500c-18ab-4172-8581-a74fed9cbb06	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	['NO_DEPTH']	1484.4	158187	7.08	34.76		1856125.0			VLIZ		Greenlandic Exclusive Economic Zone				Krøyer, 1838		brevitarse										AphiaID: 134682									North East Atlantic Taxa										
Occurrence	JNCCMNCR50497371	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	29	55.26165	-6.841741	1982-07-29	550.036.001	sample	EPSG:4326		David Connor	en	2022-01-18 09:29:51	7	JNCCMNCR50497371	present	JNCCMNCR50011893	Contact: info@nmni.com	MRUMU10000000016_METH_001	Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682	1982	41fc7279-832b-4ec0-b498-7ba7cbec676d	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	396748800000.0	396748800000.0	396748800000.0	1982.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	['NO_DEPTH']	28.8	5831	10.97	34.94																																										
PreservedSpecimen	1031511.826015	Invertebrate Zoology			22	40.7999992371	-69.0670013428	1957-08-22T13:00:00Z					United States National Marine Fisheries Service			8				United States National Marine Fisheries Service		Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682	1957	6f84e799-57b5-4957-a3f1-ab3f862531d4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-390096000000.0	-390096000000.0	-390096000000.0	1957.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse		2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	[]	76.0	90712	11.9	32.52					USNM					Alcohol (Ethanol)	Kroyer										68.0										68.0	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	1.0	68.0	North Atlantic Ocean					
PreservedSpecimen	22467	IZ			14	70.636667	-160.041667	1977-07-14					Joel Hedgpeth	en		7	urn:catalog:CAS:IZ:22467			D. Schneider		Nymphon brevitarse		1977	78c46b4c-39d1-4824-8940-091c758b750c	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	237686400000.0	237686400000.0	237686400000.0	1977.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	['ON_LAND']	-6.0	-12	0.19	32.0	North America		1987-03	034054	CAS		Chukchi Sea, north	05fa7b4e-2598-11ed-aace-005056be1b7a	T03 #47-54	Fluid-75% EtOH(1)	Krøyer, 1844		brevitarse		https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	United States	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Nymphonidae	North America, United States	http://grscicoll.org/institution/california-academy-sciences	https://creativecommons.org/publicdomain/zero/1.0/	0.5	ICZN	Spec. notes: 1	195	Alaska	species	Physical Object	14 July 1977	"70° 38' 12"" N"	"160° 2' 30"" W"	0.5							1615 hrs.	sand, gravel			
PreservedSpecimen	6572	MuseumCollection	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	27	63.48333333	-67.9	1967-07-27						en		7	DFO_MLI_MuseumCollection_6572					Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682	1967	811c8590-f62b-4d81-8a8f-6baf428952f7	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	-76809600000.0	-76809600000.0	-76809600000.0	1967.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	[]	170.0	1141	-0.46	31.93				SAB 67-2	IML						Kröyer, 1844		brevitarse						https://edmo.seadatanet.org/report/4160	http://creativecommons.org/licenses/by/4.0/legalcode	124.0					phylum	PhysicalObject				141.0				1	158.0				His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01211	Nymphon brevitarse
Occurrence	147410530001035	IMRMarbunnBenthos	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	10	73.046458	35.751147	2015-06-10T10:27:00+00:00/2015-06-10T10:32:00+00:00	Cruise: 58GS-2015109 Sample: 530			LINESTRING(35.751147 73.046458,35.7575 73.0455)			2024-05-23 10:35:05	6	147410530001035	present			Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682	2015	a61d5a81-0dc5-43a4-9646-1ad297775c66	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1433894400000.0	1433894400000.0	1433894400000.0	2015.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	[]	218.6	325419	4.35	34.97	Barents Sea			catchId: 35	IMR		MAREANO Reference Station: 1474				Krøyer, 1838										210.98										211.255					211.53		10:27:00+00:00/10:32:00+00:00				
PreservedSpecimen	8897	MuseumCollection	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	22	48.17611111	-69.86333333	1991-06-22						en		6	DFO_MLI_MuseumCollection_8897					Nymphon brevitarse	urn:lsid:marinespecies.org:taxname:134682	1991	bfd98324-58a9-4509-9110-4e7abd3ef48d	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	677548800000.0	677548800000.0	677548800000.0	1991.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevitarse	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134682	134682	Nymphon brevitarse	[]	60.0	720	5.38	21.13				SAG55-T3-1991	IML		Anse à Isaac				Kröyer, 1844		brevitarse						https://edmo.seadatanet.org/report/4160	http://creativecommons.org/licenses/by/4.0/legalcode	67.0					species	PhysicalObject				67.5				1	68.0				His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01211	Nymphon brevitarse
