basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	individualCount	references	date_start	date_mid	date_end	date_year	superdomain	superdomainid	georeferenceSources	sex	associatedReferences	dynamicProperties	locality	waterBody
PreservedSpecimen	7492	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	1995	21	-54.025	171.075	21/09/1978	Nymphonidae	POINT (171.075 -54.025)	Nymphon	WGS84	Child, C, A	NIWA Invertebrate Collection	Animalia	en	S45	1262.0	1262	8/04/2022	9	5f2900f8-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Alcohol unknown = 1,  BB NIC Type Room	NZOI	Trawl, Agassiz medium	Nymphon bucuspidum	Child, 1995	urn:lsid:marinespecies.org:taxname:240333	bucuspidum	HOLOTYPE	1978	0a9ee735-e11c-4c0d-b628-434d3e9ec7b9	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1262.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1303	201120	7.71	34.25																
PreservedSpecimen	sm_id_90137	Pycnogonida	WoRMS type localities						21	-54.0250015259	171.0749969482	1978-09-21	Nymphonidae		Nymphon			WoRMS Editorial Board	Animalia				1262	2020-11-16 11:12:20	9	WoRMS Editorial Board:WoRMS type localities:sm_id_90137	present	Pantopoda	Arthropoda				Nymphon bucuspidum	Child, 1995	urn:lsid:marinespecies.org:taxname:240333	bucuspidum	holotype	1978	340547b0-5245-4f26-a6e8-0c378cbcd55f	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1262.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1300	201120	7.71	34.25	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon bucuspidum</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240333	https://marineinfo.org/id/dataset/5184	1.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=90137	275184000000.0	275184000000.0	275184000000.0	1978.0	Biota	1.0						
PreservedSpecimen	7119	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection		23	-45.965	171.7616667	23/02/1995	Nymphonidae	POINT (171.7616667 -45.965)	Nymphon	WGS84		NIWA Invertebrate Collection	Animalia	en	W460	1268.0	1235	8/04/2022	2	5c64bc90-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 12	NZOI	Trawl, type undefined	Nymphon bucuspidum	Child, 1995	urn:lsid:marinespecies.org:taxname:240333	bucuspidum		1995	4b51512a-75f7-401d-80ea-1f3b277e345f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1251.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1423	78970	9.99	34.29											GPS	mixed				
HumanObservation	34131	Pycnogonida	SOMBASE Pycnogonids							-44.3149986267	179.01499939		Nymphonidae		Nymphon			BAS	Animalia			1230.0	1200					Pantopoda	Arthropoda				Nymphon bucuspidum		urn:lsid:marinespecies.org:taxname:240333				516126c7-dca9-47e5-a880-4524bba2439f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1215.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1204	327511	11.41	34.37																
PreservedSpecimen	234681.186406	Pycnogonida	Invertebrate Zoology: Crustacea			New Zealand				-54.0250015259	171.074996948		Nymphonidae		Nymphon		Child, C. Allan	USNM	Animalia			1262.0	1262					Pantopoda	Arthropoda	Alcohol (Ethanol)	New Zealand Oceanographic Institute		Nymphon bucuspidum	Child	urn:lsid:marinespecies.org:taxname:240333		Paratype		5537d832-fd23-4612-bb0b-bd676539690b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1262.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1300	201120	7.71	34.25	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		1.0									female	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	New Zealand Plateau, Campbell Rise, East Of	South Pacific Ocean
HumanObservation	34130	Pycnogonida	SOMBASE Pycnogonids							-45.9650001526	171.76159668		Nymphonidae		Nymphon			BAS	Animalia			1415.0	1400					Pantopoda	Arthropoda				Nymphon bucuspidum		urn:lsid:marinespecies.org:taxname:240333				5a8ee40f-5829-4fd3-9b6c-79b9ad17638f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1407.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1423	78965	9.99	34.29																
HumanObservation	34129	Pycnogonida	SOMBASE Pycnogonids							-44.3382987976	179.005004883		Nymphonidae		Nymphon			BAS	Animalia			1239.0	1239					Pantopoda	Arthropoda				Nymphon bucuspidum		urn:lsid:marinespecies.org:taxname:240333				83efc853-186e-4804-b6f2-8fdee9e0cc6b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1239.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1237	328634	11.35	34.36																
PreservedSpecimen	7118	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection		14	-44.315	179.0	14/09/1993	Nymphonidae	LINESTRING (179 -44.315, 178.9816667 -44.3516667)	Nymphon	WGS84		NIWA Invertebrate Collection	Animalia	en	W249	1230.0	1200	8/04/2022	9	5f44a128-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 3	NIWA	Trawl, Agassiz medium	Nymphon bucuspidum	Child, 1995	urn:lsid:marinespecies.org:taxname:240333	bucuspidum		1993	8dd2e6d7-78b4-4c16-a66f-f0b71258ab76	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1215.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1202	328695	11.41	34.37											GPS	mixed				
PreservedSpecimen	7084	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection		13	-44.3382	179.0007	13/09/1989	Nymphonidae	POINT (179.0007 -44.3382)	Nymphon	WGS84		NIWA Invertebrate Collection	Animalia	en	V376	1238.0	1238	8/04/2022	9	600765a0-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Trawl, Agassiz medium	Nymphon bucuspidum	Child, 1995	urn:lsid:marinespecies.org:taxname:240333	bucuspidum		1989	904aaa3c-6521-45c5-9e51-dd58ec4af56f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1238.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1237	328972	11.35	34.36												male				
PreservedSpecimen	7086	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection		27	-45.4033	173.9967	27/10/1979	Nymphonidae	POINT (173.9967 -45.4033)	Nymphon	WGS84		NIWA Invertebrate Collection	Animalia	en	S154	1373.0	1373	8/04/2022	10	5cbfbc26-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 3	NZOI	Sled, epibenthic	Nymphon bucuspidum	Child, 1995	urn:lsid:marinespecies.org:taxname:240333	bucuspidum		1979	c61318ee-8b31-4d3c-ab34-297edd5726d1	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1373.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon bucuspidum	2	1065	1274	1302	1358	379601	379609	1566	134591	240333	240333	Nymphon bucuspidum	[]	1381	185898	10.52	34.3												mixed				
