basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	datasetID	locality	modified
PreservedSpecimen	JR15005_2462_02	Pycnogonida	281	AQ	15	-60.7528	-42.9683	2016-03-15	JR15005	Nymphonidae	JR15005_114	LINESTRING (-42.96315 -60.75238, -42.97336 -60.75312)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	2190	1758	3	JR15005_2462_02	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon eltaninae	Child, 1995	urn:lsid:marinespecies.org:taxname:173398	eltaninae	species	PhysicalObject	15/03/2016	2016	09ead5d9-f507-44e7-a02e-c114473eb844	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1974.0	1458000000000.0	1458000000000.0	1458000000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	['DEPTH_EXCEEDS_BATH']	614	74258	-1.03	33.84				
HumanObservation	2812	Pycnogonida			14	-73.605	-22.316668			Nymphonidae			Nymphon				AWI		Animalia		620	620	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2812		Pantopoda			Arthropoda			Nymphon eltaninae		urn:lsid:marinespecies.org:taxname:173398					1996	0e80ab64-66a3-4d87-88f1-3b9f19b03d3f	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	620.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae		2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	[]	632	45199	-1.67	33.87	Weddell Sea macrozoobenthos EASIZ I	IMIS:dasid:2432	South of Vestkapp	2010-05-11T18:09Z
HumanObservation	2813	Pycnogonida			14	-73.60166667	-22.595			Nymphonidae			Nymphon				AWI		Animalia		850	850	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2813		Pantopoda			Arthropoda			Nymphon eltaninae		urn:lsid:marinespecies.org:taxname:173398					1996	10a351fa-c658-40ec-82fc-1411b49d86d4	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	850.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae		2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	[]	873	42001	-1.67	33.89	Weddell Sea macrozoobenthos EASIZ I	IMIS:dasid:2432	South of Vestkapp	2010-05-11T18:09Z
PreservedSpecimen	JR15005_2532_01a	Pycnogonida	299	AQ	15	-60.7367	-42.9763	2016-03-15	JR15005	Nymphonidae	JR15005_119	LINESTRING (-42.97247 -60.73865, -42.98017 -60.73483)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	867	801	3	JR15005_2532_01a	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon eltaninae	Child, 1995	urn:lsid:marinespecies.org:taxname:173398	eltaninae	species	PhysicalObject	15/03/2016	2016	15f0f60b-3fe3-4f91-824b-77ea09f2eebc	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	834.0	1458000000000.0	1458000000000.0	1458000000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	['DEPTH_EXCEEDS_BATH']	727	73685	-1.0	33.85				
HumanObservation	22940	Pycnogonida				-72.9499969482	178.25			Nymphonidae			Nymphon				BAS		Animalia		1233	1215				Pantopoda			Arthropoda			Nymphon eltaninae		urn:lsid:marinespecies.org:taxname:173398						18ed3040-0a50-4a88-82ed-a54cba8865a2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1224.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae		2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	['DEPTH_EXCEEDS_BATH']	933	260729	-1.64	34.06	SOMBASE Pycnogonids			
PreservedSpecimen	JR15005_1480_05a	Pycnogonida	280	AQ	10	-60.3241	-46.7694	2016-03-10	JR15005	Nymphonidae	JR15005_70	LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	826	722	3	JR15005_1480_05a	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon eltaninae	Child, 1995	urn:lsid:marinespecies.org:taxname:173398	eltaninae	species	PhysicalObject	10/3/2016	2016	19d9459f-445a-40ed-bd84-756044680e7f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	774.0	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	[]	859	26187	-0.83	33.81				
PreservedSpecimen	JR15005_2532_01b	Pycnogonida	299	AQ	15	-60.7367	-42.9763	2016-03-15	JR15005	Nymphonidae	JR15005_119	LINESTRING (-42.97247 -60.73865, -42.98017 -60.73483)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	867	801	3	JR15005_2532_01b	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon eltaninae	Child, 1995	urn:lsid:marinespecies.org:taxname:173398	eltaninae	species	PhysicalObject	15/03/2016	2016	1a456456-8f50-403d-af8a-54179df56f37	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	834.0	1458000000000.0	1458000000000.0	1458000000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	['DEPTH_EXCEEDS_BATH']	727	73685	-1.0	33.85				
PreservedSpecimen	JR15005_2118_01	Pycnogonida	252	AQ	13	-60.4747	-44.4207	2016-03-13	JR15005	Nymphonidae	JR15005_101	LINESTRING (-44.41902 -60.47679, -44.4224 -60.47258)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	858	773	3	JR15005_2118_01	Present	Pantopoda	12	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon eltaninae	Child, 1995	urn:lsid:marinespecies.org:taxname:173398	eltaninae	species	PhysicalObject	13/03/2016	2016	1b5a6def-bdef-48b8-af03-4648686c01e7	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	815.5	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	[]	872	21404	-0.88	33.83				
PreservedSpecimen	JR15005_2085_06	Pycnogonida	247	AQ	13	-60.4741	-44.4189	2016-03-13	JR15005	Nymphonidae	JR15005_100	LINESTRING (-44.41916 -60.47629, -44.41866 -60.47186)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	896	790	3	JR15005_2085_06	Present	Pantopoda	28	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon eltaninae	Child, 1995	urn:lsid:marinespecies.org:taxname:173398	eltaninae	species	PhysicalObject	13/03/2016	2016	201c72ca-926b-40cd-a40d-15bfd20bdd2c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	843.0	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	[]	872	21457	-0.88	33.83				
HumanObservation	37277	Pycnogonida				-62.3149986267	-58.6949996948			Nymphonidae			Nymphon				BAS		Animalia		491	491				Pantopoda			Arthropoda			Nymphon eltaninae		urn:lsid:marinespecies.org:taxname:173398						2d75e5d9-778c-4dd9-b7b5-f424c6163409	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	491.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon eltaninae		2	1065	1274	1302	1358	379601	379609	1566	134591	173398	173398	Nymphon eltaninae	[]	489	6781	-0.51	34.03	SOMBASE Pycnogonids			
