basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	datasetID	datasetName	dateIdentified	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	locality	locationID	modified	occurrenceID	occurrenceStatus	order	otherCatalogNumbers	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	maximumDepthInMeters	minimumDepthInMeters	depth	sst	sss	day	month	year
PreservedSpecimen	INV.93645	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Bellingshausen Sea	999999.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1933-01	-78.15856	16.40626	1897/1899	Nymphonidae	10131/st.293	Nymphon	Giltay L.	RBINS-Scientific Heritage	Animalia	ovigerous	Antarctica	http://www.geonames.org/6255152	2017-10-16 11:42:59	http://collections.naturalsciences.be/specimen/752570	present	Pantopoda	urn:catalog:RBINS:IG:10131	Arthropoda	container type: tray; preservation method: dry	Nymphon gerlachei	Giltay, 1937	urn:lsid:marinespecies.org:taxname:173415	male	gerlachei	type	00a96b8a-ec13-42c0-b92b-fb96a597dc57	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-2303596800000.0	-2256336000000.0	-2209075200000.0	1898.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei Giltay, 1937	['NO_DEPTH', 'ON_LAND']	-3192	-899155								
HumanObservation	39580	Pycnogonida	SOMBASE Pycnogonids						-71.5667037964	-12.4300003052		Nymphonidae		Nymphon		BAS	Animalia							Pantopoda		Arthropoda		Nymphon gerlachei		urn:lsid:marinespecies.org:taxname:173415				039ca997-0729-4b22-b6c8-d0d9fd229eb3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei		2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei	[]	604	5790	604.0	604.0	604.0	-1.76	33.77			
HumanObservation	39584	Pycnogonida	SOMBASE Pycnogonids						-71.0832977295	-89.0500030518		Nymphonidae		Nymphon		BAS	Animalia							Pantopoda		Arthropoda		Nymphon gerlachei		urn:lsid:marinespecies.org:taxname:173415				6b024678-9ffd-4450-a388-ad340d9e9194	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei		2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei	[]	475	154226	460.0	460.0	460.0	-1.55	33.45			
HumanObservation	39581	Pycnogonida	SOMBASE Pycnogonids						-73.376701355	-21.176700592		Nymphonidae		Nymphon		BAS	Animalia							Pantopoda		Arthropoda		Nymphon gerlachei		urn:lsid:marinespecies.org:taxname:173415				803cff00-8d4e-48e5-a74e-77b73b9b4658	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei		2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei	[]	331	20026	338.0	338.0	338.0	-1.69	33.83			
PreservedSpecimen	INV.93644	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Bellingshausen Sea	999999.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1933-01	-78.15856	16.40626	1897/1899	Nymphonidae	10131/st.293	Nymphon	Giltay L.	RBINS-Scientific Heritage	Animalia	unknown	Antarctica	http://www.geonames.org/6255152	2017-10-16 11:42:09	http://collections.naturalsciences.be/specimen/541765	present	Pantopoda	urn:catalog:RBINS:IG:10131	Arthropoda	container type: tray; preservation method: dry	Nymphon gerlachei	Giltay, 1937	urn:lsid:marinespecies.org:taxname:173415	unknown	gerlachei	type	a8d63bed-9def-470d-80b2-b9250d0c099f	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-2303596800000.0	-2256336000000.0	-2209075200000.0	1898.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei Giltay, 1937	['NO_DEPTH', 'ON_LAND']	-3192	-899155								
PreservedSpecimen	INV.69157	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Bellingshausen Sea	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1933-01	-71.083333	-89.05	1898-05-11	Nymphonidae	10131/st.273	Nymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Antarctica	http://www.geonames.org/6255152	2015-07-29 09:33:05	http://collections.naturalsciences.be/specimen/353167	present	Pantopoda	urn:catalog:RBINS:IG:10131	Arthropoda	container type: vial; preservation method: alcohol	Nymphon gerlachei	Giltay, 1937	urn:lsid:marinespecies.org:taxname:173415	unknown	gerlachei	type	bb866a3e-6f49-4520-a2a7-f573905d38ad	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-2260828800000.0	-2260828800000.0	-2260828800000.0	1898.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei Giltay, 1937	['NO_DEPTH']	475	154222				-1.55	33.45	11	5	1898
HumanObservation	39582	Pycnogonida	SOMBASE Pycnogonids						-71.5250015259	-12.4250001907		Nymphonidae		Nymphon		BAS	Animalia							Pantopoda		Arthropoda		Nymphon gerlachei		urn:lsid:marinespecies.org:taxname:173415				c866d397-b902-48f5-be6a-a1d96fa241de	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei		2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei	[]	528	4469	504.0	504.0	504.0	-1.76	33.77			
HumanObservation	39583	Pycnogonida	SOMBASE Pycnogonids						-65.1446990967	-64.7864990234		Nymphonidae		Nymphon		BAS	Animalia							Pantopoda		Arthropoda		Nymphon gerlachei		urn:lsid:marinespecies.org:taxname:173415				d9b22c12-8b3d-4966-9ba4-ca78b2efd97a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei		2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei	['DEPTH_EXCEEDS_BATH']	463	7505	578.0	578.0	578.0	-0.59	33.06			
HumanObservation	39585	Pycnogonida	SOMBASE Pycnogonids						-64.3332977295	-63.0166015625		Nymphonidae		Nymphon		BAS	Animalia							Pantopoda		Arthropoda		Nymphon gerlachei		urn:lsid:marinespecies.org:taxname:173415				ef098381-f125-45f6-9665-6735e75a9ca5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei		2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei	['DEPTH_EXCEEDS_BATH']	149	624	335.0	160.0	247.5	-0.42	33.56			
HumanObservation	39579	Pycnogonida	SOMBASE Pycnogonids						-71.0516967773	-11.4250001907		Nymphonidae		Nymphon		BAS	Animalia							Pantopoda		Arthropoda		Nymphon gerlachei		urn:lsid:marinespecies.org:taxname:173415				f0e2f4cd-f2d1-464f-94d6-401564c59187	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gerlachei		2	1065	1274	1302	1358	379601	379609	1566	134591	173415	173415	Nymphon gerlachei	[]	455	5901	462.0	462.0	462.0	-1.72	33.76			
