basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	coordinatePrecision	day	eventDate	fieldNumber	identifiedBy	maximumDepthInMeters	minimumDepthInMeters	month	recordedBy	year	depth	date_start	date_mid	date_end	date_year	sst	sss	continent	coordinateUncertaintyInMeters	datasetName	lifeStage	locationID	otherCatalogNumbers	preparations	sex	typeStatus	dynamicProperties	waterBody
Occurrence	North East Atlantic Taxa	314927	Pycnogonida	Tisbe	https://marineinfo.org/id/dataset/82	56.0	10.0	Nymphonidae	Nymphon	VLIZ	Animalia	Danish Exclusive Economic Zone	2005-04-04 10:20:42	urn:catalog:VLIZ:Tisbe:314927	AphiaID: 150542	present	Pantopoda	Arthropoda	Nymphon gracilipes	Miers, 1875	urn:lsid:marinespecies.org:taxname:150542	gracilipes	066e2cc7-f3c4-4e12-80e2-e0f263a7438e	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	['NO_DEPTH', 'ON_LAND']	-41.0	-13290																												
HumanObservation		SAMC-MBR-013540	Pycnogonida	MBR		-46.6763000488	37.8367004395	Nymphonidae	Nymphon	SAMC	Animalia	Marion & Prince Edward Islands; 46 40.58' S 37 50.20' E			Gear:Bottom Dredge;Preparation:alch		Pantopoda	Arthropoda	Nymphon gracilipes		urn:lsid:marinespecies.org:taxname:150542		13ccf27e-228d-4efe-a9fc-e8b1363d6124	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes		2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	[]	595.0	5974	100.0	3	1988-09-03T12:00:00Z	MAD 44 W W	Branch	644.0	410.0	9	UCT Marion Island Survey	1988	527.0	589248000000.0	589248000000.0	589248000000.0	1988.0	5.72	33.82											
HumanObservation		SAMC-MBR-013539	Pycnogonida	MBR		-46.672000885	34.8499984741	Nymphonidae	Nymphon	SAMC	Animalia	Marion & Prince Edward Islands; 46 40.32' S 37 51' E			Gear:Bottom Dredge;Preparation:alch		Pantopoda	Arthropoda	Nymphon gracilipes		urn:lsid:marinespecies.org:taxname:150542		1d7ec664-e138-40a3-a9ac-a576906c64bf	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes		2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	[]	1167.0	209921	100.0	1	1988-09-01T12:00:00Z	MAD 42 W 4	Arnaud	560.0	460.0	9	UCT Marion Island Survey	1988	510.0	589075200000.0	589075200000.0	589075200000.0	1988.0	6.9	33.89											
PreservedSpecimen		INV.69164	Pycnogonida	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	66.333333	12.466667	Nymphonidae	Nymphon	RBINS-Scientific Heritage	Animalia	Greenland Sea	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/534100		present	Pantopoda	Arthropoda	Nymphon gracilipes	Heller, 1875	urn:lsid:marinespecies.org:taxname:150542	gracilipes	1df948f2-5501-40cc-b3dc-215f64637090	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes Heller, 1875	['NO_DEPTH']	65.6	767		22	1938-06-22	11726	Stock Jan Hendrik			6		1938		-994982400000.0	-994982400000.0	-994982400000.0	1938.0	8.13	33.94	Greenland Sea, Oceans	1000.0	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	unknown	http://www.geonames.org/2960853	urn:catalog:RBINS:IG:11726	container type: vial; preservation method: alcohol	unknown	specimen		
HumanObservation		SAMC-MBR-013541	Pycnogonida	MBR		-47.0057983398	37.8983001709	Nymphonidae	Nymphon	SAMC	Animalia	Marion & Prince Edward Islands; 47 00.35' S 37 53.9' E			Gear:Bottom Dredge;Preparation:alch		Pantopoda	Arthropoda	Nymphon gracilipes		urn:lsid:marinespecies.org:taxname:150542		1fd4de03-1256-4058-9fae-30fb750927b9	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes		2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	[]	703.0	5280	100.0	7	1988-09-07T12:00:00Z	MAD49 R	Arnaud	306.0	265.0	9	UCT Marion Island Survey	1988	285.5	589593600000.0	589593600000.0	589593600000.0	1988.0	5.53	33.81											
PreservedSpecimen		580	Pycnogonida	2007B4		79.3399963379	-7.73000001907	Nymphonidae	Nymphon	ArCOD	Animalia	Fram Strait			globaluniqueidentifier: ArcOD:2007B4:580 collectingmethod: Agassiz Trawl platform: Polarstern ARK_3		Pantopoda	Arthropoda	Nymphon gracilipes	Miers, 1875			23c181bb-68a0-4aa8-9b43-c513eaf150d5	1d7b68ff-72ec-4a3a-b8e5-0e369c9696a3	['da50007b-7871-46cf-8530-441b5836d2c1']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes		2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	[]	196.0	165219		20		536-(536)	Dieter Piepenburg	190.0	180.0	7	Dieter Piepenburg	1985	185.0					-1.32	32.62										samplesize=ind per 1000m2;observedindividualcount=3;	Arctic Ocean
HumanObservation		40080	Pycnogonida	SOMBASE Pycnogonids		-43.1124000549	147.681900024	Nymphonidae	Nymphon	BAS	Animalia						Pantopoda	Arthropoda	Nymphon gracilipes		urn:lsid:marinespecies.org:taxname:150542		31164862-66ad-4521-a3a3-e9a807d697ab	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes		2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	[]	3.0	1123						22.0	20.0				21.0					14.03	35.25											
HumanObservation		23009	Pycnogonida	SOMBASE Pycnogonids		-52.7165985107	75.1333007812	Nymphonidae	Nymphon	BAS	Animalia						Pantopoda	Arthropoda	Nymphon gracilipes		urn:lsid:marinespecies.org:taxname:150542		32a1991a-b1df-430d-bf61-21c0547bba7a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes		2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	[]	343.0	94698						380.0	380.0				380.0					2.07	33.79											
HumanObservation		37885	Pycnogonida	SOMBASE Pycnogonids		-45.7949981689	49.7332992554	Nymphonidae	Nymphon	BAS	Animalia						Pantopoda	Arthropoda	Nymphon gracilipes		urn:lsid:marinespecies.org:taxname:150542		333ec8c2-0587-42e2-bd8f-c8d6e7737314	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes		2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes	['DEPTH_EXCEEDS_BATH']	216.0	46255						334.0	320.0				327.0					5.85	33.71											
PreservedSpecimen		INV.69162	Pycnogonida	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	66.383333	12.883333	Nymphonidae	Nymphon	RBINS-Scientific Heritage	Animalia	Greenland Sea	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/362143		present	Pantopoda	Arthropoda	Nymphon gracilipes	Heller, 1875	urn:lsid:marinespecies.org:taxname:150542	gracilipes	3be2a671-b9e6-4db6-84eb-8cc2832a58d0	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gracilipes	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	150542	150542	Nymphon gracilipes Heller, 1875	['NO_DEPTH', 'ON_LAND']	-14.0	-55			1938-07	11726	Stock Jan Hendrik			7		1938		-994204800000.0	-992908800000.0	-991612800000.0	1938.0	7.91	33.83	Greenland Sea, Oceans	1000.0	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	unknown	http://www.geonames.org/2960853	urn:catalog:RBINS:IG:11726	container type: vial; preservation method: alcohol	unknown	specimen		
