basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	lifeStage	locality	organismQuantity	organismQuantityType	taxonRank	date_start	date_mid	date_end	date_year	coordinatePrecision	bibliographicCitation	datasetID	references	typeStatus	superdomain	superdomainid
PreservedSpecimen	7097	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	24	-37.3333	173.5833	24/03/1968	Nymphonidae	POINT (173.5833 -37.3333)	Nymphon	WGS84	NIWA Invertebrate Collection	Animalia	en	E892_TAM	1226.0	1224.0	8/04/2022	3	5f18fbb8-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Trawl, Agassiz medium	Nymphon immane	Stock, 1954	urn:lsid:marinespecies.org:taxname:239941	male	immane	1968	0dd1a452-5b94-4a75-af35-37e82baae1b2	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1225.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	['DEPTH_EXCEEDS_BATH']	502	85752	17.49	35.36																	
PreservedSpecimen	J48942	Pycnogonida	co119		1000				-42.0367	148.645	1986-07-27	Nymphonidae	POINT (148.64500 -42.03670)	Nymphon		NMV	Animalia			800.0	800.0	2017-02-10T11:36:40		J48942	present	Pantopoda	Arthropoda				Nymphon immane		urn:lsid:marinespecies.org:taxname:239941	Unknown	immane		135a598b-2985-4599-8c6d-b1f8ecf61fc3	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	800.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	[]	843	25186	15.27	35.39	1	Juvenile	Off Freycinet Peninsula	1	individuals	species	522806400000.0	522806400000.0	522806400000.0	1986.0							
PreservedSpecimen	P.13587	Pycnogonida	co113		100000				-33.833	151.833		Nymphonidae	POINT (151.83300 -33.83300)	Nymphon		AM	Animalia					2017-03-02T11:16:03		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13587	present	Pantopoda	Arthropoda				Nymphon immane		urn:lsid:marinespecies.org:taxname:239941	Female	immane		19cba96b-5314-4f87-a261-5ed77d1688e9	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	['NO_DEPTH']	595	48368	21.03	35.57			approx. 45km off Port Jackson			species					0.8961						
PreservedSpecimen	sm_id_1077	Pycnogonida	WoRMS type localities					1	-37.07	149.9	1914-10-01	Nymphonidae		Nymphon		WoRMS Editorial Board	Animalia			46.0	37.0	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_1077	present	Pantopoda	Arthropoda				Nymphon immane	Stock, 1954	urn:lsid:marinespecies.org:taxname:239941		immane	1914	48d5b902-6ff7-4383-925d-e42e8fa73ea4	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	41.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-14	-28	17.99	35.56			Tasman Sea				-1743638400000.0	-1743638400000.0	-1743638400000.0	1914.0		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon immane</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239941	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=1077	holotype	Biota	1.0
HumanObservation	34136	Pycnogonida	SOMBASE Pycnogonids						-36.6665992737	173.449996948		Nymphonidae		Nymphon		BAS	Animalia			1282.0	1247.0					Pantopoda	Arthropoda				Nymphon immane		urn:lsid:marinespecies.org:taxname:239941				49e51198-8712-4e1a-9cec-b4fc14971b53	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1264.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	[]	1250	61411	17.6	35.37																	
PreservedSpecimen	7093	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	24	-36.6667	173.45	24/03/1968	Nymphonidae	POINT (173.45 -36.6667)	Nymphon	WGS84	NIWA Invertebrate Collection	Animalia	en	E891_TAM	1245.0	1245.0	8/04/2022	3	5d6d854a-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Trawl, Agassiz medium	Nymphon immane	Stock, 1954	urn:lsid:marinespecies.org:taxname:239941	female	immane	1968	78fb5a33-1601-4770-893d-139c1d2b45b7	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1245.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	[]	1230	61416	17.59	35.37																	
HumanObservation	34137	Pycnogonida	SOMBASE Pycnogonids						-37.3333015442	173.583297729		Nymphonidae		Nymphon		BAS	Animalia			1226.0	1224.0					Pantopoda	Arthropoda				Nymphon immane		urn:lsid:marinespecies.org:taxname:239941				a69d96ab-2f5d-4740-b675-7cf43bb3f43b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1225.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	['DEPTH_EXCEEDS_BATH']	502	85752	17.49	35.36																	
PreservedSpecimen	J48941	Pycnogonida	co119		1000				-34.992	151.099	1986-07-14	Nymphonidae	POINT (151.09900 -34.99200)	Nymphon		NMV	Animalia					2017-02-10T11:36:39		J48941	present	Pantopoda	Arthropoda				Nymphon immane		urn:lsid:marinespecies.org:taxname:239941	Unknown	immane		d282394c-30fe-4fb8-bd0e-b241b3468497	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	['NO_DEPTH']	271	22831	20.27	35.57	9		off Nowra	9	individuals	species	521683200000.0	521683200000.0	521683200000.0	1986.0							
HumanObservation	34135	Pycnogonida	SOMBASE Pycnogonids						-43.1566009521	173.791595459		Nymphonidae		Nymphon		BAS	Animalia			1190.0	1190.0					Pantopoda	Arthropoda				Nymphon immane		urn:lsid:marinespecies.org:taxname:239941				db785649-12d8-4357-a7c0-51521d5448a2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1190.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	[]	1041	48911	12.66	34.48																	
PreservedSpecimen	J48943	Pycnogonida	co119		1000				-37.01	150.345	1986-07-21	Nymphonidae	POINT (150.34500 -37.01000)	Nymphon		NMV	Animalia					2017-02-10T11:36:40		J48943	present	Pantopoda	Arthropoda				Nymphon immane		urn:lsid:marinespecies.org:taxname:239941	Unknown	immane		ffeb1c4b-d9af-4352-9d44-584655939122	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon immane	2	1065	1274	1302	1358	379601	379609	1566	134591	239941	239941	Nymphon immane	['NO_DEPTH']	378	33421	18.78	35.59	2		Off Eden	2	individuals	species	522288000000.0	522288000000.0	522288000000.0	1986.0							
