basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	datasetID	datasetName	dateIdentified	lifeStage	locality	locationID	modified	otherCatalogNumbers	sex	typeStatus
PreservedSpecimen	JR275_854.2	Pycnogonida	78	AQ	23	-75.2634	-31.1286	2012-02-23	JR275	Nymphonidae	JR275_58	LINESTRING (-31.12627 -75.26308, -31.131 -75.26378)	Nymphon	EPSG:4326	Robust setae on legs but no spines on processesses	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	607.13	604.29	2	JR275_854.2	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare	species	PhysicalObject	23/02/2012	2012	0ddfd0bd-c6e9-49cf-9a23-ffd3c032a643	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	605.71	1329955200000.0	1329955200000.0	1329955200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	611	102758	-1.76	34.14											
PreservedSpecimen	JR275_1530.3_01a	Pycnogonida	74	AQ	4	-75.25	-29.0287	2012-03-04	JR275	Nymphonidae	JR275_103	LINESTRING (-29.02708 -75.24953, -29.0304 -75.25056)	Nymphon	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	392.2	390.17	3	JR275_1530.3_01a	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare	species	PhysicalObject	4/3/2012	2012	12ed3cd6-c85c-4ed7-b9d6-839e38f8b66f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	391.185	1330819200000.0	1330819200000.0	1330819200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	398	51664	-1.68	33.98											
PreservedSpecimen	JR275_175	Pycnogonida	157	AQ	20	-76.3282	-32.898	2012-02-20	JR275	Nymphonidae	JR275_25	LINESTRING (-32.90046 -76.32951, -32.8956 -76.32695)	Nymphon	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	781.73	778.81	2	JR275_175	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare	species	PhysicalObject	20/02/2012	2012	2418adc8-27a5-43fc-b194-8ae8a58b93a9	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	780.27	1329696000000.0	1329696000000.0	1329696000000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	792	76667	-1.74	34.18											
HumanObservation	39294	Pycnogonida				-71.3165969849	-13.9425001144			Nymphonidae			Nymphon					BAS		Animalia		848.0	848.0				Pantopoda			Arthropoda			Nymphon lanare		urn:lsid:marinespecies.org:taxname:173432						25426272-eee5-4ebe-ae89-2ea5a341a4f4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	848.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare		2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	872	56093	-1.72	33.92	SOMBASE Pycnogonids										
PreservedSpecimen	INV.69181	Pycnogonida	1000.0		3	-70.300014	-23.966667	1965-02-03		Nymphonidae	23283		Nymphon			Krapp F		RBINS-Scientific Heritage		Animalia				2	http://collections.naturalsciences.be/specimen/509481	present	Pantopoda			Arthropoda	container type: vial; preservation method: alcohol		Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare				1965	320daf26-0a09-474b-bdcc-0befc54ee959	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-154915200000.0	-154915200000.0	-154915200000.0	1965.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare Hodgson, 1907	['NO_DEPTH']	4407	313431	-1.69	34.11	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1975-01	unknown	Antarctica	http://www.geonames.org/6255152	2020-05-05 12:37:31	urn:catalog:RBINS:IG:23283	unknown	specimen
PreservedSpecimen	JR275_1498.1a	Pycnogonida	79	AQ	4	-75.2465	-29.0172	2012-03-04	JR275	Nymphonidae	JR275_102	LINESTRING (-29.01541 -75.246, -29.01895 -75.24708)	Nymphon	EPSG:4326	Sparse long robust setae on legs, spines on lateral processes	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	396.83	392.77	3	JR275_1498.1a	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare	species	PhysicalObject	4/3/2012	2012	337d1b57-c130-418e-aa99-73154406f9d8	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	394.79999999999995	1330819200000.0	1330819200000.0	1330819200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	397	51682	-1.69	33.98											
PreservedSpecimen	PS118_0079_01	Pycnogonida	247	AQ	12	-64.0198	-55.9284	2019-03-12	PS118	Nymphonidae	PS118_9_8	LINESTRING (-55.923616 -64.02054, -55.9331 -64.01901)	Nymphon	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	405.0	403.0	3	PS118_0079_01	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare	species	PhysicalObject	12/3/2019	2019	3a5ae345-a030-4f03-9a02-93393e1dc068	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	404.0	1552348800000.0	1552348800000.0	1552348800000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	401	39058	-1.55	33.19											
HumanObservation	39816	Pycnogonida				-62.6305999756	-60.3828010559			Nymphonidae			Nymphon					BAS		Animalia		89.0	89.0				Pantopoda			Arthropoda			Nymphon lanare		urn:lsid:marinespecies.org:taxname:173432						4165594a-9995-4509-9c03-8bd1c9b76055	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	89.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare		2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	['DEPTH_EXCEEDS_BATH']	30	1292	-0.39	33.94	SOMBASE Pycnogonids										
PreservedSpecimen	JR275_826.3	Pycnogonida	75	AQ	23	-75.2574	-30.2653	2012-02-23	JR275	Nymphonidae	JR275_55	LINESTRING (-30.26436 -75.25672, -30.26619 -75.25798)	Nymphon	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	418.61	418.38	2	JR275_826.3	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare	species	PhysicalObject	23/02/2012	2012	4bb22a35-51d9-474a-809b-2cf3d0400bae	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	418.495	1329955200000.0	1329955200000.0	1329955200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	423	80717	-1.74	34.07											
PreservedSpecimen	PS118_0041_02	Pycnogonida	378	AQ	12	-64.021	-55.9186	2019-03-12	PS118	Nymphonidae	PS118_9_7	LINESTRING (-55.911008 -64.02164, -55.92614 -64.02027)	Nymphon	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	403.0	402.0	3	PS118_0041_02	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Nymphon lanare	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173432	lanare	species	PhysicalObject	12/3/2019	2019	528e5673-2793-48b2-b5d2-418553b81bbf	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	402.5	1552348800000.0	1552348800000.0	1552348800000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon lanare	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173432	173432	Nymphon lanare	[]	401	39367	-1.55	33.19											
