basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetName	day	eventDate	eventID	eventTime	fieldNumber	footprintWKT	maximumDepthInMeters	minimumDepthInMeters	month	samplingProtocol	year	depth	date_start	date_mid	date_end	date_year
Occurrence	North East Atlantic Taxa	413569	Pycnogonida	Tisbe	1676699.0	https://marineinfo.org/id/dataset/82	74.649088330558	17.233142578053	Nymphonidae	Nymphon	VLIZ	Animalia	Norwegian Exclusive Economic Zone	2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:413569	AphiaID: 134694	present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694	leptocheles	0060e5f6-115d-4ea4-a122-2daca72793f1	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	['NO_DEPTH']	143.0	49027	4.5	34.74																		
Occurrence		222110010001007	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	64.969268	8.348665	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 2221	2024-05-23 10:35:05	222110010001007		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		006c80ad-1092-45c8-930c-7680ee0e61fd	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	207.4	94549	9.6	34.74	Norwegian Sea	beamtrawl_2006-2022	25	2020-04-25T00:19:00+00:00/2020-04-25T00:24:00+00:00	Cruise: 58GS-2020104 Sample: 10	00:19:00+00:00/00:24:00+00:00	catchId: 7	LINESTRING(8.348665 64.969268,8.352627 64.970535)	211.02	210.55	4	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2020	210.78500000000003	1587772800000.0	1587772800000.0	1587772800000.0	2020.0
Occurrence		236510027001020	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	65.513702	7.741185	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 2365	2024-05-23 10:35:05	236510027001020		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		02af2dfb-64e4-4301-bb7c-4d5a3cfddb13	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	374.8	145716	9.53	35.03	Norwegian Sea	beamtrawl_2006-2022	31	2020-07-31T22:04:00+00:00/2020-07-31T22:09:00+00:00	Cruise: 58GS-2020110 Sample: 27	22:04:00+00:00/22:09:00+00:00	catchId: 20	LINESTRING(7.741185 65.513702,7.745687 65.512702)	382.42	381.88	7	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2020	382.15	1596153600000.0	1596153600000.0	1596153600000.0	2020.0
Occurrence		252410015001022	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	62.631403	1.583867	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 2524	2024-05-23 10:35:05	252410015001022		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		0cc379e6-12c7-4506-8314-9f4594e3ee3d	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	746.8	187079	9.84	35.23	Norwegian Sea	beamtrawl_2006-2022	1	2021-05-01T19:26:00+00:00/2021-05-01T19:33:00+00:00	Cruise: 58GS-2021104 Sample: 15	19:26:00+00:00/19:33:00+00:00	catchId: 22	LINESTRING(1.583867 62.631403,1.57921 62.629542)	748.58	748.53	5	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2021	748.5550000000001	1619827200000.0	1619827200000.0	1619827200000.0	2021.0
Occurrence	Cattrijsse, A.; Vincx, M. (2001). Biodiversity of the benthos and the avifauna of the Belgian coastal waters: summary of data collected between 1970 and 1998. Sustainable Management of the North Sea. Federal Office for Scientific, Technical and Cultural Affairs: Brussel, Belgium. 48 pp.	403173	Pycnogonida	Tisbe	58302.0	https://marineinfo.org/id/dataset/82	51.464826480845	2.704457650448	Nymphonidae	Nymphon	VLIZ	Animalia	Belgian Exclusive Economic Zone	2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:403173	AphiaID: 134694	present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694	leptocheles	0f295a8e-87e9-45aa-ac0b-2aae2dcbbad2	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	['NO_DEPTH']	27.4	29250	12.47	33.26																		
Occurrence		063610376009028	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	70.623667	20.0945	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 636	2024-05-23 10:35:05	063610376009028		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		1377ed9b-59f8-4b07-ae59-da111a5b5b72	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	298.0	34899	7.3	34.55	Barents Sea	beamtrawl_2006-2022	23	2010-09-23T07:02:00+00:00/2010-09-23T07:08:00+00:00	Cruise: 58GS-2010112 Sample: 376	07:02:00+00:00/07:08:00+00:00	catchId: 28	LINESTRING(20.0945 70.623667,20.101833 70.623667)	297.73	288.59	9	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2010	293.15999999999997	1285200000000.0	1285200000000.0	1285200000000.0	2010.0
Occurrence		009610017042038	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	70.125167	18.157833	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 96	2024-05-23 10:35:05	009610017042038		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		146988de-7677-4614-a7bc-8b9d0303dd33	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	361.6	15131	7.29	34.43	Norwegian Sea	beamtrawl_2006-2022	10	2007-04-10T15:57:00+00:00/2007-04-10T16:02:00+00:00	Cruise: 58GS-2007105 Sample: 17	15:57:00+00:00/16:02:00+00:00	catchId: 38	LINESTRING(18.157833 70.125167,18.156333 70.127)	366.0	362.63	4	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2007	364.315	1176163200000.0	1176163200000.0	1176163200000.0	2007.0
Occurrence		220010008001012	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	64.599677	8.932828	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 2200	2024-05-23 10:35:05	220010008001012		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		169cdd1a-92c5-4435-8061-69ebed124012	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	118.6	45613	9.6	34.5	Norwegian Sea	beamtrawl_2006-2022	23	2020-04-23T08:33:00+00:00/2020-04-23T08:38:00+00:00	Cruise: 58GS-2020104 Sample: 8	08:33:00+00:00/08:38:00+00:00	catchId: 12	LINESTRING(8.932828 64.599677,8.936498 64.601035)	119.03	119.02	4	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2020	119.025	1587600000000.0	1587600000000.0	1587600000000.0	2020.0
Occurrence		259610023001027	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	64.522262	9.334938	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 2596	2024-05-23 10:35:05	259610023001027		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		19aac1d5-233a-41d3-ad81-4fa01ebeaeed	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	297.2	34251	9.51	34.31	Norwegian Sea	beamtrawl_2006-2022	14	2021-05-14T08:51:00+00:00/2021-05-14T08:58:00+00:00	Cruise: 58GS-2021104 Sample: 23	08:51:00+00:00/08:58:00+00:00	catchId: 27	LINESTRING(9.334938 64.522262,9.338567 64.52481)	298.07	295.32	5	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2021	296.695	1620950400000.0	1620950400000.0	1620950400000.0	2021.0
Occurrence		153710545001029	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	66.469833	6.8305	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 1537	2024-05-23 10:35:05	153710545001029		present	Pantopoda	Arthropoda	Nymphon leptocheles	Sars, 1888	urn:lsid:marinespecies.org:taxname:134694		1b9d4c3f-4dca-4b8d-a042-32808449f5de	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon leptocheles	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134694	134694	Nymphon leptocheles	[]	482.8	215878	9.37	35.1	Norwegian Sea	beamtrawl_2006-2022	25	2015-08-25T20:17:00+00:00/2015-08-25T20:22:00+00:00	Cruise: 58GS-2015113 Sample: 545	20:17:00+00:00/20:22:00+00:00	catchId: 29	LINESTRING(6.8305 66.469833,6.8355 66.4705)	484.02	483.43	8	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	2015	483.725	1440460800000.0	1440460800000.0	1440460800000.0	2015.0
