basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	lifeStage	locality	sex	waterBody	associatedSequences	collectionID	continent	country	datasetID	datasetName	eventRemarks	locationID	locationRemarks	organismID	parentNameUsageID	recordNumber	recordedBy	taxonID	taxonomicStatus	dateIdentified	modified	occurrenceRemarks	startDayOfYear	taxonRemarks	endDayOfYear
PreservedSpecimen	JR275_1114.2	Pycnogonida	155	AQ	26	-74.3895	-28.1521	2012-02-26	JR275	Nymphonidae	JR275_77	LINESTRING (-28.1561 -74.38861, -28.14818 -74.3904)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	2011.16	2006.54	2	JR275_1114.2	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon longicoxa	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173441	longicoxa	species	PhysicalObject	26/02/2012	2012	017fe328-6270-4659-b79e-11f10b557bb6	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	2008.85	1330214400000.0	1330214400000.0	1330214400000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	2049	72673	-1.69	33.98																														
PreservedSpecimen	JR230_09_0538_5	Pycnogonida	1000	AQ	6	-66.253	-70.42	2009-12-06	JR230	Nymphonidae	JR230_BASWAP4-AGT-10c		Nymphon	EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	BAS	https://ror.org/01rhff309	Animalia	en	511.29	511.29	12	JR230_09_0538_5	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	Nymphon longicoxa	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173441	longicoxa	species	PhysicalObject	6/12/2009	2009	01880672-ec5f-4a86-9f45-e8c846e0d82c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	511.29	1260057600000.0	1260057600000.0	1260057600000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	495	109818	-0.75	33.45																														
HumanObservation	23183	Pycnogonida				-71.9000015259	178.699996948			Nymphonidae			Nymphon				BAS		Animalia		2143.0	2136.0				Pantopoda			Arthropoda			Nymphon longicoxa		urn:lsid:marinespecies.org:taxname:173441						01c69b97-9f89-4c42-be57-93414566ea7f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2139.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa		2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	2154	258551	-1.66	34.08	SOMBASE Pycnogonids																													
HumanObservation	39558	Pycnogonida				-68.4726028442	-76.1242980957			Nymphonidae			Nymphon				BAS		Animalia		964.0	938.0				Pantopoda			Arthropoda			Nymphon longicoxa		urn:lsid:marinespecies.org:taxname:173441						021936c0-34d1-40b3-985e-a363644ceeb3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	951.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa		2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	970	145120	-1.12	33.41	SOMBASE Pycnogonids																													
PreservedSpecimen	181992.137923	Pycnogonida			12	-36.8899993896	-53.1699981689	1971-03-12T12:00:00Z		Nymphonidae			Nymphon		Child, C. Allan		USNM		Animalia		2323.0	2195.0	3			Pantopoda			Arthropoda	Alcohol (Ethanol)		Nymphon longicoxa	Hoek	urn:lsid:marinespecies.org:taxname:173441					1971	03fe898d-0d17-479f-8e86-8d7e1019b642	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2259.0	37584000000.0	37584000000.0	37584000000.0	1971.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa		2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	2338	257364	18.04	34.82	Invertebrate Zoology: Crustacea	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=180;	180.0	ovigerous;;; juvenile	Argentine Basin, Off Rio De La Plata	male; male; female;;	South Atlantic Ocean																					
PreservedSpecimen	S10454	Pycnogonida		AQ		-71.3170013427734	-13.9420003890991	2003-12-21	CE01605	Nymphonidae			Nymphon		Tomas Munilla		OGL	8c116cac-9394-4c4e-be14-06184bdc62bd	Animalia			848.0		OGL_MSC_NortheasternUniversity_S10454	present	Pantopoda			Arthropoda		ND	Nymphon longicoxa	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173441	longicoxa	Species				095dc3ac-d960-4537-9a6e-675ac53c8e9d	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	848.0	1071964800000.0	1071964800000.0	1071964800000.0	2003.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa		2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	774	56068	-1.72	33.92	OGL						PS65-233	Male	Weddell Sea	BOLD ID: 03-403	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Antarctica	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Contact Person: Linse, Katrin	CL02269	Kapp Norvegia	S10454	134591	03-403	Katrin Linse	T02485	accepted						
PreservedSpecimen	JR15005_1508_05	Pycnogonida	280	AQ	10	-60.3241	-46.7694	2016-03-10	JR15005	Nymphonidae	JR15005_70	LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	826.0	722.0	3	JR15005_1508_05	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon longicoxa	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173441	longicoxa	species	PhysicalObject	10/3/2016	2016	0986b36a-3b09-4194-b8d6-37b43b18a0de	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	774.0	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	859	26187	-0.83	33.81																														
HumanObservation	TAN0402/77 Nymphon longicoxa	Pycnogonida	30		14	-72.116667	172.713167	2004-02-14T05:29+12		Nymphonidae	TAN0402/77	POINT (172.713167 -72.116667)	Nymphon	WGS84	Johanna Nielsen		NIWA		Animalia	en	499.0	499.0	2	1939	present	Pantopoda			Arthropoda		Van Veen grab	Nymphon longicoxa	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173441	longicoxa				2004	0d07d881-4d26-4355-8a31-84669dc24978	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	499.0	1076716800000.0	1076716800000.0	1076716800000.0	2004.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa		2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	[]	493	55598	-1.64	34.14	MBIS BioRoss		Nymphon longicoxa (MBIS BioRoss 1939)		2		Ross 5		Southern Ocean																2005-06-20	2013-11-03	GearType= Van Veen Grab	45	Nymphon longicoxa	
HumanObservation	TAN0402/268 Nymphon longicoxa	Pycnogonida	30		7	-65.491667	161.0495	2004-03-07T08:11/2004-03-07T08:21+12		Nymphonidae	TAN0402/268	LINESTRING (161.0495 -65.491667, 161.0435 -65.4885)	Nymphon	WGS84	Johanna Nielsen		NIWA		Animalia	en	764.0	761.0	3	2129	present	Pantopoda			Arthropoda		Epibenthic sled	Nymphon longicoxa	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173441	longicoxa				2004	0d194fa1-d827-47bb-8a5d-9a13f2d38509	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	762.5	1078617600000.0	1078617600000.0	1078617600000.0	2004.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa		2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	['DEPTH_EXCEEDS_BATH']	462	103997	-1.63	33.89	MBIS BioRoss		Nymphon longicoxa (MBIS BioRoss 2129)		2		Young		Southern Ocean																2005-06-20	2013-11-03	GearType= Epibenthic sled	67	Nymphon longicoxa	67
PreservedSpecimen	JR15005_3076	Pycnogonida	258	AQ	18	-60.5592	-41.0957	2016-03-18	JR15005	Nymphonidae	JR15005_145	LINESTRING (-41.09099 -60.55897, -41.10037 -60.55937)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	881.0	787.0	3	JR15005_3076	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon longicoxa	Hoek, 1881	urn:lsid:marinespecies.org:taxname:173441	longicoxa	species	PhysicalObject	18/03/2016	2016	0fbf38dc-00a3-4807-a3d7-39f6a0b408a0	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	834.0	1458259200000.0	1458259200000.0	1458259200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longicoxa	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173441	173441	Nymphon longicoxa	['DEPTH_EXCEEDS_BATH']	727	176791	-0.86	33.82																														
