associatedReferences	basisOfRecord	catalogNumber	class	continent	country	countryCode	datasetID	datasetName	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	georeferenceProtocol	georeferenceSources	georeferencedBy	georeferencedDate	institutionCode	kingdom	language	license	locality	locationAccordingTo	locationID	modified	occurrenceID	occurrenceStatus	order	phylum	recordedBy	rightsHolder	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	stateProvince	type	verbatimEventDate	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	collectionCode	day	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	minimumDepthInMeters	month	preparations	year	depth	date_start	date_mid	date_end	date_year	occurrenceRemarks	fieldNumber	eventID	eventRemarks	geodeticDatum	locationRemarks	verbatimCoordinateSystem	verbatimLatitude	verbatimLongitude	verbatimSRS	superdomain	superdomainid	institutionID	taxonID	taxonRank	verbatimIdentification	samplingEffort	footprintSRS	parentEventID	samplingProtocol
Trott, TJ. (2004). Cobscook Bay inventory: a historical checklist of marine invertebrates spanning 162 years. Northeastern Naturalist. 11, 261-324.	HumanObservation	Nymphon longitarse Kröyer, 1844_Page296	Pycnogonida	North America	United States of America	US	trott_cobscookbayinventory	Cobscook Bay Inventory: A Historical Checklist of Marine Invertebrates Spanning 162 Years	44.9095235	-67.0555366	0.91	Nymphonidae	POLYGON(-67.1283 44.8587, -66.9883 44.8587, -66.9883 44.9634, -67.1283 44.9634, -67.1283 44.8587)	Nymphon	OBIS Canada Guidelines	Publication placename (Trott 2004) and Marine Regions Gazetteer (MRG)	OBIS Canada	2017-05-26	Suffolk University - Biology Department	Animalia	en	http://creativecommons.org/licenses/by/4.0/legalcode	Cobscook Bay	Marine Regions Gazetteer (MRG)	http://marineregions.org/mrgid/21555	2017-09-10	trott_cobscookBayInventory_Nymphon longitarse Kröyer, 1844_Page296	present	Pantopoda	Arthropoda	Trott TJ. (2004)	Trott, Thomas J.	Nymphon longitarse	Krøyer, 1844	urn:lsid:marinespecies.org:taxname:134696	longitarse	ME	checklist	checklist published in 2004 based on 162 years	Cobscook Bay>Bay of Fundy	00dad8bf-0f76-4ca0-9be9-7b7836c2e4ec	cfdfb895-2d65-47ed-bb2e-827cad0350af	['7dfb2d90-9317-434d-8d4e-64adf324579a']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	['NO_DEPTH']	8.0	481	8.45	30.41																																				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	1053674.848178	Pycnogonida						42.8330001831	-70.6669998169	1964-01-17T17:00:00Z	Nymphonidae		Nymphon					USNM	Animalia									Pantopoda	Arthropoda	United States National Marine Fisheries Service		Nymphon longitarse	Kroyer	urn:lsid:marinespecies.org:taxname:134696					North Atlantic Ocean	037ed4ee-e2c9-48bb-bae1-981772967476	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	[]	58.0	11758	11.08	31.5	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology	17	temperature=4.6;observedindividualcount=1;	United States National Marine Fisheries Service	1.0	51.0	51.0	1	Alcohol (Ethanol)	1964	51.0	-188006400000.0	-188006400000.0	-188006400000.0	1964.0																				
	HumanObservation	2171	Pycnogonida						70.9300003052	-130.399993896		Nymphonidae		Nymphon					ArCOD	Animalia									Pantopoda	Arthropoda			Nymphon longitarse	Kroyer	urn:lsid:marinespecies.org:taxname:134696					Beaufort Sea	03f1a5d5-2eb3-4636-b9f0-3769d2404b8f	ad96e7c9-c136-4fa6-ac1c-5c15b328c1b5	['da50007b-7871-46cf-8530-441b5836d2c1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	['DEPTH_EXCEEDS_BATH']	43.0	78707	0.32	29.78		2009B1	7	observedweight=0.01;observedindividualcount=2;			650.0		8		1975	650.0					globaluniqueidentifier=ArcOD:2009B1:2171;collectingmethod=dredge;unique_sample_id=2283339;yearofscientificname=1844;aphiaid=134696;tsn=83550;salinity=;notes=																			
	HumanObservation	68040500360114W41201040104	Pycnogonida		United States				41.5	-69.0	1968-08-14T12:00:00Z	Nymphonidae		Nymphon					NOAA, NMFS, Northeast Fisheries Science Center	Animalia			H_Stratum013						Pantopoda	Arthropoda			Nymphon longitarse		urn:lsid:marinespecies.org:taxname:134696					North Atlantic Ocean	04e66e41-23c5-42c1-bf12-937797ab77e8	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	[]	147.0	80054	11.75	32.27	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	BENTHIC HABITAT STUDY	14	observedweight=0.05;observedindividualcount=1;			146.0	146.0	8		1968	146.0	-43632000000.0	-43632000000.0	-43632000000.0	1968.0	Gear Type: 1-METER NAT. DREDGE	68040500360114																		
	MaterialSample		Pycnogonida					Environmental Monitoring database (MOD) DNV	63.52280752777778	5.402901441666667	2004-05/2004-06	Nymphonidae		Nymphon						Animalia			Ormen Lange				1728668e-2a5b-413d-b24a-62c09373b7dd	present	Pantopoda	Arthropoda			Nymphon longitarse		urn:lsid:marinespecies.org:taxname:134696					Nordland area	0504749b-c639-4de9-a103-fca6ebe2c125	e2c4a839-89b5-484f-a63c-df89c2f9f974	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	[]	850.0	88988	9.78	34.61						1	843.0	843.0			2004	843.0	1083369600000.0	1085961600000.0	1088553600000.0	2004.0			b3738d01-c1b0-4fa9-b945-5cdf940c5f5c	grab 1	WGS84	station OL7	UTM	7079846.659	24013.187	EPSG:32633	Biota	1.0								
	HumanObservation	64040601490119W41201040104	Pycnogonida		United States				43.9329986572	-67.2829971313	1964-08-19T12:00:00Z	Nymphonidae		Nymphon					NOAA, NMFS, Northeast Fisheries Science Center	Animalia			H_Stratum005						Pantopoda	Arthropoda			Nymphon longitarse		urn:lsid:marinespecies.org:taxname:134696					North Atlantic Ocean	0624b407-3d53-4464-96b3-c7b4b60863ba	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	[]	196.0	61933	9.51	31.67	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	NMFS NEFSC BOTTOM TRAWL SURVEY	19	observedweight=0;observedindividualcount=1;			170.0	170.0	8		1964	170.0	-169430400000.0	-169430400000.0	-169430400000.0	1964.0	Gear Type: OTTER TRAWL	64040601490119																		
	PreservedSpecimen	8894	Pycnogonida				dfo_que_mli_museum	DFO Quebec Region MLI museum collection	48.17777778	-69.87611111	1991-06-22	Nymphonidae		Nymphon					IML	Animalia	en	http://creativecommons.org/licenses/by/4.0/legalcode	Anse à Isaac				DFO_MLI_MuseumCollection_8894		Pantopoda	Arthropoda		His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	Nymphon longitarse	Kröyer, 1844	urn:lsid:marinespecies.org:taxname:134696	longitarse		PhysicalObject			07d2af11-7265-490f-854a-bf2123a24e4d	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	[]	49.0	551	5.38	21.13		MuseumCollection	22			3	60.0	60.0	6		1991	60.0	677548800000.0	677548800000.0	677548800000.0	1991.0		SAG55-T2-1991									Biota	1.0	https://edmo.seadatanet.org/report/4160	083_01207	species	Nymphon longitarse				
	Occurrence	1209002	Pycnogonida	Arctic			https://marineinfo.org/id/dataset/11		80.38333	52.32667	1992-06	Nymphonidae		Nymphon					MarBEF/LargeNet	Animalia			FRZJ-12			2008-10-30 00:00:00	urn:catalog:MarBEF/LargeNet:k2:1209002	present	Pantopoda	Arthropoda			Nymphon longitarse	Krøyer, 1844	urn:lsid:marinespecies.org:taxname:134696	longitarse					0aa7cf6f-fee8-4c2c-88c6-af76b8949ffc	b99832a1-320a-48b0-8a54-a01409a321af	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	[]	51.0	2303			"<a href=""http://www.marbef.org/data/imis.php?module=dataset&dasid=11"">Benthic fauna around Franz Josef Land</a>"	k2		SampleSize=0.1 m²;		2.0		75.0	6		1992	75.0	707356800000.0	708566400000.0	709862400000.0	1992.0											Biota	1.0					0.1 m²			
	HumanObservation	68040501050114W41201040104	Pycnogonida		United States				43.0999984741	-65.5670013428	1968-08-17T12:00:00Z	Nymphonidae		Nymphon					NOAA, NMFS, Northeast Fisheries Science Center	Animalia			H_Stratum001						Pantopoda	Arthropoda			Nymphon longitarse		urn:lsid:marinespecies.org:taxname:134696					North Atlantic Ocean	0e4e1c31-9900-415a-a8c3-bb8867fade71	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	[]	104.0	32519	8.95	30.87	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	BENTHIC HABITAT STUDY	17	observedweight=0.04;observedindividualcount=2;			101.0	101.0	8		1968	101.0	-43372800000.0	-43372800000.0	-43372800000.0	1968.0	Gear Type: 1-METER NAT. DREDGE	68040501050114																		
	Occurrence	MRNIR00300049E54	Pycnogonida				https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	54.585	-5.091995	2008-05-16	Nymphonidae		Nymphon						Animalia	en					2022-01-18 09:29:51	MRNIR00300049E54	present	Pantopoda	Arthropoda	Contact: info@nmni.com		Nymphon longitarse		urn:lsid:marinespecies.org:taxname:134696						11f614f4-8454-4cce-931d-50c7cafe6574	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longitarse	2	1065	1274	1302	1358	379601	379609	1566	134591	134696	134696	Nymphon longitarse	['NO_DEPTH']	155.8	12013	10.92	34.23		Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	16		Agri-Food & Biosciences Institute (NI)				5		2008		1210896000000.0	1210896000000.0	1210896000000.0	2008.0			MRNIR003000012E2.001	sample							Biota	1.0						EPSG:4326	MRNIR003000012E2	MRNIR003000000D6_METH_002
