basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	23189	SOMBASE Pycnogonids	-52.976600647	-70.5132980347	BAS	90	90	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	0faeee84-4e55-4617-af92-bd34e6f426c9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	90.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	96	4712	7.0	34.0																											
HumanObservation	Stn 456 Nymphon multidens	Discovery Reports	-54.4256	3.5299	NIWA	45	40	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	0fb23748-0373-49fb-bb06-d4fac0121e47	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	42.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	497	6260	-0.15	33.81	1000	Discovery Expedition Biological Reports	18	1930-10-18	165	Stn 456	POINT (3.5299 -54.4256)	WGS84	1	en	1 mile E of Bouvet Island	2019-03-15	10	5415	Large dredge, heavy pattern, 1.2m in length	present	Large dredge, heavy pattern, 1.2m in length	Gordon, 1932	f	multidens	291	Atlantic Ocean	1930	-1237248000000.0	-1237248000000.0	-1237248000000.0	1930.0
HumanObservation	23190	SOMBASE Pycnogonids	-53.3499984741	-70.5999984741	BAS	247	247	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	180b6106-e32a-4d31-afb2-6f830e30ce90	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	247.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	235	9494	7.11	33.89																											
HumanObservation	36741	SOMBASE Pycnogonids	-68.7667007446	-90.6999969482	BAS	80	80	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	4f96517e-756a-4a2c-9403-b40d1038bd6f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	102	386	-1.33	33.29																											
HumanObservation	23192	SOMBASE Pycnogonids	-52.7050018311	-69.7416000366	BAS	48	48	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	5e17e98d-46cd-4a69-960c-7da19554389b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	48.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	26	4449	6.89	33.99																											
HumanObservation	23194	SOMBASE Pycnogonids	-60.7666015625	-64.0832977295	BAS	20	20	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	6ebbfe7d-69cf-4583-938c-02cfe21b7f30	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	20.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	3766	251390	0.13	33.57																											
HumanObservation	37775	SOMBASE Pycnogonids	-62.5965995789	-35.2682991028	BAS	140	140	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	8107b819-cb9b-4f9f-8bde-9b92aff6b487	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	4255	522913	-1.41	33.87																											
HumanObservation	37630	SOMBASE Pycnogonids	-61.3065986633	-54.1916007996	BAS	275	180	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	99bb4a2b-aad2-4493-a4b4-622be07c4339	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	227.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	['DEPTH_EXCEEDS_BATH']	7	850	-0.67	34.05																											
HumanObservation	37766	SOMBASE Pycnogonids	-62.5965995789	-55.2682991028	BAS	140	140	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	a3c800cf-a5eb-4534-a856-6ea5961015e7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	149	50931	-1.39	33.76																											
HumanObservation	37610	SOMBASE Pycnogonids	-62.9132995605	-61.4966011047	BAS	115	115	Nymphon multidens	urn:lsid:marinespecies.org:taxname:173458	ba7994cd-ced2-466e-bbb4-361b8621e284	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	115.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173458	173458	Nymphon multidens	[]	129	6726	-0.35	33.81																											
