basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	locality	modified	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	superdomain	superdomainid	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	institutionID	language	month	organismQuantity	organismQuantityType	preparations	samplingProtocol	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	datasetName	dateIdentified	lifeStage	locationID	otherCatalogNumbers	sex
HumanObservation	34830	SOMBASE Pycnogonids	-66.75	62.0499992371	BAS	219.0	219.0	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	0ba23521-7a7d-4c1e-adb1-7080217639a4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	219.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	259	46308	-1.62	34.08																																										
PreservedSpecimen	sm_id_1111	WoRMS type localities	-66.35	138.47	WoRMS Editorial Board			Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	14d2c07a-17c4-4027-bdb3-e842975beda9	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	['NO_DEPTH']	624	16774	-1.72	33.89	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon multituberculatum</i> Gordon, 1944. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173462	https://marineinfo.org/id/dataset/5184	Southern Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1111	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1111	Gordon, 1944	multituberculatum	holotype	Biota	1.0																														
HumanObservation	34235	SOMBASE Pycnogonids	-66.5	139.0	BAS	250.0	0.0	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	2a6e6f5a-e5b9-405a-adf1-2566af653ba0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	283	7011	-1.68	33.95																																										
PreservedSpecimen	PS77_301-1.5		-70.8435	-10.5842	BAS	283.7	225.5	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	3bb38930-771c-4cc8-8142-915dc708fadf	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	254.6	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	221	14722	-1.72	33.77					PS77_301-1.5	Present		Gordon, 1944	multituberculatum		Biota	1.0	847	AQ	1	2011-04-01	PS77	PS77_PS77/301-1	LINESTRING (-10.587833 -70.851, -10.58066667 -70.836)	EPSG:4326	Jana Domel	https://ror.org/01rhff309	en	4	1	individuals	96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	species	PhysicalObject	1/4/2011	2011	1301616000000.0	1301616000000.0	1301616000000.0	2011.0						
HumanObservation	21491	SOMBASE Pycnogonids	-70.4816970825	-8.25170040131	BAS	286.0	286.0	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	4a8a71ca-2d7e-4b9d-9ac1-7d206e438d0b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	286.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	285	2512	-1.71	33.71																																										
HumanObservation	39821	SOMBASE Pycnogonids	-63.059299469	-60.6590003967	BAS	330.0	330.0	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	5f796f05-414e-4c38-8ad3-be4fc049b0d8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	330.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	311	4717	-0.5	33.9																																										
HumanObservation	39389	SOMBASE Pycnogonids	-70.4832992554	-8.25	BAS	286.0	283.0	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	603dee35-838b-49cd-ac6a-31b1d36db55e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	284.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	285	2323	-1.71	33.71																																										
PreservedSpecimen	INV.69197	urn:catalog:RBINS:Pycnogonida	-70.3	24.25	RBINS-Scientific Heritage			Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	6bdf5188-f1f8-49ed-9d98-db967ce9839b	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum Gordon, 1944	['NO_DEPTH']	-17	211	-1.74	33.33		be_rbins_invertebrates_cheliceratamarine	Antarctica	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/402063	present		Gordon, 1944	multituberculatum	specimen	Biota	1.0	1000.0		1	1967-02-01		23694/st235			Krapp F			2			container type: vial; preservation method: alcohol					1967	-92016000000.0	-92016000000.0	-92016000000.0	1967.0	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1975-01	unknown	http://www.geonames.org/6255152	urn:catalog:RBINS:IG:23694	unknown
HumanObservation	34829	SOMBASE Pycnogonids	-65.1166000366	107.483299255	BAS	502.0	502.0	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	731820c0-3711-4c12-92ff-a06247669e8a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	502.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	548	149128	-1.52	33.95																																										
HumanObservation	2829	Weddell Sea macrozoobenthos EASIZ I	-70.48166667	-8.251667	AWI	286.0	286.0	Nymphon multituberculatum	urn:lsid:marinespecies.org:taxname:173462	73371466-847f-4621-8339-058be9a99f22	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	286.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon multituberculatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173462	173462	Nymphon multituberculatum	[]	285	2515	-1.71	33.71		IMIS:dasid:2432	Kapp Norvegia area	2010-05-11T18:09Z	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2829										4									3								1996										
