basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	38075	SOMBASE Pycnogonids	-48.1383018494	70.9616012573	BAS	215	215	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	15759e66-f67b-440f-b029-ba93e5596128	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	215.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	151	109876	4.0	33.78
HumanObservation	38072	SOMBASE Pycnogonids	-48.4533004761	69.8249969482	BAS	114	114	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	17bfcbd1-7d24-4842-9181-2d2b1d5099db	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	114.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	115	33435	4.24	33.73
HumanObservation	38089	SOMBASE Pycnogonids	-48.6383018494	70.4300003052	BAS	110	110	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	2c4a5f57-fb19-4b07-b477-782e35b13b14	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	118	46420	4.13	33.76
HumanObservation	37796	SOMBASE Pycnogonids	-54.7616004944	-35.625	BAS	80	65	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	33109a33-6ba1-4928-ba4e-62c8b917ce91	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	81	10274	1.68	33.76
HumanObservation	37803	SOMBASE Pycnogonids	-54.7616004944	-35.625	BAS	80	65	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	5d0f0e64-626f-4132-b961-71dcac75d278	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	81	10274	1.68	33.76
HumanObservation	37745	SOMBASE Pycnogonids	-55.153301239	-34.7000007629	BAS	130	125	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	7e9b4929-7bbe-45c6-8dc8-99f7633bc224	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	127.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	121	15197	1.32	33.78
HumanObservation	37751	SOMBASE Pycnogonids	-55.1399993896	-34.6582984924	BAS	135	116	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	a2d23264-80dc-4111-a92f-3f4aa97e0233	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	106	13772	1.3	33.79
HumanObservation	38087	SOMBASE Pycnogonids	-48.9150009155	70.8565979004	BAS	120	104	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	aaf870e7-620c-4514-a20e-4794558facb5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	112.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	84	31814	3.73	33.79
HumanObservation	38088	SOMBASE Pycnogonids	-48.7182998657	70.6350021362	BAS	105	105	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	bb5b9fbe-2e5c-42a9-b742-b5fc26d8269d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	105.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	117	41040	3.99	33.77
HumanObservation	38114	SOMBASE Pycnogonids	-48.1716003418	70.543296814	BAS	125	125	Nymphon neelovi	urn:lsid:marinespecies.org:taxname:173464	bdda3c4c-33b1-4ac0-ab82-b2326dac6246	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon neelovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173464	173464	Nymphon neelovi	[]	153	93913	4.29	33.74
