basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	vernacularName	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	country
PreservedSpecimen	P.43391	Pycnogonida	co113	0.009	1000	-38.19666	149.266	1994-08-29	Nymphonidae	POINT (149.26600 -38.19666)	Nymphon	AM	Animalia	east of Paradise Beach	2017-03-02T16:13:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43391	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	095fe1fe-2d44-4841-a490-69936d74b6f8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778118400000.0	778118400000.0	778118400000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	203	43118	17.23	35.58		
PreservedSpecimen	P.73425	Pycnogonida	co113		10000	-20.005	117.00319	1983-09-04	Nymphonidae	POINT (117.00319 -20.00500)	Nymphon	AM	Animalia	North West Shelf	2017-03-02T12:40:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73425	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	148c737d-9b12-4704-919a-1f259ec79a88	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	431481600000.0	431481600000.0	431481600000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	58	42206	26.63	34.76	Male	
PreservedSpecimen	P.77982	Pycnogonida	co113	0.009	1000	-30.02499	153.27499	1992-06-25	Nymphonidae	POINT (153.27499 -30.02499)	Nymphon	AM	Animalia	Manta Reef, North West Solitary Island	2017-03-02T12:59:33	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77982	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	2c6566f7-fc46-48ac-8488-ca8a7f9ee6aa	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	709430400000.0	709430400000.0	709430400000.0	1992.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	13	744	22.62	35.45		Australia
PreservedSpecimen	P.78372	Pycnogonida	co113	0.009	1000	-37.31	150.065	1994-09-02	Nymphonidae	POINT (150.06500 -37.31000)	Nymphon	AM	Animalia	east of Disaster Bay	2017-03-02T13:00:43	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78372	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	349311e0-0647-4c6c-b318-a59473630850	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778464000000.0	778464000000.0	778464000000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	77	5308	17.9	35.56	Male	Australia
PreservedSpecimen	P.11528	Pycnogonida	co113	0.8961	100000	-34.066	151.25	1943-07-17	Nymphonidae	POINT (151.25000 -34.06600)	Nymphon	AM	Animalia	3 km east of Jibbon, at mouth of Port Hacking	2017-03-02T11:19:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11528	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	4246306d-e659-4fee-852c-35e884af7a8e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-835056000000.0	-835056000000.0	-835056000000.0	1943.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	87	4013	20.48	35.54	Male	Australia
PreservedSpecimen	P.43410	Pycnogonida	co113	0.009	1000	-36.933	150.20333	1994-09-04	Nymphonidae	POINT (150.20333 -36.93300)	Nymphon	AM	Animalia	east of Merimbula	2017-03-02T16:13:58	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43410	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	543c91c1-5e36-400b-b9df-c7fac2c7b2d9	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778636800000.0	778636800000.0	778636800000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	117	22935	18.52	35.58	Female	
PreservedSpecimen	P.11527	Pycnogonida	co113	0.8961	100000	-34.066	151.25	1943-07-24	Nymphonidae	POINT (151.25000 -34.06600)	Nymphon	AM	Animalia	8km east of Port Hacking	2017-03-02T11:19:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11527	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	57c975cc-c8bc-49fd-bb56-b172e69f8681	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-834451200000.0	-834451200000.0	-834451200000.0	1943.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	87	4013	20.48	35.54		Australia
PreservedSpecimen	P.13597	Pycnogonida	co113	0.0896	10000	-34.083	151.25	1898-03-11	Nymphonidae	POINT (151.25000 -34.08300)	Nymphon	AM	Animalia	3 - 4 km off Botany Bay	2017-03-02T11:16:04	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13597	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	640ffc68-abae-43ad-b07f-89a254d64fd9	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266099200000.0	-2266099200000.0	-2266099200000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	104	5557	20.48	35.54	Male	
PreservedSpecimen	P.13599	Pycnogonida	co113	0.0896	10000	-34.083	151.25	1898-03-11	Nymphonidae	POINT (151.25000 -34.08300)	Nymphon	AM	Animalia	3 - 4 km off Botany Bay	2017-03-02T11:16:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13599	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	74fc2ab0-dcb4-4192-ba3e-89b7d1bbe8be	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266099200000.0	-2266099200000.0	-2266099200000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	104	5557	20.48	35.54	Male	
PreservedSpecimen	P.5597	Pycnogonida	co113	0.0896	10000	-34.016	151.316		Nymphonidae	POINT (151.31600 -34.01600)	Nymphon	AM	Animalia	4-6.4 km east of Botany Bay	2017-03-02T15:05:56	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.5597	present	Arthropoda	Nymphon novaehollandiae	urn:lsid:marinespecies.org:taxname:240098	novaehollandiae	species	Pycnogonid	75ec7ea0-aa87-4eee-a4b7-6050fdbc80ce	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon novaehollandiae	2	1065	1274	1302	1358	379601	379609	1566	134591	240098	240098	Nymphon novaehollandiae	['NO_DEPTH']	98	6318	20.48	35.54	Female	
