basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	genus	institutionCode	locality	minimumDepthInMeters	modified	occurrenceID	phylum	scientificName	scientificNameID	specificEpithet	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	subphylum	class	order	suborder	superfamily	family	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	maximumDepthInMeters	month	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	continent	recordedBy	identificationRemarks
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	65	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-62.85	-59.45	Nymphon	USNM	Peninsula	900	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:65	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477	pagophilum	00bc7f0e-fdda-4d9e-9a99-d2da0f94e1bc	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	900	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	1216	31808	-0.66	33.98																																	
PreservedSpecimen		JR15005_0169_02				-61.5348	-46.9415	Nymphon	BAS		522		JR15005_0169_02	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477	pagophilum	00eb4403-5f9d-4e4a-bc8d-0b0d67ac5f40	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	543	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	516	106118	-1.12	33.73	248	AQ	2	2016-03-02	JR15005	JR15005_9	LINESTRING (-46.93724 -61.53567, -46.9458 -61.53389)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	564.0	3	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Child, 1995	species	PhysicalObject	2/3/2016	2016	1456876800000.0	1456876800000.0	1456876800000.0	2016.0	Biota	1.0			
humanobservation	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	520	OC - Pycnogonida		IMIS:dasid:1649	-62.15129	-58.445	Nymphon	University of Lodz	Admiralty Bay	335	2008-05-05	urn:catalog:University of Lodz:OC - Pycnogonida:520_0040	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477		1504e210-a252-4b7c-bb6f-4727290feb82	f1e773cb-e896-45b0-8a1e-faded8facb33	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	335	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	['DEPTH_EXCEEDS_BATH']	241	1077	-0.5	34.04			3	1985-11-03					Bamber Roger					11						Child, 1995				1985	499824000000.0	499824000000.0	499824000000.0	1985.0			Antarctica	Sicinski Jacek	
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	71	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-64.69226667	-64.66987	Nymphon	USNM	Peninsula	353	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:71	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477	pagophilum	15f1f454-a477-4ffe-a116-30d6c4922c9c	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	353	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	['DEPTH_EXCEEDS_BATH']	233	12566	-0.48	33.2																																	
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	154	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-62.85	-59.45	Nymphon	USNM	Peninsula	900	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:154	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477	pagophilum	1e6c37d4-db28-405b-a4a5-72322f454b0b	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	900	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	1216	31808	-0.66	33.98																																	
humanobservation	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	448	OC - Pycnogonida		IMIS:dasid:1649	-62.14824	-58.44899	Nymphon	University of Lodz	Admiralty Bay	352	2008-05-05	urn:catalog:University of Lodz:OC - Pycnogonida:448_0005	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477		1eea2a9a-243d-4a81-87e2-06236f3f052d	f1e773cb-e896-45b0-8a1e-faded8facb33	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	352	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	359	1226	-0.5	34.04			9	1985-03-09					Bamber Roger					3						Child, 1995				1985	479174400000.0	479174400000.0	479174400000.0	1985.0			Antarctica	Sicinski Jacek	
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	152	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-62.85	-59.45	Nymphon	USNM	Peninsula	900	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:152	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477		2c96c1e4-0c25-4e72-9246-91edb92e4833	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	900	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	1216	31808	-0.66	33.98																																	
PreservedSpecimen		JR15005_0457_02				-61.54	-47.247	Nymphon	BAS		1019		JR15005_0457_02	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477	pagophilum	34d95d49-be8c-4e28-8e77-e3b142285919	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1042	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	975	110218	-1.14	33.74	279	AQ	3	2016-03-03	JR15005	JR15005_23	LINESTRING (-47.24287 -61.54156, -47.25104 -61.53843)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	1065.0	3	Present	2	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Child, 1995	species	PhysicalObject	3/3/2016	2016	1456963200000.0	1456963200000.0	1456963200000.0	2016.0	Biota	1.0			Has papilla on ocular tubercle not described by Clark.
PreservedSpecimen	Mahon,A.R., Arango,C.P. and Halanych,K.M. Mar. Biol. 155, 315-323 (2008)	69	Invertebrate Zoology	Antarctica	IMIS:dasid:1785	-62.85	-59.45	Nymphon	USNM	Peninsula	900	2010-01-21T00:00Z	urn:catalog:BAS:CAML - Mahon:69	Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477	pagophilum	3c14698e-28ce-408c-ae0c-350d34a407a9	8439a1e0-4aff-414e-bc43-83e4aa9db08e	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	900	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	1216	31808	-0.66	33.98																																	
HumanObservation		23200	SOMBASE Pycnogonids			-62.1166000366	-55.9665985107	Nymphon	BAS		1113			Arthropoda	Nymphon pagophilum	urn:lsid:marinespecies.org:taxname:173477		441b359f-46ec-474c-9460-b5334b406c9f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1133	False	False	True	False	Animalia	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon pagophilum	2	1065	1274	1302	1358	379601	379609	1566	134591	173477	173477	Nymphon pagophilum	[]	1255	41087	-0.86	33.96													1153.0																				
