basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	day	eventDate	fieldNumber	individualCount	institutionID	language	license	maximumDepthInMeters	minimumDepthInMeters	month	rightsHolder	taxonID	taxonRank	type	verbatimIdentification	verbatimLocality	year	depth	date_start	date_mid	date_end	date_year	continent	dateIdentified	identifiedBy	lifeStage	locationID	otherCatalogNumbers	preparations	sex	typeStatus	recordedBy	eventID	eventTime	footprintWKT	samplingProtocol
Occurrence	North East Atlantic Taxa	413572	Pycnogonida	Tisbe	1676699.0	https://marineinfo.org/id/dataset/82	74.649088330558	17.233142578053	Nymphonidae	Nymphon	VLIZ	Animalia	Norwegian Exclusive Economic Zone	2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:413572	AphiaID: 134707	present	Pantopoda	Arthropoda	Nymphon serratum	Sars, 1879	urn:lsid:marinespecies.org:taxname:134707	serratum	165c0066-dcd8-43e9-a0a9-5f7d4e0b2994	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum	['NO_DEPTH']	143.0	49027	4.5	34.74																																					
PreservedSpecimen		6552	Pycnogonida	MuseumCollection		dfo_que_mli_museum	63.67	-68.43833333	Nymphonidae	Nymphon	IML	Animalia	Mair Island		DFO_MLI_MuseumCollection_6552			Pantopoda	Arthropoda	Nymphon serratum	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:134707	serratum	31f9861c-cdc8-4df0-9202-76ed81c7cd16	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum	[]	32.0	689	-0.44	31.62	DFO Quebec Region MLI museum collection	28	1967-08-28	SAB 67-5 OT-7	1	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	66.0	64.0	8	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01205	phylum	PhysicalObject	Nymphon serratum	Entre Mair Island & Cairn Island	1967	65.0	-74044800000.0	-74044800000.0	-74044800000.0	1967.0														
PreservedSpecimen		INV.69202	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	be_rbins_invertebrates_cheliceratamarine	70.416667	57.933333	Nymphonidae	Nymphon	RBINS-Scientific Heritage	Animalia	Cara See	2011-07-04 12:43:47	http://collections.naturalsciences.be/specimen/484043		present	Pantopoda	Arthropoda	Nymphon serratum	Sars, 1879	urn:lsid:marinespecies.org:taxname:134707	serratum	33bd4ad3-0eb4-4556-9bfc-2576b05cc649	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum Sars, 1879	['NO_DEPTH']	51.0	18099	1.34	33.18	Royal Belgian Institute of Natural Sciences marine Chelicerata collection		1907	8719/st153														1907		-1988150400000.0	-1972425600000.0	-1956700800000.0	1907.0	Cara See	1931-01	Giltay L.B. (Dr.)	unknown	http://www.geonames.org/1504324	urn:catalog:RBINS:IG:8719	container type: vial; preservation method: alcohol	unknown	specimen					
HumanObservation			Pycnogonida	2006B3			70.6999969482	58.5499992371	Nymphonidae	Nymphon	ArcOD	Animalia			4335	;;134707;Malygin	present	Pantopoda	Arthropoda	Nymphon serratum	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:134707		33d05e75-eb14-464f-8a68-a968eb3b80c1	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum		2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum	['DEPTH_EXCEEDS_BATH']	84.0	26709	1.14	33.1		26	1921-8-26							1450.0	8							1921	1450.0	-1525824000000.0	-1525824000000.0	-1525824000000.0	1921.0										Gorbunov				
Occurrence		148710535001042	Pycnogonida	IMRMarbunnBenthos		https://marineinfo.org/id/dataset/4540	73.347912	36.255697	Nymphonidae	Nymphon	IMR	Animalia	MAREANO Reference Station: 1487	2024-05-23 10:35:05	148710535001042		present	Pantopoda	Arthropoda	Nymphon serratum	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:134707		455e5a24-29dc-4898-866d-46285f8af930	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum	[]	234.6	361639	4.12	34.95	beamtrawl_2006-2022	13	2015-06-13T18:30:00+00:00/2015-06-13T18:35:00+00:00	catchId: 42					232.5	224.69	6							2015	228.595	1434153600000.0	1434153600000.0	1434153600000.0	2015.0	Barents Sea										Cruise: 58GS-2015109 Sample: 535	18:30:00+00:00/18:35:00+00:00	LINESTRING(36.255697 73.347912,36.256143 73.345828)	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0
HumanObservation			Pycnogonida	2006B3			74.1669998169	54.3330001831	Nymphonidae	Nymphon	ArcOD	Animalia			4280	;;134707;Malygin	present	Pantopoda	Arthropoda	Nymphon serratum	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:134707		6666e085-838c-4aad-a4f6-43d9291a6cbe	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum		2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum	['DEPTH_EXCEEDS_BATH']	143.0	16347	1.54	34.57		17	1921-8-17							1560.0	8							1921	1560.0	-1526601600000.0	-1526601600000.0	-1526601600000.0	1921.0														
PreservedSpecimen		6554	Pycnogonida	MuseumCollection		dfo_que_mli_museum	69.26666667	-77.8	Nymphonidae	Nymphon	IML	Animalia	Foxe Basin		DFO_MLI_MuseumCollection_6554			Pantopoda	Arthropoda	Nymphon serratum	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:134707	serratum	88fbd454-9785-4ede-9e59-15d99598e2c1	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum	[]	48.0	16445	-0.86	30.75	DFO Quebec Region MLI museum collection	9	1956-09-09	SAB 56-837 B-45	1	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	55.0	45.0	9	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01205	phylum	PhysicalObject	Nymphon serratum	entre Bray Island et Rowley Island	1956	50.0	-420076800000.0	-420076800000.0	-420076800000.0	1956.0														
PreservedSpecimen		6553	Pycnogonida	MuseumCollection		dfo_que_mli_museum	66.46666667	-86.2	Nymphonidae	Nymphon	IML	Animalia	Repulse Bay		DFO_MLI_MuseumCollection_6553			Pantopoda	Arthropoda	Nymphon serratum	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:134707	serratum	b83d2f48-0812-4917-a754-53d12ba6010e	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum	['DEPTH_EXCEEDS_BATH']	45.0	4394	-0.62	31.19	DFO Quebec Region MLI museum collection	8	1955-09-08	SAB 55-711 B-10	1	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	110.0	70.0	9	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01205	phylum	PhysicalObject	Nymphon serratum		1955	90.0	-451785600000.0	-451785600000.0	-451785600000.0	1955.0														
PreservedSpecimen		INV.69203	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	be_rbins_invertebrates_cheliceratamarine	66.333333	12.466667	Nymphonidae	Nymphon	RBINS-Scientific Heritage	Animalia	Greenland Sea	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/363183		present	Pantopoda	Arthropoda	Nymphon serratum	Sars, 1879	urn:lsid:marinespecies.org:taxname:134707	serratum	bd16f287-9031-4e16-8bc1-626fa349964c	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum Sars, 1879	['NO_DEPTH']	65.6	767	8.13	33.94	Royal Belgian Institute of Natural Sciences marine Chelicerata collection		1938-06	11726							6							1938		-996796800000.0	-995587200000.0	-994291200000.0	1938.0	Greenland Sea, Oceans		Stock Jan Hendrik	unknown	http://www.geonames.org/2960853	urn:catalog:RBINS:IG:11726	container type: vial; preservation method: alcohol	unknown	specimen					
PreservedSpecimen		INV.69201	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	be_rbins_invertebrates_cheliceratamarine	70.583333	58.366667	Nymphonidae	Nymphon	RBINS-Scientific Heritage	Animalia	Cara See	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/362226		present	Pantopoda	Arthropoda	Nymphon serratum	Sars, 1879	urn:lsid:marinespecies.org:taxname:134707	serratum	bd247377-76b9-4e04-9d32-019e88dc929c	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon serratum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134707	134707	Nymphon serratum Sars, 1879	['NO_DEPTH']	25.0	17190	1.29	32.99	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	16	1907-08-16	8719/st149							8							1907		-1968537600000.0	-1968537600000.0	-1968537600000.0	1907.0	Cara See	1931-01	Giltay L.B. (Dr.)	unknown	http://www.geonames.org/1504324	urn:catalog:RBINS:IG:8719	container type: vial; preservation method: alcohol	unknown	specimen					
