basisOfRecord	catalogNumber	class	collectionCode	continent	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintWKT	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dynamicProperties	identifiedBy	individualCount	preparations	stateProvince	waterBody	coordinateUncertaintyInMeters	occurrenceRemarks	recordedBy	references	samplingEffort
Occurrence	111410443001020	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	22	65.627242	5.587233	2013-06-22T12:07:00+00:00/2013-06-22T12:13:00+00:00	Cruise: 58GS-2013205 Sample: 443	12:07:00+00:00/12:13:00+00:00	Nymphonidae	catchId: 20	LINESTRING(5.587233 65.627242,5.591533 65.626317)	Nymphon	IMR	Animalia	MAREANO Reference Station: 1114	612.04	610.28	2024-05-23 10:35:05	6	111410443001020	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Nymphon tenellum	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134712	2013	00622387-9ac3-4c9e-b59c-33c540a2c610	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	611.16	1371859200000	1371859200000	1371859200000	2013	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon tenellum	[]	611.8	233827	9.6	35.0														
Occurrence	019210349061017	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	21	69.395167	15.555	2007-10-21T13:57:00+00:00/2007-10-21T14:02:00+00:00	Cruise: 58GS-2007111 Sample: 349	13:57:00+00:00/14:02:00+00:00	Nymphonidae	catchId: 17	LINESTRING(15.555 69.395167,15.5525 69.394)	Nymphon	IMR	Animalia	MAREANO Reference Station: 192	224.01	223.57	2024-05-23 10:35:05	10	019210349061017	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Nymphon tenellum	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134712	2007	0239e1e8-8c75-48bb-ad9d-0a67974a9279	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	223.79	1192924800000	1192924800000	1192924800000	2007	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon tenellum	[]	223.4	18096	7.91	34.54														
PreservedSpecimen	10979.81584	Pycnogonida	Invertebrate Zoology: Crustacea					44.5666694641	-56.6958312988	1885-06-30T12:00:00Z			Nymphonidae			Nymphon	USNM	Animalia	Banquereau Bank, Off E Edge	399.0	399.0		6			Pantopoda	Arthropoda		Nymphon tenellum	Norman	urn:lsid:marinespecies.org:taxname:134709	1885	04fff2d7-9d27-42e2-8a1c-eec7f76c06d9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	399.0	-2666736000000	-2666736000000	-2666736000000	1885	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum		2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon spinosissimum	[]	505.0	241216	9.29	32.05	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Canada	observedindividualcount=5;	Smith, S. I.	5.0	Alcohol (Ethanol)	Nova Scotia	North Atlantic Ocean					
HumanObservation	UKOOA_LAG0718_1_134712	Pycnogonida	The Marine Biological Association of the United Kingdom	North East Atlantic	https://marineinfo.org/id/dataset/5247		1	60.95229619	-2.879452738	2007-04-01	UKOOA_LAG0718_1		Nymphonidae			Nymphon	Marine Biological Association of the UK (MBA)	Animalia		598.0	598.0	2014-10-23 00:00:00	4	DASSH_UKOOA_LAG0718_1_134712	present	Pantopoda	Arthropoda	Sampling instrument: Box corer or TOOL0960: Hamon grab; Seive mesh size: 0.500mm	Nymphon tenellum		urn:lsid:marinespecies.org:taxname:134712	2007	0765e5d4-fd53-472d-93e4-9767b1c476e8	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	598.0	1175385600000	1175385600000	1175385600000	2007	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon tenellum	[]	608.0	84657	10.21	35.33						1.0				5.0	Eventremarks: sediment samples were subsampled for particle size distribution, organic carbon, polychlorinated biphenyl (PCB) hydrocarbons and heavy / trace metals	Ralph Butcher; Sarah O'Flynn; Seran Davies; Mark Roberts	http://www.oilandgasuk.co.uk/knowledgecentre/uk_benthos_database.cfm	Unknown
PreservedSpecimen	1028246.822750	Pycnogonida	Invertebrate Zoology				18	41.3670005798	-66.0329971313	1953-08-18T15:00:00Z			Nymphonidae			Nymphon	USNM	Animalia		434.0	434.0		8			Pantopoda	Arthropoda		Nymphon tenellum	Norman	urn:lsid:marinespecies.org:taxname:134709	1953	082c7999-a79c-47b3-af0f-26b08f01e1ea	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	434.0	-516672000000	-516672000000	-516672000000	1953	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum		2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon spinosissimum	[]	979.0	224697	12.33	32.53	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		observedindividualcount=2;	United States National Marine Fisheries Service	2.0	Alcohol (Ethanol)		North Atlantic Ocean			United States National Marine Fisheries Service		
Occurrence	084110022019025	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	10	67.202833	10.459833	2012-05-10T05:11:00+00:00/2012-05-10T05:16:00+00:00	Cruise: 58GS-2012106 Sample: 22	05:11:00+00:00/05:16:00+00:00	Nymphonidae	catchId: 25	LINESTRING(10.459833 67.202833,10.460057 67.200692)	Nymphon	IMR	Animalia	MAREANO Reference Station: 841	201.94	201.72	2024-05-23 10:35:05	5	084110022019025	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Nymphon tenellum	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134712	2012	0ba8a48d-b9ae-47ab-bed8-06e477f41cfa	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	201.82999999999998	1336608000000	1336608000000	1336608000000	2012	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon tenellum	[]	204.4	63532	8.82	34.34														
Occurrence	178510015001009	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	26	75.040167	35.577667	2017-08-26T07:03:00+00:00/2017-08-26T07:08:00+00:00	Cruise: 58GS-2017112 Sample: 15	07:03:00+00:00/07:08:00+00:00	Nymphonidae	catchId: 9	LINESTRING(35.577667 75.040167,35.5845 75.041333)	Nymphon	IMR	Animalia	MAREANO Reference Station: 1785	174.27	173.41	2024-05-23 10:35:05	8	178510015001009	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Nymphon tenellum	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134712	2017	0c6a4a57-f852-4776-84cf-2149bddb4567	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	173.84	1503705600000	1503705600000	1503705600000	2017	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon tenellum	[]	172.0	329193	2.41	34.8														
Occurrence	254640153001006	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4539	grab_2006-2022	5	62.312748	1.583476	2021-05-05T05:03:00+00:00	Cruise: 58GS-2021104 Sample: 153	05:03:00+00:00	Nymphonidae	catchId: 6		Nymphon	IMR	Animalia	MAREANO Reference Station: 2546	486.0	486.0	2024-05-23 10:35:05	5	254640153001006	present	Pantopoda	Arthropoda	Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Nymphon tenellum	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134712	2021	0ce55d6c-623c-472b-a6d7-1fc4f81d959c	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	486.0	1620172800000	1620172800000	1620172800000	2021	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon tenellum	[]	478.4	172293	9.96	35.27														
PreservedSpecimen	10983.81620	Pycnogonida	Invertebrate Zoology: Crustacea				5	44.4333305359	-57.1875	1885-07-05T12:00:00Z			Nymphonidae			Nymphon	USNM	Animalia		347.0	347.0		7			Pantopoda	Arthropoda		Nymphon tenellum	Norman	urn:lsid:marinespecies.org:taxname:134709	1885	105072c2-1b9d-4c59-a11d-395b97886fae	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	347.0	-2666304000000	-2666304000000	-2666304000000	1885	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum		2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon spinosissimum	[]	1080.0	199977	9.09	31.8	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Canada	observedindividualcount=2;	Smith, S. I.	2.0	Alcohol (Ethanol)	Nova Scotia	North Atlantic Ocean					
Occurrence	184310024001023	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	15	76.522333	14.578667	2017-11-15T14:29:00+00:00/2017-11-15T14:34:00+00:00	Cruise: 58GS-2017115 Sample: 24	14:29:00+00:00/14:34:00+00:00	Nymphonidae	catchId: 23	LINESTRING(14.578667 76.522333,14.588 76.522)	Nymphon	IMR	Animalia	MAREANO Reference Station: 1843	270.71	261.37	2024-05-23 10:35:05	11	184310024001023	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Nymphon tenellum	(Sars, 1888)	urn:lsid:marinespecies.org:taxname:134712	2017	14a2f96c-13f0-47aa-b040-371aef69bcdd	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	266.03999999999996	1510704000000	1510704000000	1510704000000	2017	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tenellum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134712	134712	Nymphon tenellum	[]	272.6	43703	3.58	34.76														
