basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	year	georeferenceSources
HumanObservation	34146	SOMBASE Pycnogonids	-42.653301239	179.01499939	BAS	1844	1844	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	015774ab-0698-4e79-8ba2-a4383969cbce	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1844.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	1863	296867	14.66	35.11																					
HumanObservation	34144	SOMBASE Pycnogonids	-42.1749992371	175.990005493	BAS	2602	2677	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	11185068-ccff-4616-a097-20887385e62c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2639.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	['MIN_DEPTH_EXCEEDS_MAX']	2669	81401	14.37	35.07																					
HumanObservation	34143	SOMBASE Pycnogonids	-42.1166000366	175.13659668	BAS	2627	2619	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	1ec30fed-f0b7-4eea-bae4-8b6fe19299bc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2623.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	2634	57165	13.69	34.86																					
HumanObservation	21519	SOMBASE Pycnogonids	-70.5149993896	-10.736700058	BAS	1586	1586	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	2fdc212e-30fb-4fbd-9d19-b252f638b96f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1586.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	1599	46266	-1.7	33.91																					
PreservedSpecimen	7435	NIWA	-42.245	175.1433	NIWA Invertebrate Collection	2476	2476	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	358b3456-ce3f-419f-b892-46648b2f71f7	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	2476.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	2564	71128	13.72	34.86	Oceania	500	New Zealand	NIWA Invertebrate Collection	2	2/11/1979	POINT (175.1433 -42.245)	WGS84	en	S202	8/04/2022	11	5fb7e7fa-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 250	NZOI	Sled, epibenthic	(Hodgson, 1915)	typhlops	1979	
PreservedSpecimen	7437	NIWA	-42.1166667	175.1366667	NIWA Invertebrate Collection	2619	2619	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	38188cae-609d-4ff7-b0aa-17dc5d6e2b86	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	2619.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	2635	57171	13.69	34.86	Oceania	500	New Zealand	NIWA Invertebrate Collection	1	1/11/1979	POINT (175.1366667 -42.1166667)	WGS84	en	S203	8/04/2022	11	5cbfd328-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 2	NZOI	Sled, epibenthic	(Hodgson, 1915)	typhlops	1979	
HumanObservation	39592	SOMBASE Pycnogonids	-70.5149993896	-10.736700058	BAS	1586	1586	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	41bcbf3d-c208-40e2-9b3d-4587f42b890b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1586.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	1599	46266	-1.7	33.91																					
PreservedSpecimen	7443	NIWA	-44.79	178.9966667	NIWA Invertebrate Collection	1963	1932	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	6d0040a9-cf8c-49a8-931a-f70e0cd3b6d5	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1947.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	1916	328706	11.24	34.33	Oceania	100	New Zealand	NIWA Invertebrate Collection	14	14/09/1993	LINESTRING (178.9966667 -44.79, 178.9516667 -44.81)	WGS84	en	W247B	8/04/2022	9	5f3e375c-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 1	NIWA	Trawl, Agassiz medium	(Hodgson, 1915)	typhlops	1993	GPS
HumanObservation	39590	SOMBASE Pycnogonids	-71.5667037964	-12.4300003052	BAS	604	604	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	6dfdb64e-9deb-4593-b74e-ae21ac6892c1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	604.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	604	5790	-1.76	33.77																					
HumanObservation	39406	SOMBASE Pycnogonids	-70.5333023071	-10.8500003815	BAS	1666	1585	Nymphon typhlops	urn:lsid:marinespecies.org:taxname:173523	980742bd-0d45-4921-9704-50484442d9b4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1625.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon typhlops	2	1065	1274	1302	1358	379601	379609	1566	134591	173523	173523	Nymphon typhlops	[]	1684	46932	-1.7	33.92																					
