basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	datasetID	locality	modified
HumanObservation	22972	SOMBASE Pycnogonids	-75.5333023071	-178.833297729	BAS	496	474	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	01a075e8-b64e-4f3d-b3c1-010572de0495	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	485.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	522	245008	-1.59	34.1																																		
PreservedSpecimen	JR15005_1480_03a		-60.3241	-46.7694	BAS	826	722	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	062b14f5-80f4-439e-ad43-1929124d0cc8	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	774.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	859	26187	-0.83	33.81	280	AQ	10	2016-03-10	JR15005	JR15005_70	LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_1480_03a	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	(Hodgson, 1907)	villosum	species	PhysicalObject	10/3/2016	2016	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	Biota	1.0			
HumanObservation	37565	SOMBASE Pycnogonids	-69.5832977295	13.8332996368	BAS	400	380	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	098b1f91-cf97-4cd1-928c-7d565051449e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	390.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	37	-1050	-1.75	33.54																																		
PreservedSpecimen	JR15005_1480_03		-60.3241	-46.7694	BAS	826	722	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	0c24b7ce-a7fe-40e8-a162-088501e8a157	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	774.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	859	26187	-0.83	33.81	280	AQ	10	2016-03-10	JR15005	JR15005_70	LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_1480_03	Present	3	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	(Hodgson, 1907)	villosum	species	PhysicalObject	10/3/2016	2016	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	Biota	1.0			
HumanObservation	22973	SOMBASE Pycnogonids	-76.1166000366	-170.203292847	BAS	87	71	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	0e344532-7c6a-427a-8b7e-79f238b822d3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	79.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	571	246712	-1.68	34.0																																		
PreservedSpecimen	JR15005_1382_06		-60.3231	-46.7689	BAS	837	733	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	123c2a44-3fbf-4441-af55-bf1e88265998	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	785.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	859	26292	-0.83	33.81	270	AQ	10	2016-03-10	JR15005	JR15005_69	LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_1382_06	Present	4	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	(Hodgson, 1907)	villosum	species	PhysicalObject	10/3/2016	2016	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	Biota	1.0			
HumanObservation	2850	Weddell Sea macrozoobenthos EASIZ I	-73.605	-22.316668	AWI	620	620	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	1b31db14-bea0-4995-81e5-6bdb4eba2177	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	620.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	632	45199	-1.67	33.87			14										2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2850											1996							IMIS:dasid:2432	South of Vestkapp	2010-05-11T18:09Z
HumanObservation	2848	Weddell Sea macrozoobenthos EASIZ I	-71.38166667	-14.32	AWI	622	622	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	1d9ddf85-02e3-4bd8-87df-95cf40e971c3	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	622.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	657	68625	-1.72	33.93			23										2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2848											1996							IMIS:dasid:2432	Kapp Norvegia area	2010-05-11T18:09Z
HumanObservation	22975	SOMBASE Pycnogonids	-66.3649978638	110.364997864	BAS	329	296	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	24c71280-0d15-40f5-9c76-30e0fc7f4de1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	312.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	['DEPTH_EXCEEDS_BATH']	37	3311	-1.64	33.51																																		
HumanObservation	21525	SOMBASE Pycnogonids	-71.3816986084	-14.3199996948	BAS	622	622	Nymphon villosum	urn:lsid:marinespecies.org:taxname:173527	28963070-5099-40ad-b659-0a60bdb05430	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	622.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon villosum	2	1065	1274	1302	1358	379601	379609	1566	134591	173527	173527	Nymphon villosum	[]	657	68624	-1.72	33.93																																		
