basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	verbatimLocality	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	2013-18624	Pycnogonida	IU	PG	11	-5.078866	145.814407	2012-12-11T01:00Z	Ammotheidae	PAPUA NIUGINI/PB50	POINT  (145.814407 -5.078866)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	N Sek I.	2015-08-25T14:39Z	12	1065330733	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-18624	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES	inner slope	Pacific Ocean	2012	031761bd-41fc-4e1b-9c99-24803d76086b	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1355184000000	1355184000000	1355184000000	2012	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	-1	46	28.95	34.18
PreservedSpecimen	2014-10205	Pycnogonida	IU	VU	16	-15.58335	167.128502	2006-10-16T02:00Z	Ammotheidae	SANTO 2006/FB90	POINT  (167.128502 -15.58335)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	W Aoré I.	2015-09-14T13:48Z	10	1212550068	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2014-10205	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES	Les Flamboyants	Pacific Ocean	2006	091c4274-1d27-4e21-b440-00006e49ff24	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1160956800000	1160956800000	1160956800000	2006	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	-6	331	28.04	34.54
PreservedSpecimen	2012-1215	Pycnogonida	IU	PG	23	-5.076217	145.820145	2012-11-23T01:00Z	Ammotheidae	PAPUA NIUGINI/PS23	POINT  (145.820145 -5.076217)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	N Sek I.	2015-09-14T13:48Z	11	1019679648	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1215	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES		Pacific Ocean	2012	0c57de99-9aa9-440c-ab58-477b8ef45d2c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1353628800000	1353628800000	1353628800000	2012	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	-5	23	28.95	34.18
PreservedSpecimen	2012-1208	Pycnogonida	IU	PG	24	-5.198717	145.826889	2012-11-24T01:00Z	Ammotheidae	PAPUA NIUGINI/PS26	POINT  (145.826889 -5.198717)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	E Kranket I.	2015-10-07T20:09Z	11	1019679589	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1208	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES		Pacific Ocean	2012	1cc58c6f-2d57-4401-ac84-0279326b6da4	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1353715200000	1353715200000	1353715200000	2012	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH', 'ON_LAND']	-1	-16	28.9	34.18
PreservedSpecimen	2012-1206	Pycnogonida	IU	PG	24	-5.198717	145.826889	2012-11-24T01:00Z	Ammotheidae	PAPUA NIUGINI/PS26	POINT  (145.826889 -5.198717)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	E Kranket I.	2015-10-07T20:08Z	11	1019679566	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1206	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES		Pacific Ocean	2012	2c0fe270-46ce-4b15-b73b-c0908d99706f	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1353715200000	1353715200000	1353715200000	2012	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH', 'ON_LAND']	-1	-16	28.9	34.18
PreservedSpecimen	2014-10204	Pycnogonida	IU	VU	16	-15.58335	167.128502	2006-10-16T02:00Z	Ammotheidae	SANTO 2006/FB90	POINT  (167.128502 -15.58335)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	W Aoré I.	2015-09-14T13:48Z	10	1212550085	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2014-10204	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES	Les Flamboyants	Pacific Ocean	2006	2d5371e6-4309-4f47-ad8e-8727524670a6	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1160956800000	1160956800000	1160956800000	2006	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	-6	331	28.04	34.54
PreservedSpecimen	2012-1216	Pycnogonida	IU	PG	23	-5.076217	145.820145	2012-11-23T01:00Z	Ammotheidae	PAPUA NIUGINI/PS23	POINT  (145.820145 -5.076217)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	N Sek I.	2015-09-14T13:48Z	11	1019679657	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1216	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES		Pacific Ocean	2012	2fada9a0-69b7-41e7-a492-5e4497099514	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1353628800000	1353628800000	1353628800000	2012	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	-5	23	28.95	34.18
PreservedSpecimen	2012-1217	Pycnogonida	IU	PG	23	-5.076217	145.820145	2012-11-23T01:00Z	Ammotheidae	PAPUA NIUGINI/PS23	POINT  (145.820145 -5.076217)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	N Sek I.	2015-10-07T20:12Z	11	1019679668	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1217	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES		Pacific Ocean	2012	42db0433-a058-41c3-85b8-30a6083f8656	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1353628800000	1353628800000	1353628800000	2012	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	-5	23	28.95	34.18
PreservedSpecimen	2013-17996	Pycnogonida	IU	VU	16	-15.58335	167.128502	2006-10-16T02:00Z	Ammotheidae	SANTO 2006/FB90	POINT  (167.128502 -15.58335)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	W Aoré I.	2014-03-18T18:09Z	10	1212548746	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-17996	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES	Les Flamboyants	Pacific Ocean	2006	4595b44b-0299-4e0c-baba-9ab9b0773486	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1160956800000	1160956800000	1160956800000	2006	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	-6	331	28.04	34.54
PreservedSpecimen	2013-6587	Pycnogonida	IU	PG	10	-5.165333	145.839172	2012-12-10T01:00Z	Ammotheidae	PAPUA NIUGINI/PR221	POINT  (145.839172 -5.165333)	Nymphopsis	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	N Tab I.	2015-05-07T18:46Z	12	1019684682	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-6587	Nymphopsis muscosa	Loman, 1908	urn:lsid:marinespecies.org:taxname:240375	muscosa	SPECIES		Pacific Ocean	2012	45d5c314-799d-4cd2-b181-84793f2445b3	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1355097600000	1355097600000	1355097600000	2012	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Nymphopsis muscosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240375	240375	Nymphopsis muscosa Loman, J.C.C., 1908	['NO_DEPTH']	42	200	28.89	34.18
