basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	individualCount	month	year	date_start	date_mid	date_end	date_year	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	footprintWKT	geodeticDatum	identifiedBy	language	locationID	maximumDepthInMeters	preparations	recordedBy	samplingProtocol	sex	georeferenceSources
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Oropallene metacaula</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239704	sm_id_2094	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-45.76	174.51	Callipallenidae	Oropallene	WoRMS Editorial Board	Animalia	Pacific Ocean	1586	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2094	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=2094	Oropallene metacaula	Child, 1995	urn:lsid:marinespecies.org:taxname:239704	metacaula	holotype	0467ba38-225a-49ee-816d-7c525f5b41f4	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1586.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula	1.0	2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1571	239657	10.54	34.3																									
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Oropallene metacaula</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239704	sm_id_90139	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-45.7633	174.5083	Callipallenidae	Oropallene	WoRMS Editorial Board	Animalia		1586	2020-11-16 11:12:20	WoRMS Editorial Board:WoRMS type localities:sm_id_90139	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=90139	Oropallene metacaula	Child, 1995	urn:lsid:marinespecies.org:taxname:239704	metacaula	holotype	1f09ae15-c8cd-4eeb-bb8e-663f68799335	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1586.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula	1.0	2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1572	239908	10.54	34.3	26	1979-10-26	1.0	10	1979	309744000000.0	309744000000.0	309744000000.0	1979.0																
PreservedSpecimen		7494	Pycnogonida	NIWA		-45.7633	174.5083	Callipallenidae	Oropallene	NIWA Invertebrate Collection	Animalia		1586	8/04/2022	5c25e25e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Oropallene metacaula	Child, 1995	urn:lsid:marinespecies.org:taxname:239704	metacaula	HOLOTYPE	23cd5c70-1947-45cf-a396-21ab07c50db0	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1586.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1572	239908	10.54	34.3	26	26/10/1979		10	1979					Oceania	500	New Zealand	NIWA Invertebrate Collection	1995	POINT (174.5083 -45.7633)	WGS84	Child, C, A	en	S151	1586.0	Specimen(s), Isopropanol - orig unknown = 1,  BB NIC Type Room	NZOI	Sled, epibenthic		
HumanObservation		34151	Pycnogonida	SOMBASE Pycnogonids		-45.9650001526	171.76159668	Callipallenidae	Oropallene	BAS	Animalia		1400				Pantopoda	Arthropoda		Oropallene metacaula		urn:lsid:marinespecies.org:taxname:239704			3c143d9a-c63b-4184-a36c-e96f7cc2da95	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1407.5	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1423	78965	9.99	34.29																				1415.0					
HumanObservation		34152	Pycnogonida	SOMBASE Pycnogonids		-45.7666015625	174.408294678	Callipallenidae	Oropallene	BAS	Animalia		1640				Pantopoda	Arthropoda		Oropallene metacaula		urn:lsid:marinespecies.org:taxname:239704			3d708367-1683-4a12-8006-150f023afdc7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1640.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1623	236430	10.52	34.3																				1640.0					
HumanObservation		34153	Pycnogonida	SOMBASE Pycnogonids		-45.351600647	173.596603394	Callipallenidae	Oropallene	BAS	Animalia		1386				Pantopoda	Arthropoda		Oropallene metacaula		urn:lsid:marinespecies.org:taxname:239704			48590b7b-b5f4-4137-b17e-aeb11930404c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1386.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1413	169365	10.49	34.3																				1386.0					
PreservedSpecimen		7468	Pycnogonida	NIWA		-45.3517	173.5967	Callipallenidae	Oropallene	NIWA Invertebrate Collection	Animalia		1386	8/04/2022	5cc612e2-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Oropallene metacaula	Child, 1995	urn:lsid:marinespecies.org:taxname:239704	metacaula		5460b960-d10b-4211-80cb-2df431dc48ae	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1386.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1413	169378	10.49	34.3	27	27/10/1979		10	1979					Oceania	500	New Zealand	NIWA Invertebrate Collection		POINT (173.5967 -45.3517)	WGS84		en	S153	1386.0	Specimen(s), None = 3	NZOI	Sled, epibenthic	male	
HumanObservation		34150	Pycnogonida	SOMBASE Pycnogonids		-45.403301239	173.99659729	Callipallenidae	Oropallene	BAS	Animalia		1373				Pantopoda	Arthropoda		Oropallene metacaula		urn:lsid:marinespecies.org:taxname:239704			61528193-0921-44fe-af7b-ab5308d77cbf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1373.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1381	185895	10.52	34.3																				1373.0					
PreservedSpecimen		7469	Pycnogonida	NIWA		-45.965	171.7616667	Callipallenidae	Oropallene	NIWA Invertebrate Collection	Animalia		1235	8/04/2022	5da5aa9c-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Oropallene metacaula	Child, 1995	urn:lsid:marinespecies.org:taxname:239704	metacaula		7f775961-e6f6-4587-aa39-dc50e534117a	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1251.5	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1423	78970	9.99	34.29	23	23/02/1995		2	1995					Oceania	100	New Zealand	NIWA Invertebrate Collection		POINT (171.7616667 -45.965)	WGS84		en	W460	1268.0	Specimen(s), None = 1	NZOI	Trawl, type undefined	female	GPS
PreservedSpecimen		4764	Pycnogonida	NIWA		-45.7633	174.5083	Callipallenidae	Oropallene	NIWA Invertebrate Collection	Animalia		1586	8/04/2022	5f5afee6-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Oropallene metacaula	Child, 1995	urn:lsid:marinespecies.org:taxname:239704	metacaula	PARATYPE	8a4ca2e4-c8bb-4853-99ab-e3da9237f76f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1586.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Oropallene metacaula		2	1065	1274	1302	1358	379601	379609	1564	236286	239704	239704	Oropallene metacaula	[]	1572	239908	10.54	34.3	26	26/10/1979		10	1979					Oceania	500	New Zealand	NIWA Invertebrate Collection	1995	POINT (174.5083 -45.7633)	WGS84	Child, C, A	en	S151	1586.0	Specimen(s), Isopropanol - orig unknown = 5,  BB NIC Type Room	NZOI	Sled, epibenthic		
