basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country
PreservedSpecimen	P.13607	Pycnogonida	co113	0.0896	10000	-34.166	151.183	1898-03-22	Callipallenidae	POINT (151.18300 -34.16600)	Oropallene	AM	Animalia	5.5 - 6.5 km off Wattamolla	2017-03-02T11:16:06	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13607	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826	Male	minor	species	08c3178e-1394-402f-aea5-de7f1504b779	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2265148800000.0	-2265148800000.0	-2265148800000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	99.0	5950	20.37	35.54	
PreservedSpecimen	P.42919	Pycnogonida	co113	0.009	1000	-27.40666	153.533	1993-06-04	Callipallenidae	POINT (153.53300 -27.40666)	Oropallene	AM	Animalia	North Stradbroke Island, Middle Reef	2017-03-02T15:58:04	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42919	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826	Female	minor	species	0a15a132-543b-4ea0-90bd-d9fb377547a2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739152000000.0	739152000000.0	739152000000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	30.05	856	23.45	35.4	Australia
PreservedSpecimen	P.42924	Pycnogonida	co113	0.009	1000	-27.40666	153.533	1993-06-04	Callipallenidae	POINT (153.53300 -27.40666)	Oropallene	AM	Animalia	North Stradbroke Island, Middle Reef	2017-03-02T15:58:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42924	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826	Male	minor	species	0efe2667-7fa1-4e8e-8d0f-f6a0b67f28e7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739152000000.0	739152000000.0	739152000000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	30.05	856	23.45	35.4	Australia
PreservedSpecimen	P.13609	Pycnogonida	co113	0.0896	10000	-34.05833	151.20833	1898-03-10	Callipallenidae	POINT (151.20833 -34.05833)	Oropallene	AM	Animalia	2 - 3 km off Port Hacking	2017-03-02T11:16:06	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13609	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826	Female	minor	species	2f2d7867-265b-4780-81c4-89de66f588bc	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266185600000.0	-2266185600000.0	-2266185600000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	24.0	1873	20.37	35.53	Australia
PreservedSpecimen	P.42885	Pycnogonida	co113	0.009	1000	-28.61333	153.62999	1992-03-04	Callipallenidae	POINT (153.62999 -28.61333)	Oropallene	AM	Animalia	Byron Bay, 100 m north-west of Julian Rocks	2017-03-02T15:57:57	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42885	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826	Male	minor	species	32a65a53-c366-419a-9e33-497e9255832d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	699667200000.0	699667200000.0	699667200000.0	1992.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	23.23	176	23.31	35.4	Australia
PreservedSpecimen	P.42872	Pycnogonida	co113	0.009	1000	-42.27832	148.31166	1991-05-01	Callipallenidae	POINT (148.31166 -42.27832)	Oropallene	AM	Animalia	Freycinet Peninsula, Joes Bight	2017-03-02T15:57:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42872	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826		minor	species	343af5f3-591b-41ec-a0d5-10a56baa0e4e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	673056000000.0	673056000000.0	673056000000.0	1991.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	-7.0	70	14.76	35.31	Australia
PreservedSpecimen	P.27583	Pycnogonida	co113		10000	-14.7	145.466	1976-08-24	Callipallenidae	POINT (145.46600 -14.70000)	Oropallene	AM	Animalia	Lizard Island, between Bird Isllet and South Island	2017-03-02T11:26:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27583	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826		minor	species	3479efe8-310d-4808-8167-5104d18f4b55	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	209692800000.0	209692800000.0	209692800000.0	1976.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	29.58	819	26.45	34.93	Australia
PreservedSpecimen	P.13608	Pycnogonida	co113	0.0896	10000	-34.083	151.25	1898-03-11	Callipallenidae	POINT (151.25000 -34.08300)	Oropallene	AM	Animalia	3 - 4 km off Botany Bay	2017-03-02T11:16:06	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13608	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826	Female	minor	species	36e3f92d-9a6c-42f4-a731-ed768e26c0a7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-2266099200000.0	-2266099200000.0	-2266099200000.0	1898.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	104.0	5557	20.48	35.54	
PreservedSpecimen	E.6172	Pycnogonida	co113	0.8961	100000	-37.8	149.266	1915-03-25	Callipallenidae	POINT (149.26600 -37.80000)	Oropallene	AM	Animalia	south-east from Cape Everard	2017-03-02T12:23:45	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:E.6172	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826		minor	species	43e6bc33-1583-48a3-91bb-2822c88502bb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-1728518400000.0	-1728518400000.0	-1728518400000.0	1915.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	19.0	84	16.72	35.58	Australia
PreservedSpecimen	P.13610	Pycnogonida	co113	0.0896	10000	-33.733	151.633		Callipallenidae	POINT (151.63300 -33.73300)	Oropallene	AM	Animalia	16-18 miles north east of South Head, Port Jackson	2017-03-02T11:16:07	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13610	present	Arthropoda	Oropallene minor	urn:lsid:marinespecies.org:taxname:239826	Male	minor	species	6bcfd492-5821-4ef6-8c45-24c2676cc39b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Oropallene minor	2	1065	1274	1302	1358	379601	379609	1564	236286	239826	239826	Oropallene minor	['NO_DEPTH']	138.0	28863	20.67	35.54	
