basisOfRecord	collectionCode	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	modified	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	stateProvince	taxonConceptID	taxonRank	year	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	class	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	catalogNumber	collectionID	continent	countryCode	datasetID	datasetName	eventDate	eventID	eventRemarks	identifiedBy	institutionID	locationID	locationRemarks	minimumDepthInMeters	organismID	parentNameUsageID	recordNumber	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonID	taxonomicStatus	waterBody	depth	date_start	date_mid	date_end	date_year	maximumDepthInMeters	coordinateUncertaintyInMeters	locality	sex	coordinatePrecision
PreservedSpecimen	Invertebrates	Australia	-40.73333	147.93333	Callipallenidae	POINT (147.93333 -40.73333)	Pallenella	QVMAG	Animalia	2019-01-11T14:51:13	1	URN:catalog:QVMAG:Invertebrates:QVM:10:24308	present	1	individuals	Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:851535	Tasmania	urn:lsid:biodiversity.org.au:afd.taxon:7c07a68a-0845-4be7-829a-44e22c10b335	species	1980	0387f277-38ff-4f86-b0e5-b2b59384b2de	2a17430f-ec53-44dc-b09b-5a1d252820c0	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Biota	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua	1.0	2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Meridionale ambigua	['NO_DEPTH']	15	835	15.14	35.59																																			
PreservedSpecimen	OGL	Australia	-43.0610008239746	147.947998046875	Callipallenidae		Pallenella	OGL	Animalia			OGL_MSC_NortheasternUniversity_S12200	present			Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:851535	Tasmania		Species		05b1fd63-7f50-4912-a8f2-43feb0b26fce	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Meridionale ambigua	['DEPTH_EXCEEDS_BATH']	-183	36	14.26	35.27	BOLD ID: TAS23	S12200	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Oceania	AU	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2007-01-26	CE01499	Contact Person: Arango, Claudia; Collection Event Notes: Collector name listed as C. ARANGO	Claudia Arango	8c116cac-9394-4c4e-be14-06184bdc62bd	CL01379	Tasman Peninsula	20.0	S12200	851534	TAS23	Claudia Arango	ND	(Stock, 1956)	ambigua	T02201	accepted	Waterfall Bay	20.0	1169769600000.0	1169769600000.0	1169769600000.0	2007.0					
HumanObservation	SOMBASE Pycnogonids		-43.0476989746	147.953796387	Callipallenidae		Pallenella	BAS	Animalia							Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:239935					0750a4b5-0216-47c4-aa26-bf3ee6f1818d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Pseudopallene ambigua	[]	-7	195	14.26	35.27		39944													22.0											22.0					22.0				
HumanObservation	SOMBASE Pycnogonids		-43.1329994202	147.965606689	Callipallenidae		Pallenella	BAS	Animalia							Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:239935					0de9dda7-0c08-43d4-ad30-fc296d755de0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Pseudopallene ambigua	[]	-5	525	14.3	35.27		39938													21.0											21.0					21.0				
PreservedSpecimen	co113	Australia	-43.15	147.85	Callipallenidae	POINT (147.85000 -43.15000)	Pallenella	AM	Animalia	2017-03-02T11:16:09		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13632	present			Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:851535			species		0e1f1fce-75bf-4830-a8fe-3157c268fff1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Meridionale ambigua	['NO_DEPTH', 'ON_LAND']	6	-111	14.17	35.26		P.13632																				dubia										10000	Port Arthur	Female	
PreservedSpecimen	co113	Australia	-31.45	152.283	Callipallenidae	POINT (152.28300 -31.45000)	Pallenella	AM	Animalia	2017-03-02T15:03:57		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.4902	present			Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:851535			species		0e58666f-63b7-4c57-8d72-31219a0d383e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Meridionale ambigua	['NO_DEPTH', 'ON_LAND']	-291	-54871				P.4902						1911-09-01														ambigua					-1840924800000.0	-1840924800000.0	-1840924800000.0	1911.0		100000	off Nobby's Head, Newcastle	Male	0.8961
HumanObservation	SOMBASE Pycnogonids		-43.1329994202	147.965606689	Callipallenidae		Pallenella	BAS	Animalia							Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:239935					10f89439-ccc8-4d58-b90b-e88ce6ee85d9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Pseudopallene ambigua	[]	-5	525	14.3	35.27		39941													21.0											21.0					21.0				
PreservedSpecimen	co113	Australia	-43.15	147.85	Callipallenidae	POINT (147.85000 -43.15000)	Pallenella	AM	Animalia	2017-03-02T11:16:09		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13631	present			Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:851535			species		11c527a5-4c84-40ec-988f-bc3d593c5dac	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Meridionale ambigua	['NO_DEPTH', 'ON_LAND']	6	-111	14.17	35.26		P.13631																				dubia										10000	Port Arthur	Female	
HumanObservation	SOMBASE Pycnogonids		-35.8333015442	137.333297729	Callipallenidae		Pallenella	BAS	Animalia							Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:239935					1262bc14-4a69-4e90-bfb6-4d00939ff318	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Pseudopallene ambigua	['NO_DEPTH', 'ON_LAND']	-117	-17751				39950																																	
PreservedSpecimen	co113	Australia	-41.29166	148.333	Callipallenidae	POINT (148.33300 -41.29166)	Pallenella	AM	Animalia	2017-03-02T15:57:52		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42860	present			Arthropoda	Pallenella ambigua	urn:lsid:marinespecies.org:taxname:851535			species		1b8fa325-2725-4707-8b78-864bf335b7fa	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella ambigua		2	1065	1274	1302	1358	379601	379609	1564	236291	1509504	1509504	Meridionale ambigua	['NO_DEPTH', 'ON_LAND']	-2	-350	15.27	35.42		P.42860						1991-04-14														ambigua					671587200000.0	671587200000.0	671587200000.0	1991.0		1000	Elephant Rock, north of St Helens Point,	Male	0.009
