basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	country
PreservedSpecimen	P.44734	Pycnogonida	co113	0.009	1000	-38.98499	148.52666	1994-08-27	Pallenopsidae	POINT (148.52666 -38.98499)	Pallenopsis	AM	Animalia	Bass Strait, east of Seal Islands	2017-03-02T15:49:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44734	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	095efd81-5abc-407d-974b-012c91852cce	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	777945600000.0	777945600000.0	777945600000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	136	85748	16.74	35.57		
PreservedSpecimen	P.44124	Pycnogonida	co113	0.0896	10000	-33.016	152.0	1993-05-05	Pallenopsidae	POINT (152.00000 -33.01600)	Pallenopsis	AM	Animalia	midshelf east of Newcastle	2017-03-02T16:15:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44124	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	0f18ba21-a783-4137-9ff3-e6548ae65ba3	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	736560000000.0	736560000000.0	736560000000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	121	21414	20.87	35.53	Male	
PreservedSpecimen	P.13649	Pycnogonida	co113	0.8961	100000	-37.083	150.116		Pallenopsidae	POINT (150.11600 -37.08300)	Pallenopsis	AM	Animalia	approx. 11km off Twofold Bay	2017-03-02T11:16:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13649	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	18165684-451e-410c-a610-08f99a987523	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	85	11706	18.21	35.57	Female	
PreservedSpecimen	P.13647	Pycnogonida	co113	0.8961	100000	-39.933	148.333	1914-05-28	Pallenopsidae	POINT (148.33300 -39.93300)	Pallenopsis	AM	Animalia	Bass Strait, east of Babel Island	2017-03-02T11:16:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13647	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	23e93099-ee3e-4c05-80f2-2efd076212f5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-1754524800000.0	-1754524800000.0	-1754524800000.0	1914.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	9	181	15.5	35.55	Male	Australia
PreservedSpecimen	E.4650	Pycnogonida	co113	0.8961	100000	-39.933	148.316	1914-05-28	Pallenopsidae	POINT (148.31600 -39.93300)	Pallenopsis	AM	Animalia	off Babel Island, eastern slopes of Bass Strait	2017-03-02T12:21:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:E.4650	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	285288e6-5312-40ea-9575-bc4e2b4477c0	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-1754524800000.0	-1754524800000.0	-1754524800000.0	1914.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	6	936	15.5	35.55	Female	Australia
PreservedSpecimen	P.43500	Pycnogonida	co113	0.009	1000	-37.39833	150.29833	1994-09-01	Pallenopsidae	POINT (150.29833 -37.39833)	Pallenopsis	AM	Animalia	south-east of Disaster Bay	2017-03-02T16:14:14	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43500	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	29717dd1-5b83-4bb1-9d53-e6b4648a7523	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778377600000.0	778377600000.0	778377600000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	172	26451	18.38	35.58	Female	
PreservedSpecimen	P.43405	Pycnogonida	co113	0.009	1000	-38.98499	148.52666	1994-08-27	Pallenopsidae	POINT (148.52666 -38.98499)	Pallenopsis	AM	Animalia	Bass Strait, east of Seal Islands	2017-03-02T16:13:57	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43405	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	4ad2d314-5828-439d-8bc8-e5d4ff06f2f6	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	777945600000.0	777945600000.0	777945600000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	136	85748	16.74	35.57	Male	
PreservedSpecimen	E.6029	Pycnogonida	co113	0.0896	10000	-38.16334	149.27527	1914-10-20	Pallenopsidae	POINT (149.27527 -38.16334)	Pallenopsis	AM	Animalia	40 km south of Cape Everard	2017-03-02T12:23:29	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:E.6029	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	4c93fa70-7e1e-4019-9f04-ca31e3edaf2e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	-1741996800000.0	-1741996800000.0	-1741996800000.0	1914.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	216	39384	17.1	35.58	Female	
PreservedSpecimen	P.13643	Pycnogonida	co113		10000	-38.083	150.333		Pallenopsidae	POINT (150.33300 -38.08300)	Pallenopsis	AM	Animalia	30 miles south of Gabo Island	2017-03-02T11:16:11	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13643	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	6a7d220d-f649-4a54-a565-8012dedd8970	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	3214	67790	18.29	35.59	Male	
PreservedSpecimen	P.14491	Pycnogonida	co113	0.0896	10000	-34.016	151.316		Pallenopsidae	POINT (151.31600 -34.01600)	Pallenopsis	AM	Animalia	4-6.4 km east of Botany Bay	2017-03-02T11:18:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.14491	present	Arthropoda	Pallenopsis gippslandiae	urn:lsid:marinespecies.org:taxname:239738	gippslandiae	species	6e651ed3-8e64-4a08-bc9b-42d557948eff	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis gippslandiae	2	1065	1274	1302	1358	379601	379609	236317	134593	239738	239738	Pallenopsis gippslandiae	['NO_DEPTH']	98	6318	20.48	35.54	Female	
