basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	38154	SOMBASE Pycnogonids	-54.9000015259	-34.4665985107	BAS	250	250	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	000674df-099b-4065-be65-409444e007c5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	222	18936	1.24	33.79
HumanObservation	37794	SOMBASE Pycnogonids	-54.7750015259	-35.2132987976	BAS	350	330	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	36183d39-4a6e-4ca4-8d87-c331f530b3bf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	340.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	309	35702	1.56	33.77
HumanObservation	38132	SOMBASE Pycnogonids	-54.8600006104	-34.6133003235	BAS	260	260	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	38d8fcab-253f-40e6-95a4-c6c9ba27fb37	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	260.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	459	17959	1.32	33.79
HumanObservation	37793	SOMBASE Pycnogonids	-54.7132987976	-34.7550010681	BAS	600	480	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	43406f58-a114-4a3f-9098-d8f89b7acef2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	540.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	769	34016	1.35	33.79
HumanObservation	38128	SOMBASE Pycnogonids	-54.8582992554	-34.6216011047	BAS	250	250	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	4389f188-5400-4b29-a75e-56fa889ceea1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	548	18019	1.32	33.79
HumanObservation	37724	SOMBASE Pycnogonids	-53.4500007629	-41.6966018677	BAS	430	160	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	56b1af20-7146-4aaa-b4e7-e1c999a0dac5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	295.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	['DEPTH_EXCEEDS_BATH']	232	23247	2.05	33.78
HumanObservation	37798	SOMBASE Pycnogonids	-54.7616004944	-35.625	BAS	80	65	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	5896110f-42bb-49a4-b6d4-545a0bc3bf26	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	81	10274	1.68	33.76
HumanObservation	38131	SOMBASE Pycnogonids	-54.8916015625	-34.4682998657	BAS	250	250	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	74e5936c-67c7-4c66-a92f-828d6bc6c551	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	292	19512	1.24	33.79
HumanObservation	37828	SOMBASE Pycnogonids	-53.4650001526	-42.2015991211	BAS	215	205	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	863b6863-5550-4477-addd-9b4b461756a5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	210.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	[]	212	14598	2.15	33.78
HumanObservation	38123	SOMBASE Pycnogonids	-54.9333000183	-34.5166015625	BAS	260	250	Pallenopsis gurjanovi	urn:lsid:marinespecies.org:taxname:239741	9f2e6339-72fa-4866-9e14-83d1d4e97491	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	255.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	2	1065	1274	1302	1358	379601	379609	236317	134593	239741	239741	Pallenopsis gurjanovi	['DEPTH_EXCEEDS_BATH']	53	14081	1.26	33.79
