basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	24324	SOMBASE Pycnogonids	-63.8532981873	-62.6265983582	BAS	165.0	128.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	0218c9b2-65bc-4d77-8c69-2d71d653eb91	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	146.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	233	18269	-0.4	33.59																															
HumanObservation	24313	SOMBASE Pycnogonids	-73.9000015259	177.733306885	BAS	569.0	569.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	05071aa0-07b7-4415-bf26-e89cd8bbc4c1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	569.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	['DEPTH_EXCEEDS_BATH']	320	245358	-1.58	34.13																															
HumanObservation	24321	SOMBASE Pycnogonids	-61.2999992371	-56.1416015625	BAS	240.0	220.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	06b6dd43-9a6e-4d47-87e5-bb4c5d7bd984	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	230.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	312	20072	-0.38	33.96																															
PreservedSpecimen	JR15005_2838_02		-60.6779	-42.525	BAS	500.0	493.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	09ff502c-2978-4fe2-a0d5-f26279b8d55c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	496.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	536	98105	-1.0	33.85	255	AQ	16	2016-03-16	JR15005	JR15005_132	LINESTRING (-42.52058 -60.67724, -42.5295 -60.67859)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_2838_02	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Gordon, 1938	hodgsoni	species	PhysicalObject	16/03/2016	2016	1458086400000.0	1458086400000.0	1458086400000.0	2016.0	Biota	1.0
HumanObservation	34856	SOMBASE Pycnogonids	-66.8000030518	71.6999969482	BAS	540.0	540.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	0b4ebf23-cccf-4a09-b572-8fd94178afb5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	540.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	513	138403	-1.59	34.04																															
PreservedSpecimen	JR15005_2358_03		-60.7586	-42.9794	BAS	546.0	508.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	11a5776a-e391-4c61-98f9-6f380ba12b62	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	527.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	575	73719	-1.03	33.84	288	AQ	15	2016-03-15	JR15005	JR15005_113	LINESTRING (-42.97439 -60.7578, -42.98436 -60.75949)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_2358_03	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Gordon, 1938	hodgsoni	species	PhysicalObject	15/03/2016	2016	1458000000000.0	1458000000000.0	1458000000000.0	2016.0	Biota	1.0
HumanObservation	24307	SOMBASE Pycnogonids	-61.3366012573	-55.0166015625	BAS	741.0	722.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	1257f753-f94e-4734-8eab-d60e82015540	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	731.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	787	11434	-0.54	34.05																															
PreservedSpecimen	JR230_09_0228		-67.163	-69.45	BAS	460.37	460.37	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	12651b77-1211-4486-a050-f9bbaf1d35f7	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	460.37	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	452	27811	-0.9	33.08	1000	AQ	4	2009-12-04	JR230	JR230_BASWAP3-AGT-7c		EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	https://ror.org/01rhff309	en	12	JR230_09_0228	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	Gordon, 1938	hodgsoni	species	PhysicalObject	4/12/2009	2009	1259884800000.0	1259884800000.0	1259884800000.0	2009.0	Biota	1.0
HumanObservation	24337	SOMBASE Pycnogonids	-73.8165969849	-178.216598511	BAS	503.0	495.0	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	1429ccec-cf1e-495b-aee1-c847e4c8ff38	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	499.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	509	370316	-1.65	34.04																															
PreservedSpecimen	JR275_1449.3		-74.6364	-28.9908	BAS	971.14	941.94	Pallenopsis hodgsoni	urn:lsid:marinespecies.org:taxname:239762	143e0e66-200a-412d-9898-f09359182c0e	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	956.54	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis hodgsoni	2	1065	1274	1302	1358	379601	379609	236317	134593	239762	239762	Pallenopsis hodgsoni	[]	950	94339	-1.71	33.97	153	AQ	1	2012-03-01	JR275	JR275_98	LINESTRING (-28.99501 -74.63566, -28.98652 -74.63723)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR275_1449.3	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Gordon, 1938	hodgsoni	species	PhysicalObject	1/3/2012	2012	1330560000000.0	1330560000000.0	1330560000000.0	2012.0	Biota	1.0
