basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	georeferenceSources	locality	minimumDepthInMeters	identificationQualifier	bibliographicCitation	datasetID	superdomain	superdomainid
PreservedSpecimen	318	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	1971	9	-49.6833	178.67	9/11/1962	Pallenopsidae	POINT (178.67 -49.6833)	Pallenopsis	WGS84	Clark, W.C.	NIWA Invertebrate Collection	Animalia	en	A740	315	8/04/2022	11	5e52a940-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Isopropanol - orig unknown = 1,  BB NIC Type Room	NZOI	Dredge, cone, mesh	Pallenopsis kupei	Clark, 1971	urn:lsid:marinespecies.org:taxname:239880	female	kupei	PARATYPE	1962	0b9a8ff7-8787-4cd3-a7ef-dec8018dc6d9	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	315.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	['DEPTH_EXCEEDS_BATH']	127	3508	7.75	34.2								
PreservedSpecimen	50474	Pycnogonida	NIWA	Oceania	100	Commonwealth of Australia	NIWA Invertebrate Collection	1/07/2009	9	-52.459	160.4321667	9/04/2008	Pallenopsidae	LINESTRING (160.4321667 -52.459, 160.427 -52.4611667)	Pallenopsis	WGS84	Arango, Claudia	NIWA Invertebrate Collection	Animalia	en	TAN0803/67	470	8/04/2022	4	5ef782bc-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	Seamount	Sled, epibenthic	Pallenopsis kupei	Clark, 1971	urn:lsid:marinespecies.org:taxname:239880		kupei		2008	0bd4e52a-bb70-4624-9c73-cd3f44a75231	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	465.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	414	231364	7.69	34.21	GPS	Seamount 6 Macquarie Ridge. Australian EEZ	460.0					
PreservedSpecimen	585	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	1971	11	-45.2	171.7333	11/10/1965	Pallenopsidae	POINT (171.7333 -45.2)	Pallenopsis	WGS84	Clark, W.C.	NIWA Invertebrate Collection	Animalia	en	E413	594	8/04/2022	10	5e54f786-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Isopropanol - orig unknown = 1,  BB NIC Type Room	NZOI	Trawl, Agassiz medium with sediment sampler	Pallenopsis kupei	Clark, 1971	urn:lsid:marinespecies.org:taxname:239880	female	kupei	PARATYPE	1965	0dbb91d7-cd5e-43c6-9d5a-3f5b30e9f5ea	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	594.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	609	54075	10.98	34.4								
HumanObservation	34292	Pycnogonida	SOMBASE Pycnogonids							-45.8499984741	171.033294678		Pallenopsidae		Pallenopsis			BAS	Animalia			730					Pantopoda	Arthropoda				Pallenopsis kupei		urn:lsid:marinespecies.org:taxname:239880					1301f1d4-acbd-4bf0-9df2-6c65e4203db0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	730.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	['DEPTH_EXCEEDS_BATH']	482	21989	10.96	34.43			730.0					
PreservedSpecimen	39952	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection	1/07/2009	4	-51.061	161.978	4/04/2008	Pallenopsidae	LINESTRING (161.978 -51.061, 161.9716667 -51.0628333)	Pallenopsis	WGS84	Arango, Claudia	NIWA Invertebrate Collection	Animalia	en	TAN0803/50	498	8/04/2022	4	5d3b03cc-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - orig formalin = 1	Seamount	Sled, epibenthic	Pallenopsis kupei	Clark, 1971	urn:lsid:marinespecies.org:taxname:239880		kupei		2008	1943cc67-2ee6-47a4-99a4-d5644d77cefa	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	441.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	614	274155	8.33	34.28	GPS	Seamount 5 Eltanin, Macquarie Ridge. New Zealand EEZ	385.0	cf.				
PreservedSpecimen	7490	Pycnogonida	NIWA	Oceania	500	Commonwealth of Australia	NIWA Invertebrate Collection		27	-54.85	158.6333	27/02/1965	Pallenopsidae	POINT (158.6333 -54.85)	Pallenopsis	WGS84		NIWA Invertebrate Collection	Animalia	en	E237B	155	8/04/2022	2	5cf86fb2-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Trawl, Agassiz medium	Pallenopsis kupei	Clark, 1971	urn:lsid:marinespecies.org:taxname:239880	female	kupei		1965	1e59ddaa-5270-4844-8f8e-847cb0485941	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	155.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	670	13082	5.04	33.9								
Occurrence	44504	Pycnogonida	NewCaledonia			Fidji				-16.75	177.669998168945		Pallenopsidae		Pallenopsis			IRD-MNHN	Animalia			610	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:44504:0xC76D170001000700	present	Pantopoda	Arthropoda				Pallenopsis kupei		urn:lsid:marinespecies.org:taxname:239880					1f50702e-bf5a-4087-92ca-8a8a6ecf1144	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	599.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	667	9582	27.75	34.68		Musorstom 10, CP1344	588.0		Bamber RN (2000). Musorstom 21(184): 611-625.	https://marineinfo.org/id/dataset/3128	Biota	1.0
HumanObservation	39293	Pycnogonida	SOMBASE Pycnogonids							-71.3165969849	-13.9425001144		Pallenopsidae		Pallenopsis			BAS	Animalia			848					Pantopoda	Arthropoda				Pallenopsis kupei		urn:lsid:marinespecies.org:taxname:239880					2c306659-c6f8-4da4-be17-39db25c760c7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	848.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	872	56093	-1.72	33.92			848.0					
HumanObservation	39259	Pycnogonida	SOMBASE Pycnogonids							-71.0812988281	-11.5366001129		Pallenopsidae		Pallenopsis			BAS	Animalia			309					Pantopoda	Arthropoda				Pallenopsis kupei		urn:lsid:marinespecies.org:taxname:239880					2c5d4834-8d01-4503-be52-a266fe086eee	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	309.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	301	5662	-1.72	33.76			309.0					
HumanObservation	34297	Pycnogonida	SOMBASE Pycnogonids							-54.8499984741	158.633300781		Pallenopsidae		Pallenopsis			BAS	Animalia			146					Pantopoda	Arthropoda				Pallenopsis kupei		urn:lsid:marinespecies.org:taxname:239880					3061c7d0-c2fb-47ce-b483-e2177035eb36	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	146.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis kupei	2	1065	1274	1302	1358	379601	379609	236317	134593	239880	239880	Pallenopsis kupei	[]	574	13082	5.04	33.9			146.0					
