associatedMedia	associatedOccurrences	basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
http://v3.boldsystems.org/pics/DSPYC/_DSC1646+1318277334.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1645+1318277212.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC022-11"""	PreservedSpecimen	PS77_248-3.2.1	Pycnogonida	408	AQ	7	-65.9278	-60.334	2011-03-07	PS77	Pallenopsidae	PS77_PS77/248-3	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	434.5	424.5	3	PS77_248-3.2.1	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	7/3/2011	2011	07d34b72-e503-4575-af7a-ccfff5e05a89	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	429.5	1299456000000	1299456000000	1299456000000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	[]	406	9713	-1.72	32.69
	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC009-11"""	PreservedSpecimen	PS77_248-3.2.4	Pycnogonida	408	AQ	7	-65.9278	-60.334	2011-03-07	PS77	Pallenopsidae	PS77_PS77/248-3	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	434.5	424.5	3	PS77_248-3.2.4	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	7/3/2011	2011	19a6be1d-bc67-4c83-93d7-418054c91839	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	429.5	1299456000000	1299456000000	1299456000000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	[]	406	9713	-1.72	32.69
http://v3.boldsystems.org/pics/DSPYC/_DSC1754+1318354456.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1756+1318354572.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC172-11"""	PreservedSpecimen	PS77_257-2.2.2	Pycnogonida	406	AQ	13	-64.9113	-60.6547	2011-03-13	PS77	Pallenopsidae	PS77_PS77/257-2	LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	271.0	149.0	3	PS77_257-2.2.2	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	13/03/2011	2011	1aeccd51-324b-4352-bb37-d59f356f4468	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	210.0	1299974400000	1299974400000	1299974400000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	['DEPTH_EXCEEDS_BATH']	159	3701		
http://v3.boldsystems.org/pics/DSPYC/_DSC1641+1318275764.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1642+1318275830.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC012-11"""	PreservedSpecimen	PS77_226-7.1.1	Pycnogonida	461	AQ	23	-64.914	-60.6113	2011-02-23	PS77	Pallenopsidae	PS77_PS77/226-7	LINESTRING (-60.621 -64.9145, -60.60166667 -64.9135)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	233.0	182.5	2	PS77_226-7.1.1	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	23/02/2011	2011	21f070f4-7eda-4b1f-9f3f-743b10fd0d10	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	207.75	1298419200000	1298419200000	1298419200000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	[]	207	4419		
http://v3.boldsystems.org/pics/DSPYC/_DSC1639+1318275240.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1640+1318275318.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC024-11"""	PreservedSpecimen	PS77_226-7.1.2	Pycnogonida	461	AQ	23	-64.914	-60.6113	2011-02-23	PS77	Pallenopsidae	PS77_PS77/226-7	LINESTRING (-60.621 -64.9145, -60.60166667 -64.9135)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	233.0	182.5	2	PS77_226-7.1.2	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	23/02/2011	2011	2662c3f7-e47c-4b9d-ba1b-bda47160653c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	207.75	1298419200000	1298419200000	1298419200000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	[]	207	4419		
http://v3.boldsystems.org/pics/DSPYC/_DSC1637+1318274604.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1638+1318274708.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC023-11"""	PreservedSpecimen	PS77_248-3.2.3	Pycnogonida	408	AQ	7	-65.9278	-60.334	2011-03-07	PS77	Pallenopsidae	PS77_PS77/248-3	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	434.5	424.5	3	PS77_248-3.2.3	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	7/3/2011	2011	2d9d127f-4b9b-4b12-ab12-8fd60399e381	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	429.5	1299456000000	1299456000000	1299456000000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	[]	406	9713	-1.72	32.69
http://v3.boldsystems.org/pics/DSPYC/_DSC1768+1318357178.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1769+1318357242.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC160-11"""	PreservedSpecimen	PS77_257-2.2.3	Pycnogonida	406	AQ	13	-64.9113	-60.6547	2011-03-13	PS77	Pallenopsidae	PS77_PS77/257-2	LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	271.0	149.0	3	PS77_257-2.2.3	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	13/03/2011	2011	4794f5eb-d6ae-4f9d-bb8b-683ec723a90f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	210.0	1299974400000	1299974400000	1299974400000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	['DEPTH_EXCEEDS_BATH']	159	3701		
http://v3.boldsystems.org/pics/DSPYC/_DSC1668+1318333910.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1666+1318333816.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC177-11"""	PreservedSpecimen	PS77_291-1.2	Pycnogonida	766	AQ	31	-70.8352	-10.5806	2011-03-31	PS77	Pallenopsidae	PS77_PS77/291-1	LINESTRING (-10.587333 -70.84167, -10.57383333 -70.82866667)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	284.0	231.2	3	PS77_291-1.2	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	31/03/2011	2011	58815819-f743-454c-ae34-8d714591f880	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	257.6	1301529600000	1301529600000	1301529600000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	[]	242	15521	-1.72	33.77
http://v3.boldsystems.org/pics/DSPYC/_DSC1648+1318277990.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1647+1318277924.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC019-11"""	PreservedSpecimen	PS77_248-3.2.2	Pycnogonida	408	AQ	7	-65.9278	-60.334	2011-03-07	PS77	Pallenopsidae	PS77_PS77/248-3	LINESTRING (-60.332167 -65.92417, -60.33583333 -65.93133333)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	434.5	424.5	3	PS77_248-3.2.2	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	7/3/2011	2011	5af8902a-7b52-450b-a86a-e8279004a698	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	429.5	1299456000000	1299456000000	1299456000000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	[]	406	9713	-1.72	32.69
http://v3.boldsystems.org/pics/DSPYC/_DSC1757+1318354830.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1758+1318354974.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC153-11"""	PreservedSpecimen	PS77_257-2.2.4	Pycnogonida	406	AQ	13	-64.9113	-60.6547	2011-03-13	PS77	Pallenopsidae	PS77_PS77/257-2	LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	Pallenopsis	EPSG:4326	Jana Domel	BAS	https://ror.org/01rhff309	Animalia	en	271.0	149.0	3	PS77_257-2.2.4	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis latefrontalis	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:239889	latefrontalis	species	PhysicalObject	13/03/2011	2011	623c890b-dfa6-4bba-a730-c84623a1c25f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	210.0	1299974400000	1299974400000	1299974400000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latefrontalis	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239889	239889	Pallenopsis latefrontalis	['DEPTH_EXCEEDS_BATH']	159	3701		
