basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	individualCount	institutionCode	kingdom	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventID	habitat	identificationRemarks	identificationVerificationStatus	identifiedBy	locality	maximumDepthInMeters	occurrenceRemarks	verbatimIdentification	continent	coordinateUncertaintyInMeters	country	datasetName	fieldNumber	footprintWKT	geodeticDatum	georeferenceSources	language	locationID	preparations	recordedBy	samplingProtocol	dateIdentified	sex
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis latus</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239892	sm_id_90225	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	1	-25.2283000946	-179.0682983398	1980-06-01	Pallenopsidae	Pallenopsis	1.0	WoRMS Editorial Board	Animalia	646	2020-11-16 11:12:20	6	WoRMS Editorial Board:WoRMS type localities:sm_id_90225	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=90225	Pallenopsis latus	Child, 1998	urn:lsid:marinespecies.org:taxname:239892	latus	holotype	1980	1beb7db7-8062-40f4-ba78-f9adf2c5a349	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	646.0	328665600000.0	328665600000.0	328665600000.0	1980.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	642	432672	23.71	35.39																								
PreservedSpecimen		63750	Pycnogonida	SeamountsOnline			-42.72	-179.96	2001-04-21	Pallenopsidae	Pallenopsis		SCSD	Animalia	890			SeamountsOnline_urn:lsid:marinespecies.org:taxname:239892_63750	present	Pantopoda	Arthropoda	Clark, M.R. and A.A. Rowden 2009 Effect of Deepwater Trawling on the Macro-Invertebrate Assemblages of Seamounts on the Chatham Rise, New Zealand Deep-Sea Research Part I: Oceanographic Research Papers 56(9): 1540-1554	Pallenopsis latus	Child, 1998	urn:lsid:marinespecies.org:taxname:239892				3f606a83-a774-421f-97ad-470a6559072a	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	951.0	987811200000.0	987811200000.0	987811200000.0	2001.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	1160	271943	14.64	35.12	SCSD_SeamountsOnline_Morgue_Seamount_544626	benthic/near bottom	WoRMS Match Type: exact	Validated	NA	Morgue Seamount	1012.0	NA | NA	Pallenopsis latus															
PreservedSpecimen		157929	Pycnogonida	NIWA		21	-42.72	-179.9605	21/04/2001	Pallenopsidae	Pallenopsis		NIWA Invertebrate Collection	Animalia	890	8/04/2022	4	cd8bfe81-43e2-4b5f-96c5-a9b8069a471b	present	Pantopoda	Arthropoda		Pallenopsis latus	Child, 1998	urn:lsid:marinespecies.org:taxname:239892	latus		2001	5d7a5ead-b58b-44a0-a366-c9007be588cb	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	951.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus		2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	1160	271981	14.64	35.12						Chatham Rise	1012.0			Oceania	100	New Zealand	NIWA Invertebrate Collection	Z10743	LINESTRING (-179.9605 -42.72, -179.961 -42.722167)	WGS84	GPS	en	TAN0104/399	Specimen(s), Ethanol - no formalin = 2,  BB General Wet Collection	NIWA; MFish	Sled, epibenthic		
HumanObservation		34158	Pycnogonida	SOMBASE Pycnogonids			-44.123298645	175.770004272		Pallenopsidae	Pallenopsis		BAS	Animalia	540					Pantopoda	Arthropoda		Pallenopsis latus		urn:lsid:marinespecies.org:taxname:239892				71ae4afd-e704-400a-a8b6-19cd2b578f97	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	540.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus		2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	549	214916	12.01	34.5							540.0																	
HumanObservation		34157	Pycnogonida	SOMBASE Pycnogonids			-48.0065994263	-179.175003052		Pallenopsidae	Pallenopsis		BAS	Animalia	750					Pantopoda	Arthropoda		Pallenopsis latus		urn:lsid:marinespecies.org:taxname:239892				7db1b28a-fbb4-4c45-9360-8a211723ac34	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	750.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus		2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	752	133815	8.92	34.22							750.0																	
HumanObservation		34159	Pycnogonida	SOMBASE Pycnogonids			-25.2283000946	-179.06829834		Pallenopsidae	Pallenopsis		BAS	Animalia	547					Pantopoda	Arthropoda		Pallenopsis latus		urn:lsid:marinespecies.org:taxname:239892				988b3e8a-91d3-4dd4-8c7a-137cf17bfc10	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	596.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus		2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	642	432672	23.71	35.39							646.0																	
PreservedSpecimen		4766	Pycnogonida	NIWA		1	-25.2283	-179.0683	1/06/1980	Pallenopsidae	Pallenopsis		NIWA Invertebrate Collection	Animalia	547	8/04/2022	6	5c8abab2-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Pallenopsis latus	Child, 1998	urn:lsid:marinespecies.org:taxname:239892	latus	PARATYPE	1980	aaae0c15-452c-438d-8d78-e5249646a9b5	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	596.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus		2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	642	432672	23.71	35.39					Child, C, A		646.0			International Waters	500		NIWA Invertebrate Collection		POINT (-179.0683 -25.2283)	WGS84		en	P947	Specimen(s), Unknown = 1,  Missing	NZOI	Dredge, rock	1998	juvenile
PreservedSpecimen		70262	Pycnogonida	NIWA		3	-39.47067	178.4128	3/06/1999	Pallenopsidae	Pallenopsis		NIWA Invertebrate Collection	Animalia	865	8/04/2022	6	60583048-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda		Pallenopsis latus	Child, 1998	urn:lsid:marinespecies.org:taxname:239892	latus		1999	b38528d3-11e3-4902-a9be-12bcb8964d6e	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	865.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus		2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	936	50330	16.64	35.47							865.0			Oceania	500	New Zealand	NIWA Invertebrate Collection	KAH9907/40	POINT (178.4128 -39.47067)	WGS84		en	Z10170	Specimen(s), Ethanol - no formalin = 4	MFish; NIWA			
PreservedSpecimen		92177	Pycnogonida	NIWA		26	-34.15716667	172.1006667	26/03/2011	Pallenopsidae	Pallenopsis		NIWA Invertebrate Collection	Animalia	47	8/04/2022	3	7236cb19-73e7-464b-b5a9-57b43e113147	present	Pantopoda	Arthropoda		Pallenopsis latus	Child, 1998	urn:lsid:marinespecies.org:taxname:239892	latus		2011	b61ec083-4fe9-4413-ba04-de534bd811fc	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	50.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus		2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	31	1834	17.55	35.48					Neill, Kate	Three Kings	54.0			Oceania	100	New Zealand	NIWA Invertebrate Collection		LINESTRING (172.1006667 -34.15716667, 172.1035 -34.15883333)	WGS84	GPS	en	TAN1105/35	Specimen(s), Ethanol - no formalin = 1	Oceans Survey 20/20 - Biogenic Habitats	Sled, epibenthic	5/03/2014	
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis latus</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239892	sm_id_1215	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	1	-25.23	-179.07	1980-06-01	Pallenopsidae	Pallenopsis		WoRMS Editorial Board	Animalia	547	2007-06-20 15:52:33	6	WoRMS Editorial Board:WoRMS type localities:sm_id_1215	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1215	Pallenopsis latus	Child, 1998	urn:lsid:marinespecies.org:taxname:239892	latus	holotype	1980	b911846b-3758-43c6-ba4c-566bc306e77e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	596.5	328665600000.0	328665600000.0	328665600000.0	1980.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis latus	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239892	239892	Pallenopsis latus	[]	642	432927	23.71	35.39						Pacific Ocean	646.0																	
