basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	country	countryCode	datasetID	datasetName	eventDate	eventID	eventRemarks	identifiedBy	institutionID	locationID	occurrenceID	occurrenceStatus	organismID	parentNameUsageID	recordNumber	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonID	taxonRank	taxonomicStatus	waterBody	date_start	date_mid	date_end	date_year
HumanObservation	24622	SOMBASE Pycnogonids	-61.4500007629	-41.9165992737	BAS	604.0	604	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	0cc11d6c-bf0a-45df-a6a1-6bdbab344aa6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	604.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	950	154999	-1.25	33.84																													
HumanObservation	24624	SOMBASE Pycnogonids	-72.4499969482	177.066604614	BAS	1890.0	1883	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	0cf4c624-c17f-4159-82fe-8ca9ff9d9a91	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1886.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	1929	207441	-1.64	34.09																													
HumanObservation	24621	SOMBASE Pycnogonids	-62.6699981689	-54.748298645	BAS	265.0	265	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	0e401776-f86c-4085-bb77-495c56ec2511	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	265.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	247	51554	-1.42	33.77																													
HumanObservation	37746	SOMBASE Pycnogonids	-55.153301239	-34.7000007629	BAS	130.0	125	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	10d96829-e15c-4156-98de-2d38c4db36c9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	127.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	121	15197	1.32	33.78																													
HumanObservation	24614	SOMBASE Pycnogonids	-62.7182998657	-62.2915992737	BAS	558.0	549	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	11860471-00fa-408b-8acd-d5b200357585	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	553.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	560	17200	-0.33	33.62																													
HumanObservation	34880	SOMBASE Pycnogonids	-66.75	62.0499992371	BAS	219.0	219	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	12ae91aa-15bc-4b9a-9d40-37f81fc3ed9e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	219.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	259	46308	-1.62	34.08																													
HumanObservation	24626	SOMBASE Pycnogonids	-65.1116027832	-65.0115966797	BAS	180.0	100	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	142f0b57-55a7-4e1a-8245-9af6554d6cac	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	282	5856	-0.56	33.13																													
HumanObservation	24620	SOMBASE Pycnogonids	-62.8666000366	-59.4500007629	BAS	935.0	884	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	16443ab4-d555-46f7-b317-64849bc95c29	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	909.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	1164	33293	-0.66	33.98																													
HumanObservation	24618	SOMBASE Pycnogonids	-62.1450004578	-57.8166007996	BAS	412.0	338	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	179a1f5a-3637-4444-8d01-a106e40de30d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	375.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	368	6788	-0.53	34.02																													
PreservedSpecimen	S12094	OGL	-76.1930999755859	176.296005249023	OGL		447	Pallenopsis spicata	urn:lsid:marinespecies.org:taxname:240268	2195e6a8-3ea9-48b4-8dac-465249d1da5d	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	447.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis spicata	2	1065	1274	1302	1358	379601	379609	236317	134593	240268	240268	Pallenopsis spicata	[]	442	145766	-1.53	34.22	BOLD ID: 36816	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Antarctica	AQ	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2008-02-17	CE01716	Collection Event Notes: Collector name listed as R/VTANGAROA	Claudia Arango	8c116cac-9394-4c4e-be14-06184bdc62bd	CL02488	OGL_MSC_NortheasternUniversity_S12094	present	S12094	134593	36816; 1606	ND	Hodgson, 1915	spicata	T02590	Species	accepted	Ross Sea	1203206400000.0	1203206400000.0	1203206400000.0	2008.0
