basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	dateIdentified	day	decimalLatitude	decimalLongitude	endDayOfYear	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	taxonRemarks	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	eventID	identifiedByID	institutionID	organismQuantity	organismQuantityType	preparations	taxonRank	type	verbatimEventDate	superdomain	superdomainid
HumanObservation	Pallenopsis vanhoffeni (MBIS BioRoss 1976)	TAN0402/105 Pallenopsis vanhoffeni	Pycnogonida	MBIS BioRoss	30	2005-06-20	18	-71.2575	170.634667	49	2004-02-18T08:29/2004-02-18T08:44+12	Pallenopsidae	TAN0402/105	LINESTRING (170.634667 -71.2575, 170.644667 -71.262333)	Pallenopsis	WGS84	Johanna Nielsen	9	NIWA	Animalia	en	Ross 1	470	458	2013-11-03	2	1976	GearType= Epibenthic sled	present	Pantopoda	Arthropoda	Epibenthic sled	Pallenopsis vanhoeffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:240390	vanhoeffeni	49	Pallenopsis vanhoffeni	Southern Ocean	2004	00acb673-7918-4b4a-a904-e2a93f3e052b	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	464.0	1077062400000.0	1077062400000.0	1077062400000.0	2004.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoffeni	[]	450	13107	-1.66	34.07												
HumanObservation		34373	Pycnogonida	SOMBASE Pycnogonids				-66.9000015259	142.666702271			Pallenopsidae			Pallenopsis				BAS	Animalia			45	45						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						0365dbad-4fd4-4779-9841-86b7fda7e2c6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	45.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	137	6711	-1.67	33.97												
HumanObservation		39471	Pycnogonida	SOMBASE Pycnogonids				-71.0333023071	-11.3165998459			Pallenopsidae			Pallenopsis				BAS	Animalia			481	426						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						0668157a-b635-4e3b-8058-9be6de9667e9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	453.5					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	476	4319	-1.72	33.75												
HumanObservation		38386	Pycnogonida	SOMBASE Pycnogonids				-66.5516967773	93.0			Pallenopsidae			Pallenopsis				BAS	Animalia			43	43						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						06e8f945-e615-46ad-ab27-aca3a02d6431	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	43.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	293	286	-1.56	33.71												
HumanObservation		34324	Pycnogonida	SOMBASE Pycnogonids				-62.4679985046	-58.4569015503			Pallenopsidae			Pallenopsis				BAS	Animalia			1370	1286						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						08007d36-04c7-4abd-8436-fe2ed67a95da	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1328.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	1466	24241	-0.61	34.0												
PreservedSpecimen		JR15005_1859_03a	Pycnogonida		259		13	-60.4974	-44.526		2016-03-13	Pallenopsidae	JR15005_91	LINESTRING (-44.52236 -60.49592, -44.52971 -60.49884)	Pallenopsis	EPSG:4326	Jamie Maxwell		BAS	Animalia	en		658	551		3	JR15005_1859_03a		Present	Pantopoda	Arthropoda	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Pallenopsis vanhoeffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:240390	vanhoeffeni				2016	08446ffa-a99a-42fc-b282-1d92632ba074	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	604.5	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	559	18118	-0.88	33.83	AQ	JR15005	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	Whole animal in 96% ethanol	species	PhysicalObject	13/03/2016	Biota	1.0
HumanObservation		38909	Pycnogonida	SOMBASE Pycnogonids				-66.5333023071	92.9832992554			Pallenopsidae			Pallenopsis				BAS	Animalia			40	40						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						0a009ec5-c77b-4750-8935-21c179e930ec	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	388	205	-1.56	33.71												
HumanObservation		21597	Pycnogonida	SOMBASE Pycnogonids				-71.456703186	-13.7216997147			Pallenopsidae			Pallenopsis				BAS	Animalia			212	212						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						0ad474ab-cfb9-424f-8fd2-37db58eb4c51	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	217	47439	-1.75	33.85												
HumanObservation		38373	Pycnogonida	SOMBASE Pycnogonids				-66.533996582	92.9704971313			Pallenopsidae			Pallenopsis				BAS	Animalia			30	30						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						0cfc4b66-7010-4265-85a9-0b81bcbfde93	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	365	19	-1.56	33.71												
HumanObservation		34451	Pycnogonida	SOMBASE Pycnogonids				-71.2833023071	170.233306885			Pallenopsidae			Pallenopsis				BAS	Animalia			91	91						Pantopoda	Arthropoda		Pallenopsis vanhoeffeni		urn:lsid:marinespecies.org:taxname:240390						0d8886f7-f965-4093-bf6c-f3baf9b5b8e1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	91.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhoeffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	240390	240390	Pallenopsis vanhoeffeni	[]	61	752	-1.68	34.02												
