basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	24667	SOMBASE Pycnogonids	-73.9665985107	176.183303833	BAS	586	581	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	04223c30-566f-4ac5-be93-2dec61ac423d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	583.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	583	198719	-1.55	34.13
HumanObservation	39273	SOMBASE Pycnogonids	-70.9483032227	-10.5462999344	BAS	338	338	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	0588fe87-00ae-4666-a297-4b18494b6c1c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	338.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	295	4071	-1.72	33.76
HumanObservation	21662	SOMBASE Pycnogonids	-71.0516967773	-11.4250001907	BAS	462	462	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	07cdd2f4-4ac3-403e-8bc7-8976074c2098	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	455	5901	-1.72	33.76
HumanObservation	34369	SOMBASE Pycnogonids	-66.8666992188	145.5	BAS	526	526	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	0f406c6e-2f67-48c8-8b8a-fa4833c2f212	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	526.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	604	32475		
HumanObservation	34872	SOMBASE Pycnogonids	-66.75	62.0499992371	BAS	219	219	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	14ae89ff-4e63-4049-b848-f35c00d42358	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	219.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	259	46308	-1.62	34.08
HumanObservation	24666	SOMBASE Pycnogonids	-73.9832992554	170.850006104	BAS	608	589	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	1cc15173-9ef2-41a1-9bf5-d1d954904d8e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	598.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	604	49960	-1.62	34.1
HumanObservation	38243	SOMBASE Pycnogonids	-68.2632980347	33.323299408	BAS	380	380	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	27c8f681-0a18-4315-b34b-fbc1fa8caf31	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	380.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	371	45589	-1.73	33.64
HumanObservation	21659	SOMBASE Pycnogonids	-71.456703186	-13.7216997147	BAS	212	212	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	28b2da0e-fa8c-4b9c-8744-928e4308c522	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	217	47439	-1.75	33.85
HumanObservation	39480	SOMBASE Pycnogonids	-73.5999984741	-22.3166007996	BAS	620	620	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	28b65d6c-f09d-46bc-8328-845e4f3ef31e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	620.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	681	45340	-1.67	33.87
HumanObservation	39476	SOMBASE Pycnogonids	-71.0333023071	-11.3165998459	BAS	481	426	Pallenopsis villosa	urn:lsid:marinespecies.org:taxname:240402	2b71b372-f90d-44af-ab18-fbe3af32ab8a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	453.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis villosa	2	1065	1274	1302	1358	379601	379609	236317	134593	240402	240402	Pallenopsis villosa	[]	476	4319	-1.72	33.75
