associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	coordinateUncertaintyInMeters	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintSRS	language	modified	occurrenceID	occurrenceStatus	recordedBy	samplingProtocol	specificEpithet	superdomain	superdomainid	lifeStage	country
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181023.136974	Invertebrate Zoology: Crustacea	22	-38.4966697693	-52.1516685486	observedindividualcount=4;	1971-03-22T12:00:00Z	Child, C. Allan	4.0	USNM	Argentine Basin, Off Rio De La Plata	4435	4435	3	Alcohol (Ethanol)	Pantopipetta longituberculata	(Turpaeva)	urn:lsid:marinespecies.org:taxname:134640	South Atlantic Ocean	1971	009d289a-067e-4cc0-b990-404563f7d57e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4435.0	38448000000.0	38448000000.0	38448000000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta longituberculata	[]	4531.0	435918	18.58	35.55																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181025.136976	Invertebrate Zoology: Crustacea	19	32.2633285522	-64.5266723633	observedindividualcount=1;	1966-08-19T12:00:00Z	Child, C. Allan	1.0	USNM	North American Basin, N Of Bermuda	2223	2095	8	Alcohol (Ethanol)	Pantopipetta longituberculata	(Turpaeva)	urn:lsid:marinespecies.org:taxname:134640	North Atlantic Ocean	1966	092a6515-36ec-409c-af8e-72f1061db93f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2159.0	-106358400000.0	-106358400000.0	-106358400000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta longituberculata	[]	2294.0	14994	23.41	36.52	female																		
	HumanObservation		21440	bio_dba	1	2.0	4.0		1971-08-01T00:00:00+00:00	STOCK Jan			Golfe de Guinee, bassin de l'Angola	3547	3547	8		Pantopipetta longituberculata		urn:lsid:marinespecies.org:taxname:134639		1971	0a039083-ab3f-4a16-af9f-a16b5de29ed1	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3547.0	49852800000.0	49852800000.0	49852800000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta brevicauda	[]	4080.0	334266	27.84	34.34		50.0	https://marineinfo.org/id/dataset/490	Bigood	Sanders epibenthic sledge_197181_DS/E-29_NA	00:00:00+00:00	DS/E-29	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_21440	present	PAUTOT Guy	Sanders epibenthic sledge	brevicauda	Biota	1.0		
	HumanObservation		37148	SOMBASE Pycnogonids		-23.7833003998	-71.0500030518					BAS		4300	4300			Pantopipetta longituberculata		urn:lsid:marinespecies.org:taxname:134640			0ac3aa8b-501f-44fd-8b27-3fdc8a917ce6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4300.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta longituberculata	[]	4339.0	52170	18.04	34.71																			
	HumanObservation		19921	bio_dba	1	47.0	-9.0		1974-10-01T00:00:00+00:00	STOCK Jan			Golfe de Gascogne	2777	2777	10		Pantopipetta longituberculata		urn:lsid:marinespecies.org:taxname:134639		1974	0ff53b1c-c19b-480c-b2a7-8dfd1eae811b	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2777.0	149817600000.0	149817600000.0	149817600000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta brevicauda	[]	4464.4	329692	14.83	35.66		50.0	https://marineinfo.org/id/dataset/490	Bigood	Sanders epibenthic sledge_1974101_DS/E-74_NA	00:00:00+00:00	DS/E-74	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_19921	present	LAUBIER Lucien	Sanders epibenthic sledge	brevicauda	Biota	1.0		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181014.136965	Invertebrate Zoology: Crustacea	29	8.20666980743	-55.8366699219	observedindividualcount=12;	1972-02-29T12:00:00Z	Child, C. Allan	12.0	USNM	Guiana Basin, N Of Surinam	2500	2487	2	Alcohol (Ethanol)	Pantopipetta longituberculata	(Turpaeva)	urn:lsid:marinespecies.org:taxname:134640	North Atlantic Ocean	1972	1854484d-5718-4d8c-bf80-ada93c66e24e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2493.5	68169600000.0	68169600000.0	68169600000.0	1972.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta longituberculata	['DEPTH_EXCEEDS_BATH']	2169.0	245576	28.23	33.11	male; female;;																	;; juvenile	
	HumanObservation		22616	SOMBASE Pycnogonids		-62.6665992737	-64.0999984741					BAS		3752	3715			Pantopipetta longituberculata		urn:lsid:marinespecies.org:taxname:134640			2563083a-9338-4985-b7ec-3540e3b309f5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3733.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta longituberculata	[]	3954.0	83715	-0.35	33.57																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181012.136963	Invertebrate Zoology: Crustacea	26	10.1016702652	-55.2333297729	observedindividualcount=6;	1972-02-26T12:00:00Z	Child, C. Allan	6.0	USNM	Guiana Basin, N Of Surinam	3868	3859	2	Alcohol (Ethanol)	Pantopipetta longituberculata	(Turpaeva)	urn:lsid:marinespecies.org:taxname:134640	North Atlantic Ocean	1972	25a7eb4f-e6a5-42ea-aa98-938c550ef1b9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3863.5	67910400000.0	67910400000.0	67910400000.0	1972.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta longituberculata	[]	4006.0	457320	28.17	33.84	male; female;;																	;; juvenile	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234632.286921	Invertebrate Zoology: Crustacea	1	-61.75	-61.233001709	observedindividualcount=1;	1962-08-01T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Livingston Island, NW Of Island	4758	4758	8	Alcohol (Ethanol)	Pantopipetta longituberculata	Turpaeva	urn:lsid:marinespecies.org:taxname:134640	Antarctic Ocean	1962	2fb4fe84-3d02-44b0-96bf-97b25b14d678	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4758.0	-234144000000.0	-234144000000.0	-234144000000.0	1962.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta longituberculata	['DEPTH_EXCEEDS_BATH']	3858.0	81606	-0.27	33.59	male																		South Sandwich Islands
	HumanObservation		21822	bio_dba	1	-21.0	11.0		1971-06-01T00:00:00+00:00	STOCK Jan			Golfe de Guinee, bassin de l'Angola	2992	2992	6		Pantopipetta longituberculata		urn:lsid:marinespecies.org:taxname:134639		1971	3a4c3a4b-2bde-40a2-a640-6602157d4f79	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2992.0	44582400000.0	44582400000.0	44582400000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta longituberculata	2	1065	1274	1302	1358	379600	22616	134580	134640	134640	Pantopipetta brevicauda	['DEPTH_EXCEEDS_BATH']	2437.0	237536	18.74	35.49		50.0	https://marineinfo.org/id/dataset/490	Bigood	Sanders epibenthic sledge_197161_DS/E-5_NA	00:00:00+00:00	DS/E-5	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_21822	present	PAUTOT Guy	Sanders epibenthic sledge	brevicauda	Biota	1.0		
