basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	eventTime	footprintSRS	identifiedBy	language	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	fieldNumber	locality	maximumDepthInMeters	specificEpithet	institutionCode	locationID	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	preparations	scientificNameAuthorship	waterBody	sex	country	stateProvince	coordinateUncertaintyInMeters
Occurrence	MRCON042000015BD	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	8	50.27038	-8.148414	2012-07-08T22:39:00	MRCON042000000C7.002	sample	22:39:00	EPSG:4326	JNCC/Cefas	en	128.0	2022-01-18 09:29:51	7	MRCON042000015BD	present	MRCON042000000C7	Contact: MarineRecorder@jncc.gov.uk	MRCON04200000005_METH_001	Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	2012	03609f1a-9cb3-491e-9706-8e823a3d49ca	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	128.0	1341705600000	1341705600000	1341705600000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	[]	128.0	129303	13.11	35.2																	
HumanObservation	25657	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	1	36.0	-7.0	1984-06-01T00:00:00+00:00	Beam trawl_198461_CP / CPH-34_NA		00:00:00+00:00	EPSG:4326	STOCK Jan	en	178.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_25657	present		BOUCHET Philippe	Beam trawl	Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	1984	036c32b1-47f0-4717-a6ee-8ba3cae6e04c	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	178.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	[]	812.4	81646	19.55	36.16	CP / CPH-34	Detroit de Gibraltar	178.0	spinosum													
Occurrence	RSMP_MinchMalin_TheMinchNorth_se02_E#37265_1043268		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	9	58.0	-5.6667	2002-01-09	MinchMalin_TheMinchNorth_se02_E#37265	sample		EPSG:4326		en	0.0	2018-04-09 15:18:52	1	RSMP_MinchMalin_TheMinchNorth_se02_E#37265_1043268	present				Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	2002	059a10c8-7114-41b1-b238-a75ce5d237df	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	0.0	1010534400000	1010534400000	1010534400000	2002	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	[]	99.0	8869	10.38	34.87			0.0		CEFAS												
Occurrence	Eco laboratory geochemistry Benthic Environments _QUADRIGE - Coastal monitoring database and product_6671	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	https://marineinfo.org/id/dataset/6666	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	5	43.3855	4.8955	2018-04-05T00:00:00	60702670_Eco_laboratory_geochemistry_Benthic_Environments		00:00:00	EPSG:4326		en		2021-03-17 13:34:06	4	Eco laboratory geochemistry Benthic Environments _QUADRIGE - Coastal monitoring database and product_6671	present			Sampling device : Benne Van Veen 0,1 m2 ; Comptage des taxons aprés tamisage 1 mm (maille carré)	Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	2018	0c13a58d-781a-404d-979f-b57dcdc716ff	3aa23743-5491-481b-9a70-42a537b61ed2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		1522886400000	1522886400000	1522886400000	2018	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	['NO_DEPTH']	9.8	1329	17.18	36.08		60004043_BIO_ZooBenthos				http://marineregions.org/mrgid/48690											
PreservedSpecimen	8215.274398	Invertebrate Zoology: Crustacea			22	39.9500007629	-70.5329971313	1884-08-22T12:00:00Z					Hedgpeth, J. W.		869.0		8						Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	1884	0c5da45d-22cb-465e-bcba-47a2eaab25a0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	869.0	-2693692800000	-2693692800000	-2693692800000	1884	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum		2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	['DEPTH_EXCEEDS_BATH']	499.0	146323	15.82	33.94		S Of Nantucket Island	869.0		USNM		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=2;	2.0	Alcohol (Ethanol)	Caullery	North Atlantic Ocean				
PreservedSpecimen	181062.137013	Invertebrate Zoology: Crustacea			5	39.9433288574	-71.0599975586	1966-05-05T12:00:00Z					Child, C. Allan		530.0		5						Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	1966	0d6a2b21-4524-4bf6-ab02-de4082586f20	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	530.0	-115516800000	-115516800000	-115516800000	1966	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum		2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	['DEPTH_EXCEEDS_BATH']	416.0	140623	15.73	33.93		North American Slope, S Of New England	530.0		USNM		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	Alcohol (Ethanol)	Caullery	North Atlantic Ocean	male			
Occurrence	MRCON04200001522	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	9	50.26039	-7.962499	2012-07-09T14:52:00	MRCON042000000C2.001	sample	14:52:00	EPSG:4326	JNCC/Cefas	en	111.0	2022-01-18 09:29:51	7	MRCON04200001522	present	MRCON042000000C2	Contact: MarineRecorder@jncc.gov.uk	MRCON04200000005_METH_001	Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	2012	0f809792-2c5e-4d74-90af-42924829c467	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	111.0	1341792000000	1341792000000	1341792000000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	[]	110.0	116518	13.12	35.19																	
PreservedSpecimen	37914.254677	Invertebrate Zoology: Crustacea			11	39.9329986572	-69.75	1882-08-11T12:00:00Z					Hedgpeth, J. W.		638.0		8						Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	1882	114b1124-3aaf-4863-874f-8c18573974f5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	638.0	-2757801600000	-2757801600000	-2757801600000	1882	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum		2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	['DEPTH_EXCEEDS_BATH']	189.0	146898	15.63	33.85		SE Of Nantucket	638.0		USNM		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	Alcohol (Ethanol)	Caullery	North Atlantic Ocean		United States	Massachusetts	
HumanObservation	24857	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	1	36.0	-7.0	1984-06-01T00:00:00+00:00	Waren epibenthic sledge_198461_DW-27_NA		00:00:00+00:00	EPSG:4326	STOCK Jan	en	371.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_24857	present		BOUCHET Philippe	Waren epibenthic sledge	Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	1984	12768a62-3df8-48ce-b0ba-fd0a48ef5baa	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	371.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	[]	812.4	81646	19.55	36.16	DW-27	Detroit de Gibraltar	371.0	spinosum													50.0
PreservedSpecimen	181058.137009	Invertebrate Zoology: Crustacea			28	39.9416694641	-70.6650009155	1962-08-28T12:00:00Z					Child, C. Allan		400.0		8						Paranymphon spinosum	urn:lsid:marinespecies.org:taxname:134632	1962	16aaeefb-2740-4cef-89e4-6dd3c15a3c5c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	400.0	-231811200000	-231811200000	-231811200000	1962	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Paranymphon	Paranymphon spinosum		2	1065	1274	1302	1358	379601	379608	1562	134575	134632	134632	Paranymphon spinosum	[]	379.0	145914	15.9	34.04		North American Slope, S Of New England	400.0		USNM		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=2;	2.0	Alcohol (Ethanol)	Caullery	North Atlantic Ocean				
