basisOfRecord	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	eventID	fieldNumber	footprintWKT	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	organismQuantity	organismQuantityType	scientificName	scientificNameAuthorship	scientificNameID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	catalogNumber	coordinatePrecision	sex	specificEpithet	taxonRank	bibliographicCitation	geodeticDatum	identifiedBy	recordNumber	recordedBy	superdomain	superdomainid
HumanObservation	CMAR_WA_2005	500	Australia	-35.1795	118.622	2005-11-24T13:36:20Z	SS200510:39	SS200510:39	LINE (118.6230  -35.1791, 118.6210  -35.1799)	1	CSIRO, Australia	Survey area	99.0	97.0	2022-08-24T00:41:12	CC-SS200510-39-661085-33011020	Occurrence Type: Catch composition Catch method: Catch	present	1	individuals	Parapallene haddoni	Carpenter, 1892	urn:lsid:marinespecies.org:taxname:239413	10de8fd6-f903-48c1-af0f-a58f2f2275a6	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	98.0	1132790400000.0	1132790400000.0	1132790400000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	[]	92	30002	19.06	35.58												
HumanObservation	CMAR_WA_2005	500	Australia	-35.3546	117.2185	2005-11-22T03:56:40Z	SS200510:21	SS200510:21	LINE (117.2170  -35.3566, 117.2200  -35.3526)	1	CSIRO, Australia	Survey area	96.0	89.0	2022-08-24T00:40:42	CC-SS200510-21-661067-33011020	Occurrence Type: Catch composition Catch method: Catch	present	1	individuals	Parapallene haddoni	Carpenter, 1892	urn:lsid:marinespecies.org:taxname:239413	22f80c33-0db2-4864-8f8e-ba712fbc5cca	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	92.5	1132617600000.0	1132617600000.0	1132617600000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	[]	132	32407	19.41	35.59												
PreservedSpecimen	co113	1000	Australia	-32.05	115.733	1983-12-25			POINT (115.73300 -32.05000)		AM	Fremantle, Arthur Head, off end of South Mole			2017-03-02T16:14:15	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43505		present			Parapallene haddoni		urn:lsid:marinespecies.org:taxname:239413	37e1db77-8e57-4e77-a6a5-9f65c81a7045	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		441158400000.0	441158400000.0	441158400000.0	1983.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	['NO_DEPTH', 'ON_LAND']	2	-330	20.5	35.53	P.43505	0.009	Female	haddoni	Species							
HumanObservation	CMAR_WA_2005	500	Australia	-27.81585	113.3115	2005-12-04T23:47:50Z	SS200510:102	SS200510:102	LINE (113.3110  -27.8134, 113.3120  -27.8183)	1	CSIRO, Australia	Survey area	98.0	96.0	2022-08-24T00:42:41	CC-SS200510-102-660993-33011020	Occurrence Type: Catch composition Catch method: Catch	present	1	individuals	Parapallene haddoni	Carpenter, 1892	urn:lsid:marinespecies.org:taxname:239413	3e869e9d-6a6e-4bc5-a468-b929f723df0a	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	97.0	1133654400000.0	1133654400000.0	1133654400000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	[]	95	59613	22.91	35.23												
PreservedSpecimen	co113	10000		-35.17949	118.62199	2005-11-24			POINT (118.62199 -35.17949)		AM	Bald Island			2017-03-02T12:39:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72801		present			Parapallene haddoni		urn:lsid:marinespecies.org:taxname:239413	427af8f8-2ba0-4798-a5f4-6874e47c82d8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1132790400000.0	1132790400000.0	1132790400000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	['NO_DEPTH']	92	30001	19.06	35.58	P.72801	0.0896	Female	haddoni	Species							
PreservedSpecimen	co113	1000	Australia	-30.02499	153.27499	1992-06-25			POINT (153.27499 -30.02499)		AM	Manta Reef, North West Solitary Island			2017-03-02T12:59:34	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77983		present			Parapallene haddoni		urn:lsid:marinespecies.org:taxname:239413	64955792-a0bd-4f18-8afd-4d71816f07c2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		709430400000.0	709430400000.0	709430400000.0	1992.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	['NO_DEPTH']	13	744	22.62	35.45	P.77983	0.009		haddoni	Species							
PreservedSpecimen	co113	10000		-27.81586	113.3115	2005-12-05			POINT (113.31150 -27.81586)		AM	Kalbarri			2017-03-02T12:39:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73010		present			Parapallene haddoni		urn:lsid:marinespecies.org:taxname:239413	6a95a18b-e2f0-4d04-8ef4-58791ecd94ee	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1133740800000.0	1133740800000.0	1133740800000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	['NO_DEPTH']	95	59612	22.91	35.23	P.73010	0.0896	Male	haddoni	Species							
PreservedSpecimen	co113	10000	Australia	-9.933	144.066				POINT (144.06600 -9.93300)		AM	Murray Island, Torres Strait			2017-03-02T11:16:09	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13627		present			Parapallene haddoni		urn:lsid:marinespecies.org:taxname:239413	a2ca1310-2cec-4c09-9fba-ea884605e266	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	['NO_DEPTH']	21	1466	27.24	34.55	P.13627		Male	haddoni	Species							
PreservedSpecimen	MIIC	200		-27.8134	113.311	2005-12-06 00:00		SS200510-102	POINT (113.31100 -27.81340)		CSIRO		98.0	98.0	2023-07-11T05:57:33	urn:csiro:MIIC:MIIC-04771		present	1	individuals	Parapallene haddoni	Carpenter, 1892	urn:lsid:marinespecies.org:taxname:239413	b4e63bba-3afe-4fe3-babf-f43b75e1ab3d	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	98.0	1133827200000.0	1133827200000.0	1133827200000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni Carpenter, 1892	[]	95	59877	22.91	35.23	MIIC-04771				species	CSIRO Marine Invertebrate Image Collection (MIIC)	EPSG:4326	Karen Gowlett-Holmes	SS200510_102_100	Karen Gowlett-Holmes	Biota	1.0
PreservedSpecimen	co113	10000		-35.35461	117.2186	2005-11-22			POINT (117.21860 -35.35461)		AM	Point Hillier			2017-03-02T12:38:58	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72758		present			Parapallene haddoni		urn:lsid:marinespecies.org:taxname:239413	bc83d292-dc43-4090-be67-286d87ed3031	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1132617600000.0	1132617600000.0	1132617600000.0	2005.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene haddoni	2	1065	1274	1302	1358	379601	379609	1564	236293	239413	239413	Parapallene haddoni	['NO_DEPTH']	132	32410	19.41	35.59	P.72758	0.0896	Male	haddoni	Species							
