basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	collectionCode	dateIdentified	endDayOfYear	individualCount	locality	modified	occurrenceRemarks	startDayOfYear	taxonRemarks	waterBody	continent	country	datasetName	georeferenceSources	locationID	recordedBy	datasetID	references	typeStatus
PreservedSpecimen	PS118_0178_02	Pycnogonida	240	AQ	23	-63.0541	-54.3203	2019-03-23	PS118	Pycnogonidae	PS118_38_10	LINESTRING (-54.316673 -63.05552, -54.32385 -63.0527)	Pentapycnon	EPSG:4326	very similar but single mound at end of lateral processes, could be new species	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	445.0	442.0	3	PS118_0178_02	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Pentapycnon bouvieri	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:240095	bouvieri	species	PhysicalObject	23/03/2019	2019	061e1628-54bf-4961-b618-a416a2eb949e	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	443.5	1553299200000.0	1553299200000.0	1553299200000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri	1.0	2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	410	39320	-1.49	33.68																				
HumanObservation	TAN0402/178 Pentapycnon bouvieri	Pycnogonida	30		27	-71.5315	171.305167	2004-02-27T12:58/2004-02-27T13:09+12		Pycnogonidae	TAN0402/178	LINESTRING (171.305167 -71.5315, 171.311667 -71.536)	Pentapycnon	WGS84		Johanna Nielsen		NIWA		Animalia	en	348.0	343.0	2	2069	present	Pantopoda			Arthropoda		Epibenthic sled	Pentapycnon bouvieri	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:240095	bouvieri				2004	07948a23-8f8b-4f61-9c9e-344ce746a6d1	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	345.5	1077840000000.0	1077840000000.0	1077840000000.0	2004.0	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri		2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	348	24590	-1.63	34.01	Pentapycnon bouvieri  (MBIS BioRoss 2069)	MBIS BioRoss	2005-06-20	58	2	Ross 2	2013-11-03	GearType= Epibenthic sled	58	Pentapycnon bouvieri	Southern Ocean									
PreservedSpecimen	70389	Pycnogonida	100		18	-71.2575	170.634667	18/02/2004		Pycnogonidae		LINESTRING (170.634667 -71.2575, 170.644667 -71.262333)	Pentapycnon	WGS84		Nielsen, Johanna		NIWA Invertebrate Collection		Animalia	en	470.0	458.0	2	6059c5a2-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda			Arthropoda	Specimen(s), Ethanol - no formalin = 1	Sled, epibenthic	Pentapycnon bouvieri	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:240095	bouvieri				2004	225bfffa-9cb0-457e-94e3-657b8d9d2691	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	464.0					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri		2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	450	13107	-1.66	34.07		NIWA	2006				8/04/2022					Antarctica	Ross Dependency	NIWA Invertebrate Collection	GPS	TAN0402/105	NIWA; MFish			
HumanObservation	21626	Pycnogonida				-71.5250015259	-12.4250001907			Pycnogonidae			Pentapycnon					BAS		Animalia		504.0	504.0				Pantopoda			Arthropoda			Pentapycnon bouvieri		urn:lsid:marinespecies.org:taxname:240095						2452f982-da17-4420-b659-5e9d80f9b357	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	504.0					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri		2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	528	4469	-1.76	33.77		SOMBASE Pycnogonids																		
HumanObservation	23975	Pycnogonida				-53.7332992554	-36.8499984741			Pycnogonidae			Pentapycnon					BAS		Animalia		201.0	178.0				Pantopoda			Arthropoda			Pentapycnon bouvieri		urn:lsid:marinespecies.org:taxname:240095						256214ee-c7e6-434f-b27c-5ef7a7a71f5d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	189.5					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri		2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	207	36988	1.79	33.78		SOMBASE Pycnogonids																		
HumanObservation	103	Pycnogonida				-71.54138889	171.38611			Pycnogonidae			Pentapycnon					BAS		Animalia			346.5		urn:catalog:BAS:CAML - Neilsen:103		Pantopoda			Arthropoda			Pentapycnon bouvieri		urn:lsid:marinespecies.org:taxname:240095	bouvieri					26dc92f3-19a3-4218-b35d-413c1ef93358	a332dcf7-d54f-475b-b6e4-43d1aa05fe9c	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	346.5					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri		2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	365	26525	-1.63	34.05	Neilsen et al. 2009. Polar Biology 32(8): 1147-1155	CAML - Neilsen				Ross Sea	2010-01-21T00:00	GenBankID: FJ969345					Antarctica					IMIS:dasid:1967		
HumanObservation	TAN0402/39 Pentapycnon bouvieri	Pycnogonida	30		10	-71.755	171.1475	2004-02-10T07:57/2004-02-10T08:13+12		Pycnogonidae	TAN0402/39	LINESTRING (171.1475 -71.755, 171.152667 -71.758833)	Pentapycnon	WGS84		Johanna Nielsen		NIWA		Animalia	en	253.0	251.0	2	1895	present	Pantopoda			Arthropoda		Epibenthic sled	Pentapycnon bouvieri	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:240095	bouvieri				2004	3c685db8-6891-419b-bc38-424b52f9e6f0	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	252.0	1076371200000.0	1076371200000.0	1076371200000.0	2004.0	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri		2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	247	10630	-1.65	33.88	Pentapycnon bouvieri  (MBIS BioRoss 1895)	MBIS BioRoss	2005-06-20	41	1	Ross 3	2013-11-03	GearType= Epibenthic sled	41	Pentapycnon bouvieri	Southern Ocean									
PreservedSpecimen	ANTXXVII/3_PS77_1222_5.2.1	Pycnogonida	468	AQ	23	-62.2944	-58.6845	2011-02-23	PS77	Pycnogonidae	PS77_PS77/222-5	LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	Pentapycnon	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	889.0	439.7	2	ANTXXVII/3_PS77_1222_5.2.1	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pentapycnon bouvieri	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:240095	bouvieri	species	PhysicalObject	23/02/2011	2011	4de03f83-c72a-443c-967b-5f825a68d2d4	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	664.35	1298419200000.0	1298419200000.0	1298419200000.0	2011.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri	1.0	2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	['DEPTH_EXCEEDS_BATH']	444	4428	-0.51	34.03																				
PreservedSpecimen	sm_id_1301	Pycnogonida			16	-53.87	-38.47	1986-12-16		Pycnogonidae			Pentapycnon					WoRMS Editorial Board		Animalia		120.0	113.0	12	WoRMS Editorial Board:WoRMS type localities:sm_id_1301	present	Pantopoda			Arthropoda			Pentapycnon bouvieri	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:240095	bouvieri				1986	570316f9-a4df-4aa1-9bcf-e39d2725f086	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	116.5	535075200000.0	535075200000.0	535075200000.0	1986.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri	1.0	2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	131	17451	1.74	33.74	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pentapycnon bouvieri</i> Pushkin, 1993. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240095	WoRMS type localities				South Atlantic	2007-06-20 15:52:33											https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=1301	holotype
PreservedSpecimen	70376	Pycnogonida	100		27	-71.512	171.425167	27/02/2004		Pycnogonidae		LINESTRING (171.425167 -71.512, 171.417833 -71.5165)	Pentapycnon	WGS84		Nielsen, Johanna		NIWA Invertebrate Collection		Animalia	en	390.0	389.0	2	6059abda-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda			Arthropoda	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	Pentapycnon bouvieri	Pushkin, 1993	urn:lsid:marinespecies.org:taxname:240095	bouvieri				2004	5e231e96-d99f-4112-a7e0-fbc4f37d5c41	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	389.5					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon bouvieri		2	1065	1274	1302	1358	379601	379611	1567	173566	240095	240095	Pentapycnon bouvieri	[]	400	29340	-1.63	34.07		NIWA	2006				8/04/2022					Antarctica	Ross Dependency	NIWA Invertebrate Collection	GPS	TAN0402/186	NIWA; MFish			
