basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	bibliographicCitation	datasetID	minimumDepthInMeters	references	scientificNameAuthorship	typeStatus	depth	superdomain	superdomainid	individualCount	organismQuantity	organismQuantityType
PreservedSpecimen	P.43747	Pycnogonida	co113	0.009	1000	Australia	-42.27832	148.31166	1991-05-01	Callipallenidae	POINT (148.31166 -42.27832)	Propallene	AM	Animalia	Freycinet Peninsula, Joes Bight	2017-03-02T16:14:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43747	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	8d84f416-3781-467b-8e5c-5fe84d787ce8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	673056000000.0	673056000000.0	673056000000.0	1991.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH']	-7	70	14.76	35.31													
PreservedSpecimen	P.73387	Pycnogonida	co113	0.0896	10000		-19.47166	118.91999	1983-08-31	Callipallenidae	POINT (118.91999 -19.47166)	Propallene	AM	Animalia	North West Shelf	2017-03-02T12:40:48	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73387	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	9d7b2c54-e191-420c-99d7-3a2bd7f35d71	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	431136000000.0	431136000000.0	431136000000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH']	38	22488	27.07	34.79	Male												
PreservedSpecimen	sm_id_2187	Pycnogonida	WoRMS type localities				-38.37	147.18		Callipallenidae		Propallene	WoRMS Editorial Board	Animalia	Bass Strait	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2187	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus		a073e48d-68a9-4572-a947-ff9cb9b5975c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['ON_LAND']	-5	-1296	15.62	35.69		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Propallene cyathus</i> Staples, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240413	https://marineinfo.org/id/dataset/5184	13.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=2187	Staples, 1979	holotype	13.0	Biota	1.0			
PreservedSpecimen	P.31039	Pycnogonida	co113	0.009	1000	Australia	-33.78499	151.27999	1980-10-26	Callipallenidae	POINT (151.27999 -33.78499)	Propallene	AM	Animalia	Queenscliff,  Queenscliff Lagoon, near bridge	2017-03-02T11:48:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.31039	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	a11788f7-7f16-4176-ad2f-e7cf68401d56	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	341366400000.0	341366400000.0	341366400000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH', 'ON_LAND']	-7	-835	20.37	35.53	Female												
PreservedSpecimen	G.943.001	Pycnogonida	co113	0.0896	10000	Australia	-35.05	150.733		Callipallenidae	POINT (150.73300 -35.05000)	Propallene	AM	Animalia	Jervis Bay	2017-03-02T13:38:33	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.943.001	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	a1aba849-4995-480e-b134-1ad7533c9702	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH']	16	3945	19.65	35.57													
PreservedSpecimen	sm_id_2185	Pycnogonida	WoRMS type localities				-38.37	147.18		Callipallenidae		Propallene	WoRMS Editorial Board	Animalia	Bass Strait	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2185	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus		a2f23747-fc30-4079-9cb1-1b60f3ce22ae	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['ON_LAND']	-5	-1296	15.62	35.69		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Propallene cyathus</i> Staples, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240413	https://marineinfo.org/id/dataset/5184	13.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=2185	Staples, 1979	holotype	13.0	Biota	1.0			
PreservedSpecimen	G.943	Pycnogonida	co113	0.0896	10000	Australia	-35.05	150.733		Callipallenidae	POINT (150.73300 -35.05000)	Propallene	AM	Animalia	Jervis Bay	2017-03-02T13:38:33	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.943	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	ab205c0a-07af-4537-90b5-c3df6db8633d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH']	16	3945	19.65	35.57	Male												
PreservedSpecimen	J47134	Pycnogonida	co119		1000		-41.13	144.538	1996-03-15	Callipallenidae	POINT (144.53800 -41.13000)	Propallene	NMV	Animalia	Hawley Beach, Port Sorell	2017-02-09T11:21:10	J47134	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	ab420404-c217-4e8c-91f9-ddbcb496205a	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	826848000000.0	826848000000.0	826848000000.0	1996.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH']	91	10654	14.88	35.43	Unknown										1	1	individuals
PreservedSpecimen	J5223	Pycnogonida	co119		1000	Australia	-38.38	147.18	1977-03-15	Callipallenidae	POINT (147.18000 -38.38000)	Propallene	NMV	Animalia	Seaspray, SW of, 1 km offshore	2017-02-09T11:02:10	J5223	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	ac2a57ed-c124-404c-81df-f7cca61d8042	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	227232000000.0	227232000000.0	227232000000.0	1977.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH', 'ON_LAND']	-4	-493	15.62	35.69	Male										1	1	individuals
PreservedSpecimen	P.27894	Pycnogonida	co113		10000	Australia	-38.383	147.183	1977-11-16	Callipallenidae	POINT (147.18300 -38.38300)	Propallene	AM	Animalia	south west of Seaspray, Bass Strait	2017-03-02T11:27:31	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27894	present	Arthropoda	Propallene cyathus	urn:lsid:marinespecies.org:taxname:240413	cyathus	species	c2696322-a5ea-401a-a093-ec36173e8b69	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	248486400000.0	248486400000.0	248486400000.0	1977.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Propallene cyathus	2	1065	1274	1302	1358	379601	379609	1564	205358	240413	240413	Propallene cyathus	['NO_DEPTH', 'ON_LAND']	-4	-71	15.62	35.69	Male												
