basisOfRecord	catalogNumber	class	collectionCode	continent	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintWKT	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	occurrenceRemarks	associatedReferences	bibliographicCitation	country	dynamicProperties	identifiedBy	individualCount	preparations	recordedBy	waterBody	coordinateUncertaintyInMeters	dateIdentified	lifeStage	locationID	otherCatalogNumbers	sex	specificEpithet	typeStatus
Occurrence	130310495001006	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	16	70.245	31.055	2014-04-16T15:40:00+00:00/2014-04-16T15:46:00+00:00	Cruise: 58GS-2014106 Sample: 495	15:40:00+00:00/15:46:00+00:00	Callipallenidae	catchId: 6	LINESTRING(31.055 70.245,31.052333 70.242667)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 1303	166.54	155.97	2024-05-23 10:35:05	4	130310495001006	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene spinipes	(Fabricius, 1780)	urn:lsid:marinespecies.org:taxname:134658	2014	0c6e9165-3c07-4b2d-af7a-3c52deb0df86	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	161.255	1397606400000	1397606400000	1397606400000	2014	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	165.4	4118	6.07	34.1																		
HumanObservation		Pycnogonida	2006B3				23	65.233001709	36.7999992371	1961-8-23			Callipallenidae			Pseudopallene	ArcOD	Animalia		190.0	150.0		8	16133	present	Pantopoda	Arthropoda		Pseudopallene spinipes	(Fabricius, 1780)	urn:lsid:marinespecies.org:taxname:134658	1961	0cd86443-ffe6-4af8-9235-1b3bc335434f	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	170.0	-263779200000	-263779200000	-263779200000	1961	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes		2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	['DEPTH_EXCEEDS_BATH']	22.54	2414	4.17	27.4	;;134658;Onega																	
Occurrence	087010027023017	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	10	67.389377	11.621498	2012-05-10T20:29:00+00:00/2012-05-10T20:34:00+00:00	Cruise: 58GS-2012106 Sample: 27	20:29:00+00:00/20:34:00+00:00	Callipallenidae	catchId: 17	LINESTRING(11.621498 67.389377,11.617 67.388167)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 870	138.33	132.78	2024-05-23 10:35:05	5	087010027023017	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene spinipes	(Fabricius, 1780)	urn:lsid:marinespecies.org:taxname:134658	2012	126ee6f7-aa94-4bdb-8647-1d73c75dfdb2	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	135.555	1336608000000	1336608000000	1336608000000	2012	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	137.4	9603	8.39	34.09																		
Occurrence	1263	Pycnogonida	White Sea Benthos	White Sea	https://marineinfo.org/id/dataset/2769		28	64.96666666666667	35.36666666666667	1981-08-28			Callipallenidae			Pseudopallene	RAS-WSBS	Animalia			14.0	2011-01-13 16:31:07	8	urn:catalog:RAS-WSBS:White Sea Benthos:1263	present	Pantopoda	Arthropoda		Pseudopallene spinipes		urn:lsid:marinespecies.org:taxname:134658	1981	192da960-064c-405a-a627-f32e148f4bb9	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	14.0	367804800000	367804800000	367804800000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	11.98	3685	4.15	24.76																		
Occurrence	606	Pycnogonida	White Sea Benthos	White Sea	https://marineinfo.org/id/dataset/2769		24	64.93333333333334	35.666666666666664	1981-07-24			Callipallenidae			Pseudopallene	RAS-WSBS	Animalia			33.0	2011-01-13 16:31:07	7	urn:catalog:RAS-WSBS:White Sea Benthos:606	present	Pantopoda	Arthropoda		Pseudopallene spinipes		urn:lsid:marinespecies.org:taxname:134658	1981	1ce3c1e3-0144-4736-a3d5-4c03c4a6bb83	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	33.0	364780800000	364780800000	364780800000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	6.24	2543	4.0	25.56																		
PreservedSpecimen	80761.290707	Pycnogonida	Invertebrate Zoology: Crustacea				3	75.6669998169	-78.6669998169	1935-08-03T12:00:00Z			Callipallenidae			Pseudopallene	USNM	Animalia	Queen Elizabeth Islands, Cobourg Island, E Of Island	64.0	43.0		8			Pantopoda	Arthropoda		Pseudopallene spinipes	(Fabricius)	urn:lsid:marinespecies.org:taxname:134658	1935	49308703-467e-4df1-9c59-225ce9f992dc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	53.5	-1086048000000	-1086048000000	-1086048000000	1935	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes		2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	425.0	19753	-0.54	32.04		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Canada	observedindividualcount=1;	Hedgpeth, J. W.	1.0	Alcohol (Ethanol)	R. Bartlett	Arctic Ocean								
Occurrence	121810471001219	Pycnogonida	IMRMarbunnBenthos	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	17	70.5825	30.943667	2013-08-17T23:40:00+00:00/2013-08-17T23:45:00+00:00	Cruise: 58GS-2013110 Sample: 471	23:40:00+00:00/23:45:00+00:00	Callipallenidae	catchId: 219	LINESTRING(30.943667 70.5825,30.949833 70.581833)	Pseudopallene	IMR	Animalia	MAREANO Reference Station: 1218	157.34	155.05	2024-05-23 10:35:05	8	121810471001219	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Pseudopallene spinipes	(Fabricius, 1780)	urn:lsid:marinespecies.org:taxname:134658	2013	51d3c970-3688-4a1b-a4c3-e188f3813bca	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	156.195	1376697600000	1376697600000	1376697600000	2013	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	140.0	12235	6.18	34.47																		
Occurrence	1954	Pycnogonida	White Sea Benthos	White Sea	https://marineinfo.org/id/dataset/2769		1	64.68333333333334	35.5	1981-09-01			Callipallenidae			Pseudopallene	RAS-WSBS	Animalia			17.0	2011-01-13 16:31:07	9	urn:catalog:RAS-WSBS:White Sea Benthos:1954	present	Pantopoda	Arthropoda		Pseudopallene spinipes		urn:lsid:marinespecies.org:taxname:134658	1981	5569edee-d43e-4df2-863a-f2fd0ca7fadd	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	17.0	368150400000	368150400000	368150400000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	0.38	361	4.28	24.13																		
PreservedSpecimen	INV.69086	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Cara See, Oceans	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	16	70.65	58.55	1907-08-16			Callipallenidae	8719/st147		Pseudopallene	RBINS-Scientific Heritage	Animalia	Cara See			2015-09-24 11:17:46	8	http://collections.naturalsciences.be/specimen/352801	present	Pantopoda	Arthropoda		Pseudopallene spinipes	(Fabricius, 1780)	urn:lsid:marinespecies.org:taxname:134658	1907	71bc7990-1523-4d84-b659-57d89787ff0b	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-1968537600000	-1968537600000	-1968537600000	1907	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes	1.0	2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes (Fabricius, 1780)	['NO_DEPTH']	43.0	21226	1.19	32.99						Giltay L.B. (Dr.)		container type: vial; preservation method: alcohol			1000.0	1931-01	unknown	http://www.geonames.org/1504324	urn:catalog:RBINS:IG:8719	unknown	spinipes	specimen
HumanObservation		Pycnogonida	2006B3				24	76.2080001831	69.0329971313	1925-8-24			Callipallenidae			Pseudopallene	ArcOD	Animalia			200.0		8	5144	present	Pantopoda	Arthropoda		Pseudopallene spinipes	(Fabricius, 1780)	urn:lsid:marinespecies.org:taxname:134658	1925	a810c22e-12d0-41f8-823f-311c6ae9130d	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	200.0	-1399766400000	-1399766400000	-1399766400000	1925	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pseudopallene spinipes		2	1065	1274	1302	1358	379601	379609	1564	134585	134658	134658	Pseudopallene spinipes	[]	188.0	19581	-0.05	34.06	;;134658;Elding								Gorbunov									
