associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	fieldNumber	occurrenceRemarks	continent	datasetID	datasetName	eventID	eventTime	footprintWKT	modified	occurrenceID	occurrenceStatus	samplingProtocol	superdomain	superdomainid	coordinateUncertaintyInMeters	footprintSRS	language	recordedBy	specificEpithet
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	8522.275660	Invertebrate Zoology: Crustacea	United States	2	40.0125007629	-70.9041671753	observedindividualcount=1;	1884-08-02T12:00:00Z	Verrill, Addison E.	1.0	USNM	S Of Martha's Vineyard	236.0	236.0	8	Alcohol (Ethanol)	Pycnogonum crassirostrum	Sars	urn:lsid:marinespecies.org:taxname:848872	Massachusetts	North Atlantic Ocean	1884	151af843-5bf7-4ef9-9876-7890456949f9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	236.0	-2695420800000	-2695420800000	-2695420800000	1884	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostre	[]	267.0	137782	15.24	33.68																			
	HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	68040500740114W41201070101	BENTHIC HABITAT STUDY	United States	15	42.1829986572	-65.9329986572	observedweight=1.67;observedindividualcount=33;	1968-08-15T12:00:00Z			NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum008	229.0	229.0	8		Pycnogonum crassirostrum		urn:lsid:marinespecies.org:taxname:848872		North Atlantic Ocean	1968	1dac35de-6d51-4820-8589-62fccd99594a	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	229.0	-43545600000	-43545600000	-43545600000	1968	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostre	[]	224.0	134090	10.35	31.8	68040500740114	Gear Type: 1-METER NAT. DREDGE																	
	Occurrence		020510004003048	IMRMarbunnBenthos		4	69.863333	16.829333		2008-06-04T17:15:00+00:00/2008-06-04T17:21:00+00:00			IMR	MAREANO Reference Station: 205	350.9	348.33	6		Pycnogonum crassirostrum	Sars, 1888	urn:lsid:marinespecies.org:taxname:134743			2008	395a9347-b959-4899-8ce4-e012b1bafdf7	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	349.615	1212537600000	1212537600000	1212537600000	2008	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostrum	[]	354.6	38522	7.83	34.53	catchId: 48		Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2008104 Sample: 4	17:15:00+00:00/17:21:00+00:00	LINESTRING(16.829333 69.863333,16.831953 69.865728)	2024-05-23 10:35:05	020510004003048	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	40635.255946	Invertebrate Zoology: Crustacea	United States	4	39.8919410706	-70.6500015259	observedindividualcount=2;	1882-10-04T12:00:00Z	Verrill, Addison E.	2.0	USNM	Off Martha's Vineyard	353.0	353.0	10	Alcohol (Ethanol)	Pycnogonum crassirostrum	Sars	urn:lsid:marinespecies.org:taxname:848872	Massachusetts	North Atlantic Ocean	1882	46723f19-40f3-4f46-a166-c86d7169ed36	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	353.0	-2753136000000	-2753136000000	-2753136000000	1882	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostre	[]	550.0	151530	16.17	34.15																			
	Occurrence		098110037001020	IMRMarbunnBenthos		1	63.211167	6.178667		2012-10-01T17:37:00+00:00/2012-10-01T17:42:00+00:00			IMR	MAREANO Reference Station: 981	111.77	108.84	10		Pycnogonum crassirostrum	Sars, 1888	urn:lsid:marinespecies.org:taxname:134743			2012	5f4046d4-f87a-49b1-8319-5d3a2b05c334	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	110.305	1349049600000	1349049600000	1349049600000	2012	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostrum	[]	113.2	39547	9.48	34.02	catchId: 20		Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2012110 Sample: 37	17:37:00+00:00/17:42:00+00:00	LINESTRING(6.178667 63.211167,6.175833 63.210833)	2024-05-23 10:35:05	098110037001020	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	32148.252921	Invertebrate Zoology: Crustacea	United States	4	39.9252815247	-70.6500015259	observedindividualcount=4;	1882-10-04T12:00:00Z	Verrill, Addison E.	4.0	USNM	Off Martha's Vineyard	353.0	353.0	10	Alcohol (Ethanol)	Pycnogonum crassirostrum	Sars	urn:lsid:marinespecies.org:taxname:848872	Massachusetts	North Atlantic Ocean	1882	75ecb653-1811-4e53-8502-2b73081e3b7d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	353.0	-2753136000000	-2753136000000	-2753136000000	1882	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostre	[]	432.0	147837	15.9	34.04																			
	Occurrence		153710545001028	IMRMarbunnBenthos		25	66.469833	6.8305		2015-08-25T20:17:00+00:00/2015-08-25T20:22:00+00:00			IMR	MAREANO Reference Station: 1537	484.02	483.43	8		Pycnogonum crassirostrum	Sars, 1888	urn:lsid:marinespecies.org:taxname:134743			2015	8c958479-65cb-423b-b2aa-f0fed8a15509	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	483.725	1440460800000	1440460800000	1440460800000	2015	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostrum	[]	482.8	215878	9.37	35.1	catchId: 28		Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2015113 Sample: 545	20:17:00+00:00/20:22:00+00:00	LINESTRING(6.8305 66.469833,6.8355 66.4705)	2024-05-23 10:35:05	153710545001028	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0					
	HumanObservation		34668	bio_dba		1	63.0	-52.0		1969-08-01T00:00:00+00:00	STOCK Jan			Atlantique nord	309.0	309.0	8		Pycnogonum crassirostrum		urn:lsid:marinespecies.org:taxname:134743			1969	9f2369de-1f7e-4b26-94dc-9284c02cf5c2	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	309.0	-13219200000	-13219200000	-13219200000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostre	['DEPTH_EXCEEDS_BATH']	123.0	44751	1.81	33.9	F-2			https://marineinfo.org/id/dataset/490	Bigood	Fish trawl_196981_F-2_NA	00:00:00+00:00		2022-01-18 09:29:51	Ifremer_bio_dba_34668	present	Fish trawl	Biota	1.0	50.0	EPSG:4326	en	LE PICHON Xavier	crassirostre
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	32147.252920	Invertebrate Zoology: Crustacea	United States	9	39.966999054	-71.2170028687	observedindividualcount=1;	1881-08-09T12:00:00Z	Verrill, Addison E.	1.0	USNM	Off Martha's Vineyard	379.0	379.0	8	Alcohol (Ethanol)	Pycnogonum crassirostrum	Sars	urn:lsid:marinespecies.org:taxname:848872	Massachusetts	North Atlantic Ocean	1881	aed4dc4c-edbc-407b-af79-1c9186a5a4c0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	379.0	-2789510400000	-2789510400000	-2789510400000	1881	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostre	[]	350.0	132681	15.66	33.84																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1064449.858953	Invertebrate Zoology		15	42.1829986572	-65.9329986572	observedindividualcount=2;	1968-08-15T12:00:00Z	United States National Marine Fisheries Service	2.0	USNM		229.0	229.0	8	Alcohol (Ethanol)	Pycnogonum crassirostrum	Sars	urn:lsid:marinespecies.org:taxname:848872		North Atlantic Ocean	1968	ca0d75ea-0ca4-4f0f-8101-da7ba093b657	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	229.0	-43545600000	-43545600000	-43545600000	1968	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crassirostrum	2	1065	1274	1302	1358	379601	379611	1567	134595	134743	134743	Pycnogonum crassirostre	[]	224.0	134090	10.35	31.8																		United States National Marine Fisheries Service	
