basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year	coordinateUncertaintyInMeters	countryCode	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionID	language	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	date_start	date_mid	date_end	date_year	superdomain	superdomainid	individualCount	sex	coordinatePrecision	country	occurrenceRemarks	recordedBy
HumanObservation	21624	SOMBASE Pycnogonids	-71.5250015259	-12.4250001907	BAS	504.0	504.0	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	0e4bd404-d7e6-439b-aeab-b4de97ccca0a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordonae	[]	528	4469	-1.76	33.77																																									
HumanObservation	3760	Weddell Sea macrozoobenthos EASIZ I	-71.05166667	-11.425	AWI	462.0	462.0	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	1a120e8e-3e15-49d8-8b1a-fa334a8820fa	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordoni	[]	464	5904	-1.72	33.76	IMIS:dasid:2432	5	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3760	1996																																		
HumanObservation	39537	SOMBASE Pycnogonids	-71.5	-12.4333000183	BAS	529.0	294.0	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	373547d8-799f-4f27-a88d-cdec29902ca2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	411.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordonae	[]	477	3552	-1.76	33.77																																									
PreservedSpecimen	JR275_1358.3		-74.7011	-29.5006	BAS	428.55	427.17	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	505c951f-34be-4443-9f07-bb5b32730a94	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	427.86	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordonae	[]	409	108788	-1.73	33.98		29			2	JR275_1358.3	2012	29	AQ	2012-02-29	JR275	JR275_92	LINESTRING (-29.50091 -74.70134, -29.50021 -74.70085)	EPSG:4326	pointed tubercles	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Pushkin, 1984	gordonae	species	PhysicalObject	29/02/2012	1330473600000.0	1330473600000.0	1330473600000.0	2012.0	Biota	1.0						
HumanObservation	39536	SOMBASE Pycnogonids	-71.5333023071	-13.7166004181	BAS	362.0	354.0	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	5555791a-cc2c-4b99-9062-77f8efc7cced	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	358.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordonae	[]	344	46474	-1.76	33.84																																									
PreservedSpecimen	J37988	co119	-68.7812	76.8022	NMV			Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	5611d3ce-6a87-4f1e-b2a5-cebd247a6d3f	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordonae	['NO_DEPTH']	790	25652	-1.39	33.94			WSW of Davis Base	2017-02-09T12:08:15		J37988		1000		1993-01-18			POINT ( 76.80220 -68.78120)							present	1	individuals				gordonae	species			727315200000.0	727315200000.0	727315200000.0	1993.0			1	Unknown				
HumanObservation	3758	Weddell Sea macrozoobenthos EASIZ I	-71.525	-12.425	AWI	504.0	504.0	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	5dd42797-cb8e-49de-a649-612d82852ad0	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordoni	[]	512	4469	-1.76	33.77	IMIS:dasid:2432	28	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3758	1996																																		
PreservedSpecimen	ABSD-5247	ABSD	-68.7811660767	76.8021697998	AADC	798.0	798.0	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	94a51327-3392-498b-a15e-f254c2a42f18	fc18744b-4e55-4acc-8785-c29fb6692b34	['310922b4-9d0c-4de1-92d7-9b442d34765b']	798.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordoni	[]	790	25656	-1.39	33.94		18	Prydz Bay		1		1993			1993-01-18T12:00:00Z																				727315200000.0	727315200000.0	727315200000.0	1993.0			1.0		500.0	Antarctica	Site WSW of Davis Base; medium sand sediment; rocks<br>Gear - 67	?
HumanObservation	3759	Weddell Sea macrozoobenthos EASIZ I	-71.535	-13.735	AWI	362.0	362.0	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	ab1ac121-beb4-46fb-8bbe-d7964f6672f7	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	362.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordoni	[]	371	46701	-1.76	33.84	IMIS:dasid:2432	25	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3759	1996																																		
PreservedSpecimen	ANTXXVII/3_PS77_1281_1.2		-70.8203	-10.5535	BAS	288.5	272.5	Pycnogonum gordonae	urn:lsid:marinespecies.org:taxname:173589	bbfbbd4a-8935-4496-8da2-a228262304d9	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	280.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gordonae	2	1065	1274	1302	1358	379601	379611	1567	134595	173589	173589	Pycnogonum gordonae	[]	267	16350	-1.72	33.78		28			3	ANTXXVII/3_PS77_1281_1.2	2011	839	AQ	2011-03-28	PS77	PS77_PS77/281-1	LINESTRING (-10.542 -70.81383, -10.565 -70.82683333)	EPSG:4326	sharp pointed tubercles, could be young P. gaini that hasn't had their tubercles worn down	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	Present	1	individuals	Whole animal in 96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pushkin, 1984	gordonae	species	PhysicalObject	28/03/2011	1301270400000.0	1301270400000.0	1301270400000.0	2011.0	Biota	1.0						
