basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	county	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	eventRemarks	eventTime	family	fieldNumber	genus	georeferenceProtocol	higherClassification	higherGeography	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationID	minimumDepthInMeters	month	nomenclaturalCode	occurrenceID	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	maximumDepthInMeters	habitat
PreservedSpecimen	171867	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Mateo County	2005-02-07	4	37.66667	-122.39267	2002-06-04	CDFG collecting trip. 0.09mi trawl for 5 min.	1232	Pycnogonidae	064329	Pycnogonum	GPS	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	V.G. Smith	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	approx. mid-bay near submerged pipeline E of SFO.	067c5291-2598-11ed-aace-005056be1b7a	10.4	6	ICZN	urn:catalog:CAS:IZ:171867	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	"G. Brooks aboard R/V ""Longfin"""	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	155	California	species	Physical Object	4 Jun 2002	37.66667° N	122.39267° W	2002	10f4edff-9bb8-4af0-9a67-925334888866	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	10.4	1023148800000	1023148800000	1023148800000	2002	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	['DEPTH_EXCEEDS_BATH']	-81	2	12.55	31.94			
PreservedSpecimen	160613	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Francisco County	2002-03-13	4	37.74017	-122.35767	2001-06-04	CDFG collecting trip. Trawl distance 0.57mi.	1105	Pycnogonidae	062962	Pycnogonum	GPS	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	M. Wicksten	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	NE of Hunter's Piont, near forbidden anchorage zone.	0673ac60-2598-11ed-aace-005056be1b7a	12.5	6	ICZN	urn:catalog:CAS:IZ:160613	Pantopoda	Arthropoda	Fluid-75% EtOH(2)	"G. Brooks aboard R/V ""Longfin"""	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	155	California	species	Physical Object	04 Jun 2001	37.74017° N	122.35767° W	2001	1304b418-0e7f-4c1b-bb88-82cc790c6ec1	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	12.5	991612800000	991612800000	991612800000	2001	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	[]	9	878	12.55	31.94			
PreservedSpecimen	150113	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Mateo County	2002-12-10	17	37.664459	-122.36267	1971-08-17	"Original label with ""71-D-6; Alpin Sta. 4; Tow 1."""		Pycnogonidae	011600	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	Jason Gillespie	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	1 mi. off of Oyster Point	05937726-2598-11ed-aace-005056be1b7a		8	ICZN	urn:catalog:CAS:IZ:150113	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	R/V Searcher	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	229	California	species	Physical Object	17 Aug 1971	37.664459° N	-122.36267° W	1971	298a5028-8814-4649-ad74-e19463ad0411	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']		51235200000	51235200000	51235200000	1971	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	['NO_DEPTH']	5	1063	12.62	31.88	1245		
PreservedSpecimen	125608	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	Contra Costa County	1973-02-02	2	37.975	-122.4375	1973-02-02		0850	Pycnogonidae	055031	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, United States, California	F. Nichols	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	San Pablo, off Point San Pablo	065039f0-2598-11ed-aace-005056be1b7a	24.0	2	ICZN	urn:catalog:CAS:IZ:125608	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	F. Nichols	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	33	California	species	Physical Object	02 Feb 1973	37° 58.5' N	122° 26.25' W	1973	40dc095c-8f8f-46f4-bbb0-8e7bf5b83087	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	24.0	97459200000	97459200000	97459200000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	[]	22	1307	12.47	32.15			
PreservedSpecimen	143051	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Mateo County	2002-12-10	25	37.6866666667	-122.3213333333	1988-05-25			Pycnogonidae	057575	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	J.M. Gillespie	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	E of Sierra Point (Brisbane)	065e4d40-2598-11ed-aace-005056be1b7a	9.5	5	ICZN	urn:catalog:CAS:IZ:143051	Pantopoda	Arthropoda	Fluid-75% EtOH(2)	U.S.G.S.	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	146	California	species	Physical Object	25 May 1988	37° 41.2' N	122° 19.28' W	1988	4bd3ef7d-0b37-4aab-97fc-bd9e732ecc48	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	9.5	580521600000	580521600000	580521600000	1988	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	[]	7	4895	12.55	31.91			
PreservedSpecimen	135635	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Mateo County	2002-12-10	28	37.6866666667	-122.3213333333	1987-09-28			Pycnogonidae	059646	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	Jason Gillespie	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	E of Sierra Point (Brisbane)	065e5bce-2598-11ed-aace-005056be1b7a		9	ICZN	urn:catalog:CAS:IZ:135635	Pantopoda	Arthropoda	Fluid-75% EtOH(5)	U.S.G.S.	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	271	California	species	Physical Object	28 Sep 1987	37° 41.2' N	122° 19.28' W	1987	4c4630d7-294c-408a-baae-dc307b3cb6a5	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']		559785600000	559785600000	559785600000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	['NO_DEPTH']	7	4895	12.55	31.91			
PreservedSpecimen	165767	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Francisco County	2002-08-28	26	37.83006	-122.35974	2002-06-26	GPS waypoints 73 to 74, D.O. = 6.7, large amounts of Anguinella and other bryozoa, many small ophiuroids, polychaetes, pycnogonids, shrimp, small crabs, few Stylatula, polychaetes relaxed in MgCl solution.	1055-1107	Pycnogonidae	064658	Pycnogonum	GPS	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	C. Brown	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	E of Treasure Island	068013dc-2598-11ed-aace-005056be1b7a	10.3	6	ICZN	urn:catalog:CAS:IZ:165767	Pantopoda	Arthropoda	Fluid-75% EtOH(2)	T. Iwamoto, J. Fong, C. Piotrowski, G. Brooks	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	177	California	species	Physical Object	26 Jun 2002	37.83006° N	122.35974° W	2002	57c803bc-85a9-45e9-a18b-e90d4e372ee5	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	11.45	1025049600000	1025049600000	1025049600000	2002	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	[]	9	637	12.58	31.97		12.6	
PreservedSpecimen	160600	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Mateo County	2002-03-13	21	37.6767777778	-122.3796388889	2001-03-21	overcast conditions, waypoint 009, sample taken at arm depth	9:50	Pycnogonidae	062416	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	M. Wicksten	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Brisbane, Brisbane Marina, inner Dock 6, arm depth	067253fa-2598-11ed-aace-005056be1b7a	0.5	3	ICZN	urn:catalog:CAS:IZ:160600	Pantopoda	Arthropoda	Fluid-75% EtOH(2)	R. Mooi, B. VanSyoc, G. Brooks, R. Ayers	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	80	California	species	Physical Object	21 Mar 2001	"37° 40' 36.4"" N"	"122° 22' 46.7"" W"	2001	60d29bb8-d639-4911-9c9d-c8a257a68fa6	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	0.5	985132800000	985132800000	985132800000	2001	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	[]	2	120	12.55	31.94			concrete dock
PreservedSpecimen	160598	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Francisco County	2002-03-13	10	37.70108	-122.35047	2002-01-10	12 ft otter trawl at 2.5 knots transverse to the current (GPS waypoints 40 to 41). Temperature and salinity not taken because the measuring device was malfunctioning. Columbelid snail photographed (64217A) using frame #'s 959-967.	0855-0910	Pycnogonidae	064217	Pycnogonum	GPS	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	M. Wicksten	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	off Candlestick Point.	067c02ed-2598-11ed-aace-005056be1b7a	12.3	1	ICZN	urn:catalog:CAS:IZ:160598	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	"C. Piotrowski, T. Iwamoto, J. Fong, G. Brooks aboard R/V ""Lucille"""	Pycnogonum rickettsi	Schmitt, 1934	rickettsi	10	California	species	Physical Object	10 Jan 2002	37.70108° N	122.35047° W	2002	62c53577-99df-42e1-a973-28d71601a13f	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	12.45	1010620800000	1010620800000	1010620800000	2002	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	[]	9	2084	12.55	31.94		12.6	mud
PreservedSpecimen	126553	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States		1972-08-04	11	37.809349	-122.41364	1935-10-11			Pycnogonidae	059101	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States	Kevin Myers	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	San Francisco Estuary, San Francisco Bay, Pier 43.	066784a4-2598-11ed-aace-005056be1b7a	9.14	10	ICZN	urn:catalog:CAS:IZ:126553	Pantopoda	Arthropoda	Fluid-75% EtOH(1)		Pycnogonum rickettsi	Schmitt, 1934	rickettsi	284	California	species	Physical Object	11 Oct 1935	37.809349° N	-122.41364° W	1935	70c1d066-c012-4511-880e-3f3bd35bb050	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	10.665	-1080086400000	-1080086400000	-1080086400000	1935	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum rickettsi	1	2	1065	1274	1302	1358	379601	379611	1567	134595	239776	239776	Pycnogonum rickettsi	[]	17	18	12.58	31.97	334	12.19	fine mud
