basisOfRecord	catalogNumber	collectionCode	continent	datasetID	decimalLatitude	decimalLongitude	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	recordedBy	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	month	preparations	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
Occurrence	717	C	Juan de Fuca	https://marineinfo.org/id/dataset/212	-41.0250015258789	-129.559997558594	1.0	PENN	Axial Seamount	1580	1459	2005-03-12 18:56:00	urn:catalog:PENN:C:717:0xFFF48F0001000500	present	Chuck Fisher Cindy Van Dover	Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	023f6d77-c97d-451f-bd9f-460e091a41ce	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1519.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	4917	1773650	13.53	34.22																		
PreservedSpecimen	233639.185540	Invertebrate Zoology: Crustacea			47.9500007629	-129.066665649	1.0	USNM	Juan De Fuca Ridge, Endeavour Seamount, Unnamed Vent	2208	2208					Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	1ed12bb5-bac8-4573-8284-6d35f3e035e2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2208.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola		2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	2326	243426	11.45	32.33	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	25	observedindividualcount=1;	1984-07-25T12:00:00Z	Child, C. Allan	7	Alcohol (Ethanol)	Child	male	Holotype	North Pacific Ocean	1984	459561600000.0	459561600000.0	459561600000.0	1984.0
Occurrence	723	C	Juan de Fuca	https://marineinfo.org/id/dataset/212	48.4584007263184	-128.709197998047	1.0	PENN	Middle Valley	2430	2400	2005-03-12 18:56:00	urn:catalog:PENN:C:723:0xBA7DDC0001000500	present	Chuck Fisher Cindy Van Dover	Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	2efca609-77ef-4da7-a9ab-264b65a80553	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2415.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	2439	187308	11.28	32.23																		
Occurrence	718	C	Juan de Fuca	https://marineinfo.org/id/dataset/212	44.7999992370605	-130.300003051758	1.0	PENN	Cleft Segment	2250	1600	2005-03-12 18:56:00	urn:catalog:PENN:C:718:0x88F48F0001000D00	present	Chuck Fisher Cindy Van Dover	Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	31b6fe53-31e9-47ed-be15-6d2793a6716d	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1925.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	2248	491106	12.59	32.53																		
Occurrence	721	C	Explorer	https://marineinfo.org/id/dataset/212	49.75	-129.701599121094	1.0	PENN	South Explorer	1850	1850	2005-03-12 18:56:00	urn:catalog:PENN:C:721:0x337DDC0001000600	present	Chuck Fisher Cindy Van Dover	Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	4d307808-7fe5-4679-a5c8-7dd041149bd7	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1850.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	1992	129980	10.84	32.24																		
Occurrence	720	C	Gorda	https://marineinfo.org/id/dataset/212	41.556999206543	-126.449996948242	1.0	PENN	Escabana Trough	3300	1598	2005-03-12 18:56:00	urn:catalog:PENN:C:720:0xD4F48F0001000300	present	Chuck Fisher Cindy Van Dover	Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	760080c1-1a5b-450a-9c92-a1f241aa925e	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2449.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	['DEPTH_EXCEEDS_BATH']	2876	174990	12.89	32.31																		
Occurrence	719	C	Juan de Fuca	https://marineinfo.org/id/dataset/212	46.4550018310547	-128.61669921875	1.0	PENN	Endeavour	2293	2122	2005-03-12 18:56:00	urn:catalog:PENN:C:719:0xC71C700001000000	present	Chuck Fisher Cindy Van Dover	Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	93978e42-82bd-40df-9ce4-afa41a301517	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2207.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	2767	339544	12.14	32.42																		
PreservedSpecimen	233640.185541	Invertebrate Zoology: Crustacea			47.9516716003	-129.100006104	1.0	USNM	Juan De Fuca Ridge, Endeavour Seamount, Unnamed Vent	2216	2216					Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	a7e0932c-9eb0-412b-adbb-ff267fa3f53c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2216.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola		2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	2109	245138	11.45	32.34	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	2	observedindividualcount=1;	1984-09-02T12:00:00Z	Child, C. Allan	9	Alcohol (Ethanol)	Child	male	Paratype	North Pacific Ocean	1984	462931200000.0	462931200000.0	462931200000.0	1984.0
Occurrence			Juan de Fuca	https://marineinfo.org/id/dataset/212	46.4550018310547	-128.61669921875			Endeavour	2293	2122	1970-01-01 01:00:00	urn:catalog::0xB6F38F0001000E00	present		Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	ba0dac29-f5b8-4e5f-8286-002172b9f86a	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2207.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	2767	339544	12.14	32.42																		
Occurrence	722	C	Gorda	https://marineinfo.org/id/dataset/212	42.375	-126.703300476074	1.0	PENN	G14-Gorda Ridge	2751	2643	2005-03-12 18:56:00	urn:catalog:PENN:C:722:0x48F58F0001000800	present	Chuck Fisher Cindy Van Dover	Sericosura venticola	urn:lsid:marinespecies.org:taxname:239658	c1c47c9d-0f2f-4c55-9f8c-8e434d132c14	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2697.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura venticola	1.0	2	1065	1274	1302	1358	379601	379608	1562	134576	239658	239658	Sericosura venticola	[]	2703	182242	12.98	32.14																		
