basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedTaxa	bibliographicCitation	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	eventID	eventRemarks	footprintWKT	geodeticDatum	identifiedBy	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	sex	coordinatePrecision	fieldNumber
HumanObservation	37201	SOMBASE Pycnogonids	-46.3998985291	51.7666015625	BAS	5.0	0.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	14389907-4777-4de1-8a75-5f29c1b8064d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-244	-3008	5.17	33.75																																				
HumanObservation	33940	SOMBASE Pycnogonids	-46.7165985107	37.9500007629	BAS	775.0	0.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	29ca281a-274c-4187-9fc1-4da2ec64daba	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	387.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	['DEPTH_EXCEEDS_BATH']	176	5017	5.71	33.82																																				
HumanObservation	34201	SOMBASE Pycnogonids	-48.3333015442	166.083297729	BAS			Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	48febad3-a860-439e-858f-693b925990e9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	['NO_DEPTH']	2014	42552	11.45	34.67																																				
HumanObservation	37866	SOMBASE Pycnogonids	-45.9816017151	49.6416015625	BAS	245.0	245.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	6320636d-bfde-4b1b-826f-c55e19ae0e69	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	245.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	[]	215	42149	5.79	33.72																																				
HumanObservation	22164	SOMBASE Pycnogonids	-57.1133003235	-26.726600647	BAS	33.0	15.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	81a5cde5-b031-450b-a714-e5d0c093005f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	24.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	[]	226	251	-0.73	33.63																																				
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:7590  Tanystylum cavidorsum		-49.66694	178.80523	CU	1.0	0.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	8e5eeb24-7cc3-494c-8ccf-0d4c94be474c	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-88	-4	7.75	34.2	Margarella hinemoa and Exosphaeroma gigas	Clark, W.C. (1971) Pycnogonida of the Antipodes Islands, New Zealand Journal of Marine and Freshwater Research, 5:3&4, 427-452	100	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	4	1969-02-04	2506	under stones, mid-tide level	POINT (178.80523 -49.66694)	WGS84	W.C. Clark	1	en	Hut Cove, Antipodes Island	2016-08-30	2	urn:catalog:SWPRON:MBIS:7590	1 ovigerous male, 1 female	present	I. Mannering	Shore collection	Stock, 1957	cavidorsum	35	Pacific Ocean	1969	-28598400000.0	-28598400000.0	-28598400000.0	1969.0	Biota	1.0			
HumanObservation	34302	SOMBASE Pycnogonids	-49.6683006287	178.788299561	BAS	5.0	0.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	966e7b54-336c-4c31-a68c-0ac55ecd67b2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-126	-392	7.75	34.2																																				
HumanObservation	22165	SOMBASE Pycnogonids	-57.7865982056	-26.3700008392	BAS	90.0	90.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	a4868bb0-0f28-495a-ae0e-8fab8ff14cd6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	90.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	['DEPTH_EXCEEDS_BATH']	-8	2189	-0.84	33.64																																				
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:7581  Tanystylum cavidorsum		-48.0224	166.6103	CU	1.0	0.0	Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	c99f503d-81c8-4cad-b451-ba1767a312c3	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	[]	-4	20	11.58	34.71		Clark, W.C. (1971) Pycnogonida from the Snares Islands, New Zealand Journal of Marine and Freshwater Research, 5:2, 329-341	500	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand		1968/1969	2496	from holdfast	POINT (166.6103 -48.0224)	WGS84	W.C. Clark	1	en	Snares Is.	2016-08-30		urn:catalog:SWPRON:MBIS:7581		present		Shore collection	Stock, 1957	cavidorsum		Pacific Ocean	1968	-63158400000.0	-31622400000.0	-86400000.0	1968.0	Biota	1.0	f		
HumanObservation	SAMC-MBR-013462	MBR	-46.8166999817	37.7332992554	SAMC			Tanystylum cavidorsum	urn:lsid:marinespecies.org:taxname:172990	ea99137d-da10-4738-8226-08c8165a3501	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum cavidorsum	2	1065	1274	1302	1358	379601	379608	1562	134577	172990	172990	Tanystylum cavidorsum	['NO_DEPTH']	171	500	5.68	33.81				South Africa			1973-07-02T12:00:00Z					Arnaud			Marion Island				Preparation:alch		De Villiers						1973	110419200000.0	110419200000.0	110419200000.0	1973.0				100.0	LD21
