basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	date_start	date_mid	date_end	date_year
PreservedSpecimen	P.27578	Pycnogonida	co113	0.0896	10000	Australia	-30.066	153.2	Ammotheidae	POINT (153.20000 -30.06600)	Tanystylum	AM	Animalia	Arrawarra Headland	2017-03-02T11:26:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27578	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Female	hooperi	species	165fa067-47d9-4a8c-b631-5a94343f4f76	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH', 'ON_LAND']	-3.0	-208	22.56	35.46					
PreservedSpecimen	P.27577	Pycnogonida	co113	0.0896	10000	Australia	-30.066	153.2	Ammotheidae	POINT (153.20000 -30.06600)	Tanystylum	AM	Animalia	Arrawarra Headland	2017-03-02T11:26:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27577	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Male	hooperi	species	4866bc08-8565-4dce-a806-94d46cfb3874	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH', 'ON_LAND']	-3.0	-208	22.56	35.46					
PreservedSpecimen	P.43525	Pycnogonida	co113	0.0009	100		-10.04533	144.69883	Ammotheidae	POINT (144.69883 -10.04533)	Tanystylum	AM	Animalia	Boot Reef, reef flat	2017-03-02T16:14:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43525	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Male	hooperi	species	545a86e8-64f2-497c-9bcc-6c67b7bf35b1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH']	9.64	71048	27.28	34.71	1993-01-27	728092800000.0	728092800000.0	728092800000.0	1993.0
PreservedSpecimen	P.27579	Pycnogonida	co113	0.0896	10000	Australia	-30.066	153.2	Ammotheidae	POINT (153.20000 -30.06600)	Tanystylum	AM	Animalia	Arrawarra Headland	2017-03-02T11:26:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27579	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Male	hooperi	species	7d99df3c-3ee8-45be-a617-689cd457677f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH', 'ON_LAND']	-3.0	-208	22.56	35.46					
PreservedSpecimen	P.42829	Pycnogonida	co113	0.0896	10000	Australia	-36.25	150.233	Ammotheidae	POINT (150.23300 -36.25000)	Tanystylum	AM	Animalia	Montague Island	2017-03-02T15:57:47	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42829	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Male	hooperi	species	851c9849-c2ab-47e5-88cc-9cc95f22528c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH']	-11.0	182	19.09	35.58					
PreservedSpecimen	P.36554	Pycnogonida	co113	0.009	1000	Australia	-37.10333	149.92832	Ammotheidae	POINT (149.92832 -37.10333)	Tanystylum	AM	Animalia	Twofold Bay, Munganno Point	2017-03-02T17:18:22	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.36554	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Female	hooperi	species	8dd7a0d7-0da1-4d15-96b3-7e1877873c57	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH', 'ON_LAND']	-12.0	-10	18.0	35.56	1985-03-26	480643200000.0	480643200000.0	480643200000.0	1985.0
PreservedSpecimen	P.63174	Pycnogonida	co113	0.0896	10000	Australia	-33.74166	151.316	Ammotheidae	POINT (151.31600 -33.74166)	Tanystylum	AM	Animalia	Long Reef	2017-03-02T15:11:06	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.63174	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055		hooperi	species	9312cc43-5939-4d04-bb63-3a8c5c0696f1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH', 'ON_LAND']	-4.0	-33	20.34	35.53	1972-03-15	69465600000.0	69465600000.0	69465600000.0	1972.0
PreservedSpecimen	P.63185	Pycnogonida	co113	0.009	1000	Australia	-33.69166	151.316	Ammotheidae	POINT (151.31600 -33.69166)	Tanystylum	AM	Animalia	Turimetta Head, near Mona Vale	2017-03-02T15:11:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.63185	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055		hooperi	species	98a560d4-f31b-4369-a1f5-d3a3e2a29fc4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH']	-2.0	458	20.34	35.53	1972-05-11	74390400000.0	74390400000.0	74390400000.0	1972.0
PreservedSpecimen	P.43189	Pycnogonida	co113	0.009	1000	Australia	-32.05	115.733	Ammotheidae	POINT (115.73300 -32.05000)	Tanystylum	AM	Animalia	Fremantle, Arthur Head, off end of South Mole	2017-03-02T16:19:24	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43189	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Male	hooperi	species	a88a3094-60a7-4d99-862f-77af72980b5c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH', 'ON_LAND']	2.0	-330	20.5	35.53	1983-12-25	441158400000.0	441158400000.0	441158400000.0	1983.0
PreservedSpecimen	P.43161	Pycnogonida	co113	0.009	1000	Australia	-32.70833	152.15833	Ammotheidae	POINT (152.15833 -32.70833)	Tanystylum	AM	Animalia	Port Stephens, off Nelson Head	2017-03-02T16:19:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43161	present	Arthropoda	Tanystylum hooperi	urn:lsid:marinespecies.org:taxname:240055	Female	hooperi	species	b1ff8cef-4725-4a2f-8d50-1800c3ee9cf8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum hooperi	2	1065	1274	1302	1358	379601	379608	1562	134577	240055	240055	Tanystylum hooperi	['NO_DEPTH']	1.0	214	20.69	35.53	1980-10-27	341452800000.0	341452800000.0	341452800000.0	1980.0
