basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	eventDate	footprintWKT	locality	modified	occurrenceID	occurrenceStatus	specificEpithet	taxonRank	date_start	date_mid	date_end	date_year	associatedReferences	bibliographicCitation	day	dynamicProperties	identifiedBy	individualCount	month	preparations	scientificNameAuthorship	sex	waterBody	year
HumanObservation	22187	SOMBASE Pycnogonids	-54.7316017151	-63.8666000366	BAS	0.0	0.0	Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	036d16e5-6238-4bfa-8200-c3abb22193fc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	[]	-3	86	6.68	33.98																										
PreservedSpecimen	P.63001	co113	-54.566	158.933	AM			Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	12847532-2fbb-4998-a0ee-c3d6e8700424	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	['NO_DEPTH']	175	778	5.23	33.91	10000	Australia	1978-01-03	POINT (158.93300 -54.56600)	Macquarie Island, Sandy Bay, off rock platform 200 m south of hut	2017-03-02T15:10:43	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.63001	present	oedinotum	species	252633600000.0	252633600000.0	252633600000.0	1978.0												
PreservedSpecimen	168527.125376	Invertebrate Zoology: Crustacea	-55.783000946	-66.2829971313	USNM	115.0	115.0	Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	13148d4b-9a70-4f4e-9463-80938a954668	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	115.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	[]	180	31706	6.59	33.99		Antarctica	1962-09-23T12:00:00Z		Drake Passage, Just E Of Cape Horn						-229564800000.0	-229564800000.0	-229564800000.0	1962.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	23	observedindividualcount=1;	Child, C. Allan	1.0	9	Alcohol (Ethanol)	Loman	female	South Atlantic Ocean	1962
PreservedSpecimen	P.27988	co113	-54.48749	158.96033	AM			Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	203c7545-be52-4b3e-b33e-72d8b9bb905a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	['NO_DEPTH']	263	991	5.26	33.92	10000	Australia	1977-12-23	POINT (158.96033 -54.48749)	Macquarie Island, south-east corner of Gorilla Head Rock	2017-03-02T11:27:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27988	present	oedinotum	species	251683200000.0	251683200000.0	251683200000.0	1977.0												
PreservedSpecimen	P.27970	co113	-54.49166	158.9625	AM			Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	20e6a86b-cad9-4402-9fa8-4f98b393c0af	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	['NO_DEPTH']	263	1005	5.26	33.92	10000	Australia	1978-01-30	POINT (158.96250 -54.49166)	Macquarie Island, Tottan Head, south end of Goat Bay	2017-03-02T11:27:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27970	present	oedinotum	species	254966400000.0	254966400000.0	254966400000.0	1978.0												
HumanObservation	37945	SOMBASE Pycnogonids	-48.1716003418	70.543296814	BAS	30.0	3.0	Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	216eae32-67e0-4d50-adae-43b677e3549a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	16.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	[]	153	93913	4.29	33.74																										
PreservedSpecimen	P.27951	co113	-54.483	158.95	AM			Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	2333ae99-2a9c-4d73-bcd3-c822e39de763	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	['NO_DEPTH']	285	573	5.26	33.92	10000	Australia	1977-12-12	POINT (158.95000 -54.48300)	Macquarie Island, Aerial Cove	2017-03-02T11:27:39	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27951	present	oedinotum	species	250732800000.0	250732800000.0	250732800000.0	1977.0												
PreservedSpecimen	P.27993	co113	-54.766	158.8	AM			Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	2bb283ce-9f50-48d6-a01d-aa1ea5c2bf44	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	['NO_DEPTH', 'ON_LAND']	-233	-432	5.09	33.9	10000	Australia	1978-01-16	POINT (158.80000 -54.76600)	Macquarie Island, Caroline Cove, three rocks at mouth of cove	2017-03-02T11:27:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27993	present	oedinotum	species	253756800000.0	253756800000.0	253756800000.0	1978.0												
HumanObservation	22188	SOMBASE Pycnogonids	-64.0483016968	-54.7715988159	BAS	23.0	23.0	Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	2d2d0815-10f1-46fc-8995-114ecd76c191	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	23.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	[]	345	62094	-1.57	33.6																										
PreservedSpecimen	P.28007	co113	-54.48749	158.96033	AM			Tanystylum oedinotum	urn:lsid:marinespecies.org:taxname:239626	36a9e145-d02b-45e0-89fa-2a94646999ed	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum oedinotum	2	1065	1274	1302	1358	379601	379608	1562	134577	239626	239626	Tanystylum oedinotum	['NO_DEPTH']	263	991	5.26	33.92	10000	Australia	1977-12-23	POINT (158.96033 -54.48749)	Macquarie Island, south-east corner of Gorilla Head Rock	2017-03-02T11:27:43	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.28007	present	oedinotum	species	251683200000.0	251683200000.0	251683200000.0	1977.0												
