basisOfRecord	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	eventDate	identifiedBy	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	locality	preparations	collectionID	countryCode	eventID	occurrenceID	occurrenceStatus	coordinatePrecision	coordinateUncertaintyInMeters	footprintWKT	modified	sex	specificEpithet	taxonRank	county	lifeStage	recordedBy
HumanObservation	12776	A Biological Survey of the Waters of Woods Hole and Vacinity	United States of America	28	41.5	-70.6399993896	1903-07-28T12:00:00Z	ID by Dr. L. J. Cole	Smithsonian Environmental Research Center	18.29	18.29	7	Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Massachusetts	North America Atlantic	1903	01448e05-3c9f-4784-8877-39641c650bb1	5ad6c4ff-fb89-4edf-b7b0-212671fb27cf	['310922b4-9d0c-4de1-92d7-9b442d34765b']	18.29	-2096409600000.0	-2096409600000.0	-2096409600000.0	1903.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	[]	23	2108	12.33	31.42																					
HumanObservation	12784	A Biological Survey of the Waters of Woods Hole and Vacinity	United States of America	17	41.4700012207	-70.6800003052	1905-08-17T12:00:00Z	ID by Dr. L. J. Cole	Smithsonian Environmental Research Center	16.46	16.46	8	Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Massachusetts	North America Atlantic	1905	0218dda0-b5e9-41c5-99e4-e86b7c541d6d	5ad6c4ff-fb89-4edf-b7b0-212671fb27cf	['310922b4-9d0c-4de1-92d7-9b442d34765b']	16.46	-2031523200000.0	-2031523200000.0	-2031523200000.0	1905.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	[]	9	1929	12.35	31.38																					
PreservedSpecimen	80987.273712	Invertebrate Zoology: Crustacea	United States	22	37.2805595398	-76.2408294678	1916-04-22T12:00:00Z	Hedgpeth, J. W.	USNM			4	Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Maryland	North Atlantic Ocean	1916	03c32817-648c-4195-844d-676e34b01f6e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-1694476800000.0	-1694476800000.0	-1694476800000.0	1916.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	['NO_DEPTH']	8	4406	16.53	24.74	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	Chesapeake Bay	Alcohol (Ethanol)															
HumanObservation	12778	A Biological Survey of the Waters of Woods Hole and Vacinity	United States of America		41.4700012207	-70.6699981689	1904-07-02T00:00:00Z		WoodsHoleBioSurvey				Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Massachusetts		1904	0410239f-fd25-4165-aba2-4a602fedee92	5ad6c4ff-fb89-4edf-b7b0-212671fb27cf	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2067033600000.0	-2067033600000.0	-2067033600000.0	1904.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	['NO_DEPTH']	7	1349	12.35	31.38																					
HumanObservation	2106	A Biological Survey of the Waters of Woods Hole and Vacinity	United States of America		41.4599990845	-70.5899963379			Smithsonian Environmental Research Center	0.0	0.0		Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Massachusetts	North America Atlantic		09220a3b-5df7-48c8-b182-9d98a43ef64e	5ad6c4ff-fb89-4edf-b7b0-212671fb27cf	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	[]	5	151	12.33	31.42																					
HumanObservation	12792	A Biological Survey of the Waters of Woods Hole and Vacinity	United States of America	15	41.4599990845	-70.75	1904-07-15T12:00:00Z	ID by Dr. L. J. Cole	Smithsonian Environmental Research Center	22.86	21.94	7	Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Massachusetts	North America Atlantic	1904	0ba6705e-a5c4-4a6f-8792-f8edc099679c	5ad6c4ff-fb89-4edf-b7b0-212671fb27cf	['310922b4-9d0c-4de1-92d7-9b442d34765b']	22.4	-2065910400000.0	-2065910400000.0	-2065910400000.0	1904.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	[]	25	803	12.35	31.38																					
PreservedSpecimen	143891	FSBC I			27.343333	-80.235	1981-07-01						Tanystylum orbiculare		urn:lsid:marinespecies.org:taxname:134635				12aa27fc-e122-4303-b104-98cbee17c9d5	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']		362793600000.0	362793600000.0	362793600000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	['NO_DEPTH', 'ON_LAND']	-4	-39	25.87	36.11							56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	362ffe3d-3011-4c11-9c24-b2e30ed66802	dfee448f-9798-4911-91fc-4fa4791bb947	Present										
PreservedSpecimen	P.13666	co113	Australia		-36.216	150.15	1949-07-15		AM				Tanystylum orbiculare		urn:lsid:marinespecies.org:taxname:134635				16ae58c9-0acd-4d41-be17-cc7504ce7011	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		-645840000000.0	-645840000000.0	-645840000000.0	1949.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	['NO_DEPTH']	30	703	19.02	35.59					Narooma, shoreline cave					urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13666	present	0.0896	10000	POINT (150.15000 -36.21600)	2017-03-02T11:16:14	Female	orbiculare	species			
PreservedSpecimen	122190.87426	Invertebrate Zoology: Crustacea	United States		30.7000007629	-81.4329986572	1964-07-02T00:00:00Z	Child, C. Allan	USNM				Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Florida	North Atlantic Ocean	1964	1b34e972-66e6-4834-86d7-28567fb1b35f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-173577600000.0	-173577600000.0	-173577600000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	['NO_DEPTH', 'ON_LAND']	3	-281	22.32	36.03	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=8;	8.0	Fernandina Beach, Fort Clinch Park, Saint Marys Entrance, S Jetty	Alcohol (Ethanol)													Nassau County	juvenile	D. Kirtley
HumanObservation	12797	A Biological Survey of the Waters of Woods Hole and Vacinity	United States of America	9	41.3499984741	-70.8300018311	1904-08-09T12:00:00Z		WoodsHoleBioSurvey			8	Tanystylum orbiculare	Wilson	urn:lsid:marinespecies.org:taxname:134635	Massachusetts		1904	1bad8a93-8153-442d-831f-8b3dae148e95	5ad6c4ff-fb89-4edf-b7b0-212671fb27cf	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2063750400000.0	-2063750400000.0	-2063750400000.0	1904.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum orbiculare	2	1065	1274	1302	1358	379601	379608	1562	134577	134635	134635	Tanystylum orbiculare	True	['NO_DEPTH', 'ON_LAND']	-16	-348	12.42	31.43																					
